N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,1,0,1],[0,0,1,0],[0,1,0,0],[0,0,0,2][0,0,0,1][1,0,0,0][0,1,1,0][0,1,0,0][0,1,0,0][0,1,0,1][1,0,0,0][0,0,0,1][1,0,2,1][0,0,0,1][1,0,1,0][0,1,1,0][0,0,0,1][1,0,1,0][0,0,2,0][0,0,0,1][10495,453,78991,54990]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2147,1041,698,1341,1386,1,3747,0,1180,900,1004,0,3485,1213
1,258,872,657,0,369,0,1667,0,741,748,255,0,334,1813
2,437,55,126,142,125,2,371,61,224,99,75,1,501,0
3,2575,1347,4157,0,0,0,4799,743,2917,2566,2608,8712,1647,2914
4,0,261,261,405,0,0,0,124,0,382,150,0,305,239
5,171,56,50,43,58,0,150,43,67,0,62,0,211,0
6,2974,1038,1319,903,1376,2,2955,940,1161,931,1269,0,1947,1186
7,0,623,423,1090,215,0,780,458,701,1638,535,0,865,1465
8,400,233,246,100,293,3,475,287,173,0,284,0,354,207
9,1987,1337,3070,3384,1949,4732,4194,1638,2476,2697,3333,11680,3606,2013
10,168,138,368,468,287,0,392,223,138,13,239,4,303,250
11,225,63,51,59,0,0,138,0,54,0,67,0,156,50
12,4480,1186,1145,709,1503,3,2927,1037,824,1209,1185,0,3093,1119
13,1565,815,740,0,927,0,864,483,759,959,435,0,871,961
14,550,0,171,135,393,0,324,0,0,153,253,3,565,70
15,2301,1410,0,2741,3230,9310,4361,1952,3761,2724,3322,4824,4116,2366
16,147,189,290,0,180,0,294,211,131,0,365,7,391,35
17,211,53,50,82,65,0,151,58,60,49,53,0,186,58
18,2341,1091,1388,1153,1252,18,2566,0,1331,1070,1119,0,2277,1201
19,519,901,548,0,79,0,1089,532,0,707,803,0,921,1236
