N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,1],[1,0,2,0],[1,1,0,0],[4,0,1,1][0,1,0,0][0,0,0,1][0,2,0,1][1,0,0,1][0,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][0,1,2,0][0,0,1,0][0,1,0,0][0,1,2,0][1,1,0,0][0,0,0,1][1,0,1,1][0,1,0,0][10491,449,78988,54991]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3100,947,0,1169,1230,7,2203,1287,835,0,754,0,3570,1027
1,2123,0,519,1220,402,0,0,489,620,0,583,0,1958,34
2,427,420,335,216,205,4,0,92,257,140,165,0,0,230
3,3397,1589,3675,3395,3772,6685,5319,1222,1753,3275,3816,5055,5735,2765
4,0,261,140,0,256,0,331,122,168,386,0,4,465,247
5,208,51,52,59,66,0,156,64,58,65,47,0,176,59
6,3061,1175,992,841,1171,0,2634,0,0,0,1220,10,3513,895
7,610,652,827,456,630,0,0,849,1049,0,317,0,2153,163
8,597,96,217,108,299,0,0,0,178,176,278,0,649,161
9,4327,0,0,2723,3633,1285,5113,0,0,3301,1701,5439,6576,0
10,0,302,321,103,86,0,243,77,366,151,171,1,300,201
11,143,57,61,0,57,0,224,70,53,59,58,0,145,66
12,3530,941,0,861,0,24,2477,0,0,864,1124,0,2682,1233
13,1322,726,570,2039,685,0,781,426,991,420,139,0,1696,0
14,526,0,0,0,168,1,401,165,125,167,275,4,580,315
15,3945,2837,3180,2999,1620,9970,4450,1845,1819,2562,3706,0,0,2557
16,314,172,213,0,123,7,0,133,454,299,271,0,365,0
17,210,68,67,68,46,0,222,53,61,70,34,0,204,0
18,2065,1082,0,1538,1412,3,2703,1169,921,1423,1244,0,3016,1038
19,638,757,881,0,454,0,0,637,568,1138,351,0,180,1543
