N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,2,1,0],[0,0,1,0],[0,0,1,0],[0,0,0,2][0,0,0,1][0,1,0,0][0,1,1,1][1,0,1,0][1,0,1,0][1,1,1,1][0,1,0,0][0,0,1,0][1,1,0,0][0,0,1,0][0,0,1,0][0,0,0,2][0,0,1,0][0,0,0,1][1,1,1,0][0,0,0,1][10495,452,78988,54991]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,4139,1193,1153,1166,1380,8,3635,0,771,928,1275,9,1702,916
1,1411,0,820,817,176,0,2304,1304,811,861,671,0,0,592
2,0,0,253,131,305,1,0,210,268,122,62,0,426,194
3,2360,920,3001,2622,3003,5515,2800,1109,0,0,2775,8650,5459,1953
4,292,186,471,45,139,0,0,395,137,386,158,0,140,347
5,182,53,45,62,55,0,0,45,44,49,48,0,142,42
6,3428,0,1055,1278,1470,7,3399,1032,756,1436,1387,3,2868,1097
7,1127,43,410,808,0,0,1730,660,302,674,574,0,1281,424
8,0,313,144,187,185,0,437,218,11,163,353,0,428,322
9,3581,1536,2889,1801,2805,3512,2301,1110,2314,3012,2310,11666,2252,2074
10,262,303,130,5,294,0,360,221,245,107,122,0,405,366
11,102,67,32,55,54,0,0,64,49,64,47,0,0,58
12,0,1033,959,1061,1544,1,3352,1139,953,932,1215,11,3354,0
13,146,941,746,981,816,0,632,144,419,696,666,0,1664,0
14,474,285,229,183,259,0,478,0,276,171,101,0,500,135
15,3418,2190,3001,2693,2685,6741,4454,2872,2790,3098,1729,3381,4987,1819
16,0,0,289,255,139,0,317,98,250,313,147,0,254,266
17,178,60,46,80,61,0,122,51,44,64,55,0,125,68
18,2840,1114,1134,934,1240,1,0,0,1169,1018,708,0,3200,994
19,853,406,491,4,627,0,675,420,402,886,459,0,710,296
