N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[3,1,1,0],[0,0,0,1],[2,0,1,0],[0,1,0,2][0,1,0,0][1,0,0,0][0,1,0,1][1,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][4,2,0,1][1,0,0,1][1,0,0,0][1,0,0,2][0,0,0,1][10486,452,78994,54986]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3317,1083,1408,1189,1218,0,0,1022,946,994,1061,9,2778,1035
1,1163,0,0,1954,648,0,1525,0,365,0,395,0,1025,1005
2,431,360,95,246,204,0,463,88,131,161,316,2,473,124
3,4476,1735,3046,0,2453,8388,2938,2716,1998,2555,3133,5691,0,2807
4,454,203,251,130,0,0,556,174,200,396,133,0,356,199
5,0,52,48,61,61,0,228,49,53,47,58,0,145,56
6,2656,991,1421,831,1360,13,3892,1082,967,1343,1297,0,4378,1115
7,1860,201,741,565,0,0,0,1208,458,257,547,0,0,763
8,406,216,0,157,394,4,520,14,167,0,236,3,460,180
9,0,2107,2445,3129,3157,0,0,1965,2716,2443,1263,3109,0,0
10,0,111,396,19,408,0,296,102,130,269,146,0,0,231
11,146,60,66,50,61,0,0,0,45,59,61,0,0,0
12,3509,0,1177,1071,1532,4,3427,0,1256,1492,1510,3,4779,886
13,862,757,655,519,663,0,1002,1114,864,790,162,0,2835,1029
14,454,152,104,126,186,0,491,274,164,86,179,0,470,337
15,5035,2719,3084,2888,3103,0,1945,1983,2503,2669,0,5620,0,2576
16,551,321,0,363,120,0,462,291,428,0,251,1,335,105
17,153,51,52,0,46,0,0,62,68,0,45,0,102,58
18,3734,984,1120,1061,866,3,1878,924,986,1016,1268,0,3806,985
19,0,990,700,95,804,0,390,617,473,1700,635,0,634,427
