N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[2,1,0,1],[1,0,1,0],[0,1,0,0],[1,3,0,0][1,0,1,0][0,0,0,1][1,2,0,1][0,0,0,1][0,1,0,0][0,1,0,2][0,0,0,1][1,0,0,0][0,0,0,2][0,0,1,0][1,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][1,0,0,2][0,0,1,0][10491,449,78995,54987]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3294,1109,1045,972,1572,0,3616,0,1225,1167,1212,0,4099,0
1,1628,646,402,1455,434,0,696,785,1101,395,0,0,4,582
2,400,0,237,94,194,0,424,0,280,178,268,5,370,114
3,4015,2709,2470,2759,3437,7737,4769,2956,2294,0,2667,16182,4836,2902
4,370,247,359,411,186,2,231,0,178,286,175,1,366,251
5,176,58,20,61,47,0,171,61,0,69,37,0,174,56
6,3686,985,920,839,1074,3,3137,1218,0,1241,0,5,2909,1076
7,1160,0,675,608,460,0,1710,369,685,0,147,0,525,451
8,420,249,331,139,256,0,368,251,0,144,94,1,397,0
9,4658,2532,2622,2898,3932,5692,4553,3271,2513,2902,1014,9062,3435,0
10,333,247,0,115,261,0,416,225,0,0,283,1,367,219
11,157,54,67,72,63,0,205,51,71,39,48,0,189,57
12,2331,1144,0,882,0,8,3874,929,1163,1064,951,1,3292,1032
13,143,1395,0,653,758,0,1910,0,737,351,590,0,384,0
14,459,127,230,132,176,0,504,383,0,135,276,2,417,177
15,0,2477,3697,2628,0,0,6107,2678,2876,0,3074,5177,1615,3247
16,369,331,165,337,294,0,216,110,0,218,193,1,296,176
17,197,69,49,90,0,0,200,59,46,68,47,0,117,52
18,2224,1039,1137,1211,1152,0,4586,1092,979,597,1022,1,1721,1117
19,1125,832,152,373,649,0,868,972,729,0,419,0,1291,448
