N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[2,0,1,1],[0,1,0,0],[0,0,1,0],[0,1,1,0][0,0,0,1][0,1,0,0][1,1,1,0][0,0,1,0][0,0,1,0][1,1,0,3][0,0,1,0][0,0,1,0][1,1,0,0][0,0,0,1][0,1,0,0][1,2,3,0][0,1,0,0][0,0,0,1][2,0,1,0][0,0,0,1][10492,450,78988,54992]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3343,1073,1328,1303,1173,0,4276,1050,964,1270,1114,0,0,1066
1,896,1158,153,505,695,0,1140,0,487,0,690,0,569,0
2,476,53,263,0,384,0,516,207,223,0,40,4,471,68
3,3059,0,2039,2757,3053,13808,4948,1560,1329,2824,2070,10039,0,2668
4,585,141,204,298,280,0,387,61,194,258,309,1,231,346
5,205,61,29,69,0,0,203,57,0,62,50,0,168,71
6,2726,1026,0,1171,1339,2,0,1019,1098,0,1309,13,3165,0
7,54,0,123,358,429,0,617,989,339,828,179,0,764,506
8,398,266,185,144,283,3,400,344,239,152,251,4,0,127
9,5888,1606,3543,3024,2768,0,3991,1395,3265,2895,3382,4575,3502,2486
10,442,218,372,388,150,4,0,312,277,406,255,5,326,279
11,182,0,0,0,56,0,194,54,50,51,59,0,116,63
12,1249,1152,1140,1330,986,0,4509,984,741,988,1218,1,0,1039
13,237,737,568,0,500,0,1481,1540,429,365,748,0,1429,458
14,512,20,106,120,40,0,524,220,147,166,357,0,604,190
15,7929,1999,2805,2519,1138,5043,5058,1456,3501,2459,3183,10359,2171,1693
16,439,218,117,135,181,0,422,0,241,10,154,3,395,144
17,210,74,59,79,47,0,176,66,67,67,70,0,0,62
18,1873,985,1186,1006,1504,0,2530,1051,929,1127,0,13,3224,934
19,1380,788,530,415,497,0,933,0,743,171,57,0,1292,1172
