N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,0],[0,0,0,1],[0,1,0,0],[1,1,2,1][0,0,0,1][0,0,0,1][1,1,1,0][0,0,0,1][0,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][3,0,0,1][0,0,0,1][1,0,0,1][0,0,1,2][0,0,0,1][0,1,0,0][1,1,1,0][0,0,0,1][10493,453,78993,54987]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,1562,1046,744,1260,1478,13,3244,1049,795,1433,1390,0,3600,1066
1,1057,433,744,1328,0,0,1015,905,537,714,425,0,524,635
2,400,315,146,0,7,0,447,62,186,187,234,0,465,132
3,5200,2094,3480,0,2209,7308,5496,1652,2813,2596,3733,7347,1154,1843
4,0,212,396,334,0,0,502,148,222,20,219,0,333,0
5,206,46,50,57,55,0,134,46,54,65,60,0,190,64
6,3127,1174,0,1272,1313,6,2615,1038,1226,0,749,9,3676,975
7,516,0,657,1800,478,0,425,547,843,1347,317,0,810,846
8,513,225,194,176,242,0,408,302,178,152,0,4,586,65
9,612,0,2786,3322,0,5075,0,1995,0,2926,1469,857,0,1984
10,441,222,0,399,137,0,231,112,175,0,319,0,307,288
11,180,62,0,57,0,0,159,64,75,36,52,0,189,0
12,2404,0,715,736,1357,5,2608,1034,1427,878,1162,9,2533,1125
13,0,743,0,1107,313,0,1134,0,0,995,220,0,615,0
14,455,0,0,157,148,2,486,100,136,169,386,0,503,168
15,3952,1790,2188,3174,1914,8158,4537,2110,3101,2124,3872,11169,4297,2236
16,490,148,391,129,258,0,265,0,249,411,0,0,184,237
17,190,52,53,65,77,0,196,64,62,43,67,0,187,58
18,2527,1072,1226,1135,905,0,2904,1170,704,1145,1140,0,2743,1250
19,1713,426,365,633,315,0,1219,0,470,1112,0,0,1495,0
