N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,1,0,1],[0,0,1,0],[0,1,0,0],[1,1,1,0][0,0,1,0][0,0,1,0][1,3,0,0][0,0,1,0][0,0,1,0][1,2,1,0][0,1,0,0][1,0,0,0][0,2,0,0][1,0,0,0][2,0,0,1][3,1,0,1][1,0,1,0][1,0,0,0][0,0,1,1][1,1,0,0][10487,447,78991,54996]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2572,1087,830,770,1003,11,3032,885,1078,978,967,12,3573,900
1,1044,352,0,570,683,0,1088,591,659,0,643,0,1688,623
2,491,252,0,131,345,1,497,374,216,142,202,0,322,259
3,2438,3104,3610,3217,2494,10090,3633,1795,3424,3080,1411,12776,5702,1712
4,496,124,102,265,210,0,353,183,189,192,0,0,363,226
5,79,65,50,66,51,0,205,61,65,59,69,0,191,45
6,3633,1258,713,962,1370,12,2623,1004,1603,842,1549,0,3670,1039
7,1289,810,611,1128,821,0,2452,775,0,996,166,0,1366,417
8,547,0,42,150,117,0,397,174,140,182,318,1,491,100
9,3991,2280,3108,2582,1505,7541,0,2727,1749,2928,2586,6480,6028,0
10,511,0,319,84,220,1,0,128,336,290,102,0,347,131
11,179,65,58,81,62,0,152,61,44,63,73,0,127,64
12,1857,0,952,762,1007,0,4435,973,1163,895,1132,0,3639,964
13,48,684,583,741,297,0,1421,945,849,0,319,0,2180,50
14,442,245,148,141,206,4,588,0,202,142,183,3,505,141
15,3737,1079,3629,2947,4445,2418,4697,3288,0,2410,2933,3730,3408,2081
16,538,138,164,0,199,0,385,174,188,215,166,3,178,202
17,174,0,55,62,54,0,196,64,60,61,0,0,168,53
18,2715,1077,1156,1028,1199,0,2586,1053,1220,1142,1067,0,0,1151
19,723,545,308,448,883,0,210,192,715,1004,528,0,1932,959
