N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,3,0,0],[0,1,0,0],[0,1,0,0],[1,1,2,1][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,1][0,0,2,2][0,0,0,1][0,0,1,0][0,2,1,0][1,1,0,0][1,0,1,0][0,0,1,2][0,0,1,0][0,1,0,0][0,0,2,0][1,0,0,0][10495,448,78988,54992]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2881,1079,1171,1065,933,5,3042,1132,907,1040,1204,4,0,986
1,1118,1093,34,758,382,0,1345,333,610,560,141,0,724,0
2,418,43,231,161,71,2,544,150,293,151,355,0,462,0
3,6558,1890,2720,2649,0,6528,6295,2178,3076,0,2539,7605,2783,1724
4,248,0,291,165,15,0,73,368,300,468,336,1,374,302
5,119,55,49,54,39,0,174,63,61,62,70,0,179,55
6,0,1152,1151,941,1277,3,3766,925,927,705,1058,0,3371,997
7,1114,1301,0,343,225,0,1270,1011,881,934,0,0,2476,188
8,516,185,186,145,220,1,431,0,212,156,309,0,487,0
9,6824,2564,2604,2653,4146,6996,3078,1742,0,0,348,8191,3824,2653
10,0,157,290,151,92,1,448,104,346,374,0,2,0,160
11,165,74,65,0,0,0,207,60,61,49,51,0,220,61
12,3782,1108,1002,991,991,0,1874,961,1323,1388,1341,3,2443,1051
13,1407,1047,448,610,0,0,1476,0,424,1569,901,0,339,212
14,458,224,0,120,173,0,392,200,256,123,81,0,480,114
15,4764,1654,0,2717,2901,8212,6845,1372,1485,2315,4393,6751,5178,2370
16,252,202,42,194,329,1,296,0,0,201,203,0,320,190
17,167,59,63,0,69,0,148,50,79,64,57,0,227,60
18,2905,1074,800,935,1242,2,0,1134,0,1168,1283,0,1379,1080
19,149,173,902,1123,813,0,140,990,818,317,20,0,1190,606
