N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[1,2,0,0],[1,0,0,1],[1,0,0,1],[0,2,1,0][0,0,0,1][0,0,1,0][1,1,0,1][1,0,0,1][0,1,0,0][1,2,1,1][0,0,0,1][0,0,0,1][0,0,1,0][0,1,0,1][1,1,0,0][0,1,1,0][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,1][10493,447,78993,54989]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2270,1153,950,706,1119,4,3398,858,1080,1219,1013,0,0,983
1,1790,39,0,975,762,0,735,591,400,1458,466,0,2261,900
2,503,184,299,109,313,3,450,209,243,105,337,2,492,0
3,3274,871,1651,3225,3625,12452,5605,2466,2881,2466,0,12694,6214,2116
4,109,269,210,371,189,2,375,266,401,172,290,0,227,225
5,172,52,59,65,53,0,160,66,53,83,51,0,156,48
6,2839,1036,1110,898,1377,7,3549,1059,943,1312,1122,0,1944,1077
7,681,655,477,798,733,0,1867,0,989,535,423,0,611,296
8,601,160,205,158,205,5,509,90,286,140,350,0,0,214
9,5520,2436,0,2451,2482,0,4409,2561,3239,2910,0,7755,4775,0
10,336,334,353,126,265,0,291,177,268,207,271,1,248,0
11,167,0,52,33,48,0,189,48,47,69,44,0,0,50
12,0,1099,1083,714,1075,3,3685,1020,1129,1253,1258,0,2604,1059
13,2412,522,383,267,0,0,0,832,742,879,596,0,1625,0
14,423,184,217,0,144,3,462,281,293,189,434,3,609,179
15,2674,3335,2357,3162,2104,14732,5571,1139,0,0,1450,6464,2791,2667
16,265,273,0,231,232,2,305,208,317,355,283,1,533,44
17,196,58,73,75,57,0,175,60,64,55,67,0,116,59
18,2912,1184,1220,0,1172,10,3866,0,1084,1120,0,4,3883,943
19,2415,0,388,1284,632,0,2912,1047,704,1367,515,0,935,755
