N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[1,1,0,1],[0,0,0,2],[0,1,0,0],[2,1,2,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][4,2,0,2][0,0,1,0][0,0,0,1][1,0,1,1][0,0,0,1][0,1,0,0][2,1,2,1][0,0,1,0][2,0,0,0][0,1,0,1][1,0,0,1][10487,451,78991,54986]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2956,1109,873,1301,1528,3,3799,1105,831,1311,1188,13,3922,1055
1,2405,771,0,1105,788,0,375,1187,802,1076,188,0,2440,776
2,563,220,141,170,274,3,518,247,155,161,0,2,378,61
3,5128,1799,2661,2563,2109,0,3027,1551,1946,2424,0,7799,4451,2133
4,463,181,152,356,256,6,394,155,134,55,295,0,214,232
5,0,58,49,55,0,0,195,68,59,61,73,0,186,57
6,2883,1145,789,1116,990,0,3212,1156,867,892,1254,10,3493,1274
7,0,1135,582,0,770,0,0,1277,562,1101,0,0,248,970
8,442,102,78,146,379,0,511,287,242,0,316,0,421,237
9,5800,2753,2521,2737,1508,7372,2233,2577,2568,2698,2820,8887,1354,2618
10,362,266,214,273,159,0,294,162,371,23,247,0,306,152
11,169,56,37,44,46,0,186,0,62,48,0,0,164,63
12,2284,1092,897,0,964,4,2981,1030,951,771,1003,0,2509,1106
13,1313,671,634,342,733,0,0,288,1031,1316,764,0,55,487
14,452,363,233,175,184,1,344,168,129,174,477,0,401,0
15,6931,1456,2184,2949,2447,4602,1097,2155,2659,3122,213,7325,2499,1765
16,266,245,276,129,77,0,0,225,215,72,35,0,46,141
17,212,58,53,64,54,0,208,58,70,63,46,0,190,55
18,2963,1038,1009,991,1140,16,2167,1043,829,0,1365,8,3213,1227
19,1614,135,294,961,0,0,1480,0,531,1175,898,0,0,718
