N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,1,0,1],[0,0,0,1],[0,0,0,1],[1,1,2,0][1,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][1,1,0,0][0,1,0,2][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,3,0][0,0,1,0][1,0,0,0][2,1,1,1][0,0,1,0][10492,452,78989,54989]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2636,1008,1334,863,1182,11,2228,1065,1025,642,1626,0,3215,1052
1,0,1367,725,2186,571,0,145,279,555,374,718,0,0,1112
2,494,188,136,163,220,0,494,135,207,153,112,2,493,219
3,4975,1972,2916,0,3523,7116,4899,2479,4179,3215,1992,4159,6698,2575
4,667,231,0,107,224,0,289,332,311,171,173,5,0,148
5,149,60,57,55,66,0,196,54,58,54,54,0,0,55
6,3320,1189,1102,1246,1182,15,0,1142,751,967,1046,6,3795,995
7,1178,938,698,835,507,0,1714,812,751,626,886,0,1605,1730
8,388,190,243,186,203,0,433,281,162,153,292,0,594,53
9,4668,2584,3311,2376,1637,5480,4931,1478,0,2402,2913,9844,7066,2101
10,318,180,334,42,133,2,239,238,218,150,81,3,0,148
11,177,58,39,61,42,0,0,52,43,72,58,0,209,52
12,2602,1025,1045,595,1022,14,2416,1151,1062,1042,0,3,3116,1175
13,1588,301,920,651,325,0,1109,633,586,371,445,0,116,860
14,444,72,169,93,134,0,426,0,253,168,402,1,422,89
15,5153,1448,2632,3176,3474,3917,0,2017,3258,2431,2504,0,5118,0
16,0,0,220,0,243,0,543,231,185,124,101,4,134,194
17,0,53,59,71,45,0,0,54,57,53,58,0,168,62
18,4503,0,1113,977,1151,13,2982,1245,833,0,1101,4,2544,1055
19,0,906,474,2117,381,0,649,125,735,960,571,0,1342,436
