N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[1,0,2,1],[0,0,1,0],[1,0,1,0],[0,1,1,2][1,0,0,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,0,1][1,1,0,1][0,0,1,0][1,0,0,0][0,1,0,1][1,0,1,0][0,1,0,0][0,1,1,0][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][10494,453,78989,54991]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3982,915,0,863,1355,0,2794,1215,1102,1118,1390,0,0,1122
1,869,1067,762,676,409,0,960,0,196,761,823,0,838,417
2,459,213,203,148,178,0,445,123,166,172,388,2,504,149
3,5612,2831,2811,2430,2470,7679,2315,2053,2504,3054,3023,740,3939,3257
4,121,230,135,173,128,4,0,0,306,391,276,0,477,298
5,223,56,0,69,0,0,203,74,64,69,56,0,184,0
6,0,1162,928,1330,1177,2,0,0,1202,709,1211,6,0,1165
7,317,1116,134,899,202,0,1178,399,213,527,589,0,713,954
8,424,0,178,193,208,4,405,163,211,135,62,3,444,240
9,2932,2452,2397,0,2398,10186,4387,2260,2228,3280,550,11198,2483,1878
10,383,118,285,50,192,0,420,0,0,179,305,0,373,240
11,188,63,64,58,69,0,190,49,35,0,61,0,185,65
12,3163,1017,1097,1042,1593,1,2684,1023,1071,1018,929,0,2047,1230
13,1897,0,820,241,570,0,419,542,291,1431,754,0,1853,516
14,464,224,207,178,265,1,522,80,278,177,160,2,399,299
15,2415,2556,2280,2926,3760,3839,5115,2469,2457,2700,0,5843,3163,1955
16,0,264,295,189,304,0,403,222,135,0,62,0,70,204
17,0,0,57,58,72,0,166,57,45,77,47,0,185,0
18,3249,0,1210,0,983,4,0,960,1014,954,1409,0,5783,1095
19,970,0,675,635,0,0,67,754,350,914,504,0,0,981
