N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,2,1],[0,1,0,0],[0,1,0,0],[0,2,0,1][0,0,0,1][0,0,1,0][1,0,1,2][1,1,0,0][0,1,0,0][0,0,1,2][0,0,1,0][0,1,0,0][0,0,0,2][1,1,0,0][0,1,0,0][1,0,0,3][0,0,0,1][1,0,0,0][0,0,0,2][0,0,0,2][10495,451,78994,54983]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3897,1208,631,985,1332,0,2755,1048,0,1273,0,1,2814,1108
1,1269,497,508,1628,266,0,559,219,404,796,673,0,910,60
2,477,129,250,119,338,0,0,52,239,135,329,0,554,153
3,3919,1673,2597,2656,0,9024,3191,2702,2818,2970,3125,9492,3225,2268
4,0,275,243,301,115,3,547,159,208,73,277,0,366,154
5,186,63,66,54,57,0,143,68,55,58,57,0,161,60
6,5258,1003,1319,1348,924,18,3009,1040,1012,1132,1363,0,0,1115
7,1345,0,693,641,1045,0,2223,1522,649,265,365,0,110,995
8,562,163,63,141,284,0,467,134,316,117,280,0,404,148
9,4455,3507,4367,2349,1667,9417,4372,2019,2656,2479,3467,9952,218,3224
10,287,191,374,0,123,7,373,0,424,226,294,0,210,330
11,185,62,48,0,53,0,166,56,48,81,61,0,141,51
12,3226,1076,1216,1071,0,0,2075,1005,1241,1138,1121,0,2161,1156
13,1298,0,484,1212,541,0,379,108,696,954,1032,0,221,0
14,425,0,292,134,238,0,480,282,159,135,0,1,409,178
15,5500,0,2203,2455,2890,0,4203,2902,3031,0,0,0,3947,0
16,288,145,279,0,176,0,566,59,201,287,165,0,0,155
17,161,45,38,51,58,0,157,53,41,62,52,0,251,53
18,2649,1136,1029,921,844,4,3017,1011,1054,942,1344,0,5711,1052
19,2573,911,682,1754,0,0,0,1144,0,1223,719,0,0,1395
