N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,2,0,0],[0,1,0,1],[0,0,0,1],[1,1,1,1][0,1,0,0][0,1,0,0][1,1,0,1][1,0,1,0][0,0,1,0][1,1,1,0][2,0,0,1][0,0,0,1][1,1,0,1][0,0,0,1][0,1,0,0][0,1,2,0][2,0,0,0][0,1,0,0][0,1,0,0][0,0,1,0][10491,447,78993,54992]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2150,0,1224,1112,1189,0,3611,1063,739,627,1090,13,1838,1158
1,1388,1131,880,1342,329,0,345,1381,0,1181,299,0,835,537
2,406,149,148,125,97,2,492,145,248,128,0,0,503,192
3,5033,2331,0,2621,3080,3925,5723,3067,0,2362,4717,2783,2782,1418
4,98,273,199,398,182,1,392,251,381,473,0,0,293,295
5,157,47,74,0,66,0,197,62,57,0,68,0,229,59
6,2870,0,1090,1342,1164,0,2031,1096,887,996,1186,0,0,1213
7,1462,877,552,1845,730,0,0,775,497,744,855,0,1612,782
8,0,219,135,150,0,6,447,0,138,116,237,0,575,164
9,3111,2746,2801,2722,1961,0,3255,1604,2467,2867,2789,9076,4038,1826
10,656,62,159,214,0,0,304,319,302,246,215,4,258,303
11,0,50,58,64,52,0,196,64,56,60,40,0,142,62
12,2332,1187,796,799,1042,0,0,1086,1428,1073,1196,0,1773,1161
13,0,482,402,765,0,0,597,74,655,1384,0,0,1106,905
14,442,313,210,152,115,0,466,237,124,172,183,0,500,0
15,4376,2794,3156,2768,2155,4855,8057,1482,2599,0,3468,4765,3261,2597
16,333,448,224,0,315,4,475,148,102,381,0,2,0,141
17,211,51,42,46,59,0,184,63,48,67,67,0,169,52
18,0,1016,1029,868,1169,0,3022,1037,1168,1084,1356,0,2738,1157
19,674,298,0,664,704,0,1078,597,556,1141,447,0,710,0
