N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,470,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,0],[0,1,1,0],[0,1,0,0],[1,1,2,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][1,0,1,0][1,0,1,1][1,0,1,0][1,0,0,0][3,0,0,2][0,1,0,0][1,0,1,0][0,2,0,1][0,0,1,0][0,0,1,0][2,1,1,1][0,0,0,1][0,0,1,0][2,2,2,0][0,0,0,1][0,0,0,1][1,0,0,2][1,0,0,1][0,0,0,1][1,1,1,0][1,0,0,1][1,0,0,0][1,1,0,1][0,1,0,1][0,0,1,0][1,0,2,1][0,0,0,1][0,1,0,0][0,0,2,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,0,1][2,0,0,0][3,1,0,1][1,0,0,1][0,0,1,0][2,0,0,1][0,1,0,0][0,0,0,1][0,2,1,0][0,1,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][1,0,1,1][0,0,1,0][0,0,1,0][1,0,2,1][0,0,0,1][0,0,1,0][0,1,0,2][1,0,0,1][2,0,1,0][1,0,0,1][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][1,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][1,0,1,1][1,0,1,0][0,0,0,1][0,1,2,0][1,0,0,1][0,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][1,0,0,3][1,1,0,0][0,1,0,0][1,0,1,1][1,1,1,0][0,0,1,0][1,2,0,1][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][3,2,1,0][1,1,0,0][0,1,0,0][4,2,1,0][1,1,0,0][1,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,2,0][1,2,0,0][1,0,1,0][1,2,0,2][0,0,0,1][0,1,0,0][4,0,1,1][0,0,0,1][0,1,0,0][4,2,0,1][1,1,0,0][0,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,0,1,0][0,1,1,1][4,0,1,0][0,0,0,1][1,0,2,1][1,0,0,0][1,0,0,0][1,1,1,1][0,1,0,0][0,0,0,1][2,0,1,2][0,1,0,0][1,0,0,0][2,2,1,0][0,1,1,0][1,0,0,1][4,1,1,1][0,0,1,0][0,1,0,0][1,0,0,2][0,1,1,0][1,0,0,1][1,1,1,1][0,0,1,0][1,0,0,0][1,1,0,2][0,0,0,1][0,0,0,1][2,3,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][2,0,1,2][0,1,0,0][1,0,0,0][1,1,0,0][0,0,0,1][0,0,0,1][2,0,2,1][0,0,0,1][0,0,0,1][1,1,1,0][0,0,1,0][0,0,0,1][0,0,2,1][0,1,0,0][0,0,0,1][0,0,0,1][1,0,0,1][0,0,0,1][0,0,1,2][0,1,0,0][0,0,1,0][1,0,2,0][0,1,0,0][1,0,1,0][1,1,4,0][0,1,0,0][0,0,0,1][1,2,0,0][0,2,0,0][0,0,0,1][1,1,0,1][0,0,1,0][0,0,1,0][1,0,1,1][0,0,1,0][1,0,1,0][0,0,1,2][0,0,1,0][0,0,1,0][0,1,0,1][0,0,1,0][0,0,0,1][0,0,1,2][1,1,0,0][0,1,0,0][1,1,1,1][0,0,0,2][0,0,1,0][0,0,2,0][0,0,0,1][0,1,0,0][2,1,0,1][0,1,1,0][0,0,0,1][0,3,0,0][1,0,1,0][1,0,0,0][0,1,0,1][0,0,1,1][0,0,0,1][1,0,1,2][0,0,0,1][0,1,0,0][0,1,1,0][1,0,0,1][0,1,0,0][0,2,1,1][0,1,0,0][0,0,1,0][0,1,0,0][1,0,0,1][0,0,0,1][2,0,2,1][0,0,0,1][0,0,1,0][1,0,1,2][1,1,0,0][0,0,0,1][2,1,0,1][1,1,0,0][0,0,0,1][0,1,0,1][1,1,0,0][0,1,0,0][1,1,0,2][1,0,0,1][0,0,1,0][0,0,3,0][0,2,0,0][0,0,1,0][4,1,0,1][0,0,0,1][0,0,0,1][0,2,1,0][0,0,1,0][0,1,0,0][0,1,1,2][0,0,0,1][0,0,1,0][0,1,1,2][0,1,0,0][1,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][2,0,2,0][0,0,0,1][2,0,1,0][1,1,1,0][1,0,1,0][0,1,0,0][0,0,1,2][0,1,0,1][1,0,0,1][0,2,1,1][0,0,0,1][0,0,0,1][1,1,2,0][1,0,1,0][0,0,1,0][1,1,1,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][1,1,0,2][1,1,0,0][1,0,0,1][3,2,0,0][1,0,1,0][1,1,0,0][1,1,0,1][0,0,1,0][1,0,0,0][0,0,1,2][0,0,1,0][0,0,0,1][2,1,1,1][0,0,0,1][1,0,0,0][0,0,2,1][1,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][0,0,0,2][3,1,0,0][1,0,1,0][0,4,0,0][1,0,1,0][0,0,1,0][0,0,0,1][1,0,1,0][0,0,1,0][2,0,2,0][0,0,0,1][0,1,0,0][0,0,1,0][1,0,0,1][0,1,0,0][0,0,1,1][2,0,0,0][0,0,0,1][2,1,2,0][0,0,1,0][0,0,0,1][1,0,1,1][2,0,0,0][0,1,0,0][0,0,2,1][0,0,0,1][1,1,0,0][1,1,1,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][2,2,1,0][0,0,0,1][0,1,0,0][2,1,0,2][0,1,1,0][0,1,0,0][0,2,1,1][0,0,0,1][1,0,0,0][0,0,1,1][0,0,1,1][0,1,0,0][2,1,1,1][0,1,0,0][0,0,0,1][1,2,0,1][1,0,0,1][0,0,0,1][0,0,2,1][0,0,0,1][0,1,0,0][0,1,0,0][0,0,0,1][1,1,0,0][1,2,0,1][0,0,0,1][1,0,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,1][1,0,0,0][1,0,0,0][3,0,1,1][0,0,1,1][1,1,0,0][3,1,0,2][1,1,0,0][1,0,0,0][0,1,1,1][0,1,0,1][0,1,0,0][0,3,0,0][0,0,0,1][0,0,1,0][1,0,1,2][0,1,1,0][0,0,1,0][0,1,0,1][1,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][0,0,1,0][1,1,2,0][1,1,0,0][1,0,1,0][2,0,1,2][3,0,0,0][1,0,0,1][1,0,2,0][1,1,1,0][0,0,0,1][0,1,1,0][0,0,0,1][1,0,0,0][0,0,1,2][0,0,0,1][2,0,0,1][0,1,2,0][0,0,0,1][0,0,1,0][1,1,1,0][1,0,1,0][1,1,0,0][0,0,0,1][0,0,0,1][1,0,0,0][2,2,1,0][0,0,0,1][1,0,0,0][1,0,1,1][1,1,0,0][1,0,0,0][2,1,1,0][0,0,1,0][0,1,0,0][0,0,1,0][2,0,0,0][0,0,1,0][2,0,1,1][0,1,0,1][0,0,0,1][1,0,2,1][0,0,0,1][0,1,0,0][0,0,0,2][3,1,0,0][0,1,0,0][3,3,0,1][0,0,1,0][1,0,0,0][0,2,0,0][1,1,0,0][0,0,1,0][1,2,1,1][0,0,0,1][0,0,1,0][0,1,1,0][0,1,0,0][0,0,0,1][1,1,0,1][1,0,0,0][0,1,0,0][4,2,0,0][0,1,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,0,0,1][1,1,0,1][0,0,1,0][3,0,0,0][0,1,0,1][0,1,0,0][0,0,1,0][0,1,0,0][1,1,0,0][0,1,0,0][2,0,3,0][0,0,0,1][0,0,1,0][0,2,0,1][0,0,0,1][1,0,1,0][1,1,1,0][0,0,1,0][0,0,1,0][0,1,0,0][1,0,1,0][0,1,0,0][0,2,0,1][0,1,0,0][0,1,0,0][0,2,1,0][2,1,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][1,1,2,0][1,0,0,1][0,0,0,1][1,0,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,1,0][3,0,0,0][0,0,0,2][0,1,0,0][0,0,0,1][1,1,0,1][0,0,1,1][0,1,0,0][1,2,1,1][0,1,0,0][0,1,0,0][2,1,1,0][1,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][1,0,2,0][0,0,0,1][0,1,0,0][0,0,2,0][0,0,1,0][0,0,0,1][0,0,1,2][0,0,2,0][0,0,1,0][2,1,0,2][0,0,1,0][1,0,0,0][0,0,0,2][0,0,1,0][0,1,0,0][4,1,0,1][1,0,0,0][0,0,0,1][0,0,0,2][0,0,1,1][0,0,1,0][2,1,0,1][1,0,0,1][1,0,0,0][1,2,0,1][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][1,0,0,0][1,2,0,0][0,1,0,0][0,0,0,1][1,0,2,1][0,0,0,1][0,0,1,0][1,0,0,1][2,1,0,0][0,0,1,0][1,1,1,0][1,0,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,1,0,0][0,1,1,0][2,0,0,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][0,1,1,0][0,0,0,1][1,0,0,0][0,0,0,2][0,0,1,0][1,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][2,1,0,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][2,0,2,1][0,0,1,0][1,1,0,0][1,1,1,0][1,1,0,0][0,0,1,0][0,0,2,0][0,1,0,0][1,0,1,0][2,0,2,1][0,0,1,0][1,0,0,0][0,1,0,0][1,1,0,0][0,0,1,0][0,1,1,1][0,1,0,0][1,0,0,0][2,2,1,0][1,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][1,0,1,1][0,1,0,0][0,3,0,1][0,1,0,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,1,0][0,1,1,1][0,0,1,0][0,1,0,0][2,2,0,0][1,2,0,0][0,0,1,0][0,1,0,1][0,0,0,1][1,0,0,0][2,0,1,2][0,0,1,1][1,0,0,1][0,0,0,2][0,1,0,0][1,0,0,0][0,0,2,1][0,1,0,0][1,0,0,1][1,2,0,1][0,0,1,0][0,0,1,0][1,0,2,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,0,0][0,0,0,1][1,0,1,2][0,1,0,0][1,0,0,0][0,1,1,0][0,0,0,1][0,1,0,0][4,2,1,0][0,1,0,0][1,0,0,0][2,1,0,2][0,0,1,0][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][0,1,1,0][0,0,0,1][1,0,0,0][0,0,2,1][1,0,0,1][0,1,0,0][0,1,2,0][0,0,1,0][1,1,0,0][2,1,0,2][0,0,1,0][0,1,0,0][2,1,1,1][1,0,1,0][1,1,0,0][1,1,2,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,1,0][0,1,0,0][0,0,1,2][0,0,1,0][0,0,1,0][0,2,0,0][0,1,0,1][1,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,1,0][2,2,0,1][0,1,0,0][0,0,1,0][0,0,2,1][1,0,0,1][1,1,0,0][0,2,0,1][0,0,1,0][0,0,0,1][0,0,1,1][1,2,0,0][0,1,0,0][1,1,1,2][1,0,0,1][0,1,0,0][0,2,0,0][1,1,0,1][0,0,1,0][0,1,1,1][0,0,1,0][0,0,0,1][2,1,2,0][0,0,0,1][0,0,0,1][1,0,2,1][0,1,0,0][0,1,0,0][1,0,1,1][0,0,2,0][0,1,0,0][0,0,2,0][0,0,1,0][0,0,1,0][1,2,0,0][2,1,0,0][0,1,0,0][0,1,1,1][1,1,0,0][0,0,1,0][1,0,2,0][1,1,0,0][0,0,0,1][1,0,0,1][0,0,1,0][1,0,0,0][0,2,1,0][1,1,0,0][0,0,0,1][2,2,0,1][0,1,0,0][1,0,0,0][1,1,0,1][0,0,0,1][0,0,1,0][1,1,1,1][1,0,0,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,2,1][0,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,0,0,1][2,0,1,2][1,0,0,0][0,1,0,0][0,2,1,1][0,0,0,1][1,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][2,1,1,1][0,0,1,0][0,1,0,0][2,1,2,0][0,0,1,0][0,1,0,0][1,0,1,2][0,1,0,0][0,0,0,1][1,1,0,2][0,0,1,0][0,0,1,0][2,1,1,1][0,0,0,1][2,0,0,1][0,0,3,0][0,0,1,0][0,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][1,1,1,2][0,0,0,1][0,0,0,1][1,2,1,0][0,0,0,1][0,0,1,0][0,0,0,2][0,1,0,0][0,0,1,0][0,0,1,1][1,0,0,1][0,1,0,0][1,0,0,1][1,1,0,0][1,0,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,1,0][2,0,2,0][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][3,2,0,0][2,0,0,1][0,0,1,0][0,2,0,1][0,0,0,1][0,1,0,0][1,1,2,0][0,0,0,1][1,1,0,0][1,1,0,1][0,0,1,0][0,0,0,1][1,0,1,1][1,1,0,0][0,0,0,1][3,0,1,1][0,0,1,0][0,1,0,0][0,0,2,1][0,0,1,0][0,0,0,1][0,1,2,1][0,1,0,0][0,1,0,0][3,0,0,2][0,0,0,2][1,0,1,0][5,1,1,1][1,0,0,0][0,0,0,1][2,1,2,0][3,1,0,0][0,1,0,0][1,2,1,1][0,1,0,0][0,0,0,1][1,0,2,1][0,0,1,0][1,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][0,1,1,1][0,1,0,0][1,0,1,0][2,1,0,3][0,0,1,0][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][2,3,1,0][0,0,1,0][0,0,0,1][3,0,1,1][2,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][1,1,1,1][0,0,0,1][0,0,0,1][1,0,2,0][0,0,1,0][1,0,0,0][1,1,0,1][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][1,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][1,2,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][0,2,1,1][1,0,0,1][0,0,0,1][0,2,0,1][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][1,0,0,0][1,1,0,1][0,0,0,1][2,0,0,1][2,1,1,0][0,0,1,0][0,1,0,0][0,1,2,0][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][1,0,0,0][2,1,1,0][0,1,0,0][1,1,0,0][3,0,3,0][0,1,0,0][0,0,0,1][0,2,0,1][0,1,1,0][0,0,0,1][0,0,0,1][0,0,0,1][1,0,0,0][2,1,0,0][0,1,0,0][0,1,0,0][1,0,2,1][0,1,0,0][0,1,0,0][1,0,1,1][0,0,0,1][0,1,0,0][1,0,1,2][1,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][0,1,0,0][0,1,0,1][0,0,0,1][0,1,0,0][1,0,1,0][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][1,0,0,0][0,1,0,1][3,0,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][1,0,1,2][0,0,1,0][0,0,1,0][1,1,1,0][0,0,0,1][1,0,0,0][1,0,1,2][0,0,1,0][0,0,1,0][6,0,0,1][0,0,1,0][2,0,0,0][0,0,2,0][0,1,0,0][0,1,0,0][0,0,2,0][0,1,0,0][1,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][1,0,0,2][1,0,1,0][1,1,0,0][0,2,1,0][10013,5,78500,54515]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,0,1055,853,0,1153,4,2327,1054,1097,1398,1104,5,3375,1186
1,1780,862,936,674,428,0,641,949,386,880,557,0,0,716
2,460,0,278,90,236,0,0,159,293,111,232,1,472,89
3,5684,2469,2739,2578,3638,6491,4631,1951,3101,2537,1607,3107,0,1658
4,199,0,373,333,0,0,159,77,288,292,0,0,0,201
5,158,55,49,76,59,0,172,61,51,61,43,0,152,45
6,0,1060,1082,734,1270,3,3984,1063,1430,993,1294,8,2910,1096
