N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[1,1,1,0],[0,1,0,0],[1,1,0,0],[1,2,0,1][0,0,1,0][0,0,1,0][2,0,0,2][0,0,0,1][0,0,0,1][0,0,2,0][0,0,1,0][0,0,0,1][1,1,1,0][0,2,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,1,0][1,1,2,0][1,0,0,1][0,1,0,0][0,0,2,0][1,0,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,0,0,1][0,1,1,1][1,0,1,0][0,0,1,0][0,0,1,0][0,0,2,0][0,1,0,0][0,2,0,1][0,1,0,0][0,0,0,1][1,1,1,0][3,1,0,0][0,0,0,1][1,1,1,0][1,0,0,0][0,0,0,1][0,1,0,1][1,0,1,0][0,0,1,0][0,0,2,1][0,1,0,0][1,0,0,0][1,0,1,1][0,0,1,0][0,0,1,0][0,1,0,3][0,1,0,0][1,0,0,0][1,1,1,0][0,0,1,0][1,1,0,0][2,0,1,1][0,0,1,0][1,0,0,0][0,0,2,0][0,1,0,0][0,0,0,1][2,3,0,0][1,0,0,0][0,0,1,0][1,1,1,0][0,0,0,1][0,0,0,1][1,0,1,1][2,0,0,0][0,0,0,1][2,2,0,1][0,0,0,1][3,0,0,0][1,1,1,0][1,0,0,1][0,0,0,1][0,1,1,1][2,1,0,0][0,0,0,1][0,0,3,1][1,1,0,0][0,1,0,0][3,0,0,2][1,0,0,1][0,0,0,1][0,0,1,1][1,0,1,0][1,0,0,0][1,1,1,1][0,0,0,1][0,0,1,0][2,1,1,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][1,0,0,2][1,0,0,1][1,0,0,0][0,0,3,0][0,1,0,0][1,1,0,0][0,1,2,1][1,1,0,0][1,0,0,0][0,1,1,0][2,0,1,0][1,0,0,1][2,1,1,0][0,0,1,0][0,0,0,1][2,2,2,0][0,0,0,1][2,0,0,1][0,0,1,2][0,0,0,1][1,0,0,0][1,1,1,0][1,1,0,0][0,0,0,1][1,0,2,0][0,0,0,1][0,0,1,0][1,1,1,0][1,0,0,1][1,1,0,0][1,1,0,1][1,0,0,1][0,1,0,0][1,1,0,1][0,0,2,0][0,0,1,0][3,2,0,0][0,0,0,1][1,0,0,0][0,1,0,2][0,0,0,1][1,1,0,0][1,1,1,0][0,0,1,0][0,0,1,0][0,1,0,1][3,0,1,1][0,0,0,1][0,0,2,2][0,0,0,1][2,0,0,0][3,0,1,1][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][2,0,0,2][1,1,0,0][0,0,0,1][10,3,0,1][0,0,1,0][1,0,0,0][0,1,0,1][0,1,1,0][1,0,0,1][0,1,0,1][1,1,0,0][0,1,0,0][2,0,0,2][1,0,0,0][1,0,0,1][0,0,0,2][0,0,1,0][0,0,1,0][0,1,2,0][0,0,0,1][0,1,0,0][0,1,1,1][1,0,1,0][1,0,0,0][1,3,0,0][0,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][1,0,0,0][0,2,0,1][0,0,0,1][0,0,0,1][1,1,1,2][0,1,0,0][1,0,0,0][0,1,0,0][0,1,0,0][0,0,0,1][1,0,1,1][0,1,0,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][1,0,0,0][0,2,0,1][1,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,0,1][0,2,0,0][2,0,1,0][1,0,2,1][2,0,1,0][0,0,1,0][0,0,0,2][0,1,0,1][0,0,1,0][3,1,1,1][0,0,1,0][0,1,0,0][0,0,2,0][1,0,0,1][0,1,0,0][1,2,2,0][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,1,0][1,0,0,0][1,0,0,0][0,1,0,2][1,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,1,0,0][0,2,0,1][3,0,0,1][1,1,0,0][0,1,1,2][1,0,1,0][0,0,0,1][0,1,0,1][0,0,0,1][0,0,0,1][1,1,2,0][0,0,1,0][1,0,0,0][3,0,1,1][0,0,0,1][0,0,1,0][0,0,1,2][1,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][0,2,0,1][1,1,0,1][0,1,0,0][1,1,2,0][0,1,0,0][0,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][1,1,1,1][0,0,1,0][0,0,0,1][3,2,0,0][0,0,1,0][0,0,1,0][1,0,1,1][0,0,0,1][0,1,0,0][0,1,1,1][1,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,0,2,1][0,0,0,1][0,1,0,0][1,0,1,2][0,0,0,1][0,0,1,0][2,1,0,1][2,0,2,0][0,0,0,1][0,0,1,1][1,0,0,1][1,0,0,0][2,1,2,0][0,0,1,0][0,0,1,0][3,0,1,2][1,0,1,0][1,0,0,0][2,2,0,1][1,0,0,0][0,0,0,1][4,1,2,0][0,1,0,0][1,0,0,0][0,1,1,1][0,0,1,0][0,0,1,0][2,0,2,2][0,0,0,1][0,1,0,0][5,1,0,1][0,2,0,0][0,0,1,0][1,2,1,1][0,0,0,1][0,0,0,1][0,3,0,0][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][1,1,0,0][1,1,1,1][0,2,0,0][0,0,1,0][1,1,0,2][0,1,0,0][1,0,0,0][0,0,2,0][0,2,0,0][1,1,0,0][1,3,0,1][0,1,0,0][0,0,1,0][0,0,2,0][0,1,1,0][0,0,0,1][0,2,1,2][0,0,1,0][1,0,0,0][0,1,2,0][0,1,0,1][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][0,1,0,2][0,0,1,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,0,1][0,0,0,2][1,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][1,0,0,0][1,1,0,2][0,0,0,1][0,1,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,2,0,1][2,1,0,0][1,0,0,1][3,4,0,0][1,1,0,0][1,0,0,0][0,1,0,2][0,0,0,1][0,0,0,1][1,1,0,2][2,0,0,0][0,0,1,0][2,1,1,0][0,1,0,0][0,0,1,0][1,1,2,1][0,0,1,0][0,0,0,1][0,0,1,0][2,0,0,1][0,0,1,0][1,1,1,0][0,0,1,0][0,1,0,0][0,0,1,1][2,0,0,0][0,1,0,0][1,0,3,0][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,1,0][1,0,1,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,1,0][0,0,1,0][1,2,0,0][0,1,0,0][0,0,1,0][1,0,0,2][0,0,0,1][0,0,1,0][1,0,0,1][0,0,0,1][1,0,0,0][0,0,1,1][0,1,0,0][0,0,1,0][1,1,1,2][0,0,1,0][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][0,1,0,1][0,0,1,0][1,0,0,0][1,2,0,1][0,1,0,0][1,0,1,0][1,1,0,1][0,0,0,1][0,0,1,0][2,0,1,1][1,0,0,2][1,0,1,0][1,2,0,1][0,1,0,0][0,0,0,1][0,0,0,3][0,0,1,0][2,0,0,0][4,0,2,1][0,1,0,0][0,0,0,1][0,2,1,0][0,0,1,0][0,0,1,0][0,1,0,1][0,0,0,1][1,0,0,0][0,1,1,1][2,1,1,0][2,0,0,0][0,1,2,1][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,1][0,1,0,0][0,0,1,2][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,0,1,0][1,1,0,2][0,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][1,0,0,1][1,2,1,0][0,0,1,0][0,0,0,1][0,1,0,2][0,1,0,0][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][2,0,1,1][2,1,0,0][0,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][3,0,0,1][1,1,0,1][0,0,1,0][3,1,0,2][0,1,0,0][0,0,1,0][0,1,2,0][0,1,0,0][0,1,0,0][0,1,2,1][0,0,0,1][0,0,1,0][3,1,0,1][1,0,1,0][0,1,0,0][1,1,0,2][1,0,1,0][2,0,0,0][1,2,1,0][0,0,1,0][1,0,0,1][1,0,1,1][0,0,1,0][1,0,0,0][0,3,0,0][0,0,1,0][0,0,0,1][0,1,1,0][1,0,0,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,0,1][1,2,0,0][1,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,1,0,0][1,3,0,1][0,0,0,1][0,1,0,0][1,3,0,0][1,0,1,0][0,0,1,0][2,2,0,1][0,1,0,0][1,0,0,0][0,2,0,1][0,0,1,0][1,0,1,0][0,0,2,1][0,1,0,0][0,0,1,0][2,2,0,0][0,0,1,0][0,1,0,0][0,1,1,0][0,0,0,1][1,0,0,0][1,2,1,0][0,0,1,0][0,1,0,0][0,3,0,0][3,0,0,1][0,1,0,0][1,0,1,0][1,0,0,1][0,0,0,1][2,0,1,0][1,0,0,0][1,0,0,0][0,0,1,1][1,0,1,1][0,1,0,0][2,2,1,0][0,0,0,1][1,0,0,0][2,1,0,1][0,0,0,1][0,0,1,0][1,0,1,1][2,0,0,0][0,0,0,1][0,0,0,2][0,0,0,1][0,0,1,0][1,0,3,0][0,1,0,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,0,1][1,0,0,3][0,0,1,0][0,0,0,1][1,1,0,1][0,0,0,1][2,0,0,0][1,3,0,1][0,0,0,1][0,1,0,0][0,0,1,0][1,0,0,0][1,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][1,1,2,0][1,0,0,1][0,1,0,0][0,1,1,1][0,0,0,1][0,0,1,0][0,2,0,1][0,1,0,0][1,1,0,0][2,1,1,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][2,1,0,0][1,4,2,0][0,0,1,0][0,0,0,1][0,2,1,1][0,1,0,0][1,0,1,0][0,1,0,1][2,0,0,0][0,1,0,0][0,1,0,2][0,0,1,0][0,0,1,0][0,0,1,1][0,1,0,0][1,0,0,0][0,0,1,0][0,0,1,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][1,1,0,1][0,0,1,1][1,1,0,0][1,1,2,0][0,0,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,2,0][1,0,1,0][0,0,0,1][0,1,2,0][0,0,0,2][0,0,1,0][1,1,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][0,0,1,0][0,1,0,2][1,1,0,0][0,0,1,0][2,1,2,0][0,0,0,1][0,0,0,1][0,1,2,0][1,0,1,0][1,0,0,0][1,0,2,0][2,0,1,0][0,1,0,0][4,1,2,0][0,0,0,1][0,1,0,0][0,2,1,0][0,0,0,1][0,1,0,0][0,0,0,2][0,0,0,1][1,0,0,0][0,1,1,1][0,0,1,0][1,0,0,0][1,1,1,0][0,0,1,0][0,1,0,0][0,0,1,1][2,0,1,0][2,0,0,1][2,0,1,1][1,0,0,0][0,0,1,0][1,1,0,1][0,2,0,0][0,0,0,1][2,1,1,1][1,0,1,0][1,0,0,0][1,0,1,1][0,2,0,0][0,0,0,1][0,0,1,3][0,0,0,1][0,1,0,0][0,2,1,0][1,0,0,1][0,0,1,0][1,1,2,0][0,1,0,0][1,0,0,0][1,1,1,0][0,0,2,0][0,0,0,1][1,3,0,2][0,0,1,0][0,1,0,0][2,0,2,0][1,0,0,1][0,0,1,0][1,1,0,2][0,0,0,1][0,0,0,1][1,0,0,1][0,0,0,1][0,0,0,1][1,0,1,1][0,0,1,0][0,0,1,0][0,3,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,1,0][1,0,0,0][0,1,2,0][0,0,1,0][0,1,0,0][2,2,1,1][0,0,0,1][0,1,0,0][1,0,0,2][0,1,1,0][0,0,0,1][1,0,1,1][0,1,0,0][0,0,0,1][0,0,2,0][0,1,1,0][0,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][0,0,1,0][1,0,0,1][0,0,1,0][1,1,2,1][0,0,0,1][1,0,0,0][2,0,1,1][0,1,0,1][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][2,0,1,1][1,0,0,1][0,1,0,0][0,0,2,1][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][0,1,0,0][1,1,2,0][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][1,1,0,2][0,0,0,1][0,1,0,0][0,1,0,1][0,0,1,0][0,0,0,1][1,0,0,2][0,1,0,0][1,1,0,0][1,1,0,2][0,1,0,0][0,0,0,1][1,0,1,0][1,0,1,0][0,0,0,1][1,0,2,1][1,1,1,0][0,0,0,1][1,1,2,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][1,2,1,0][2,0,1,0][0,1,0,0][1,0,1,1][1,0,0,0][0,1,0,0][0,0,2,1][0,1,0,0][0,0,1,0][0,0,3,0][0,0,0,1][0,0,1,0][1,1,1,0][0,0,0,1][0,0,0,1][0,2,1,1][3,0,1,1][1,0,0,1][0,0,1,1][0,0,1,0][1,0,0,0][2,0,1,0][0,1,0,0][0,0,0,1][0,1,0,2][0,0,0,1][0,0,1,0][1,0,1,0][1,0,0,0][0,0,1,0][3,0,1,2][0,0,0,1][0,0,1,0][1,0,0,1][0,1,0,0][0,1,0,0][2,1,0,1][0,1,0,0][0,0,1,0][1,0,0,2][0,0,1,0][1,0,0,1][2,0,1,1][0,0,1,0][0,0,0,1][0,1,2,0][0,0,1,1][0,0,1,0][0,1,2,0][0,0,1,0][0,1,0,0][0,2,0,1][0,0,1,0][0,0,0,1][3,2,1,1][0,0,1,0][0,0,0,1][0,2,0,0][0,2,0,0][0,0,0,1][2,0,2,1][1,0,0,1][0,0,0,1][0,1,1,1][0,0,1,0][1,0,1,0][4,1,1,2][0,0,1,0][0,0,0,1][2,1,0,1][2,0,0,1][0,0,0,1][4,2,1,0][1,0,1,0][1,0,0,0][3,0,1,0][0,0,0,1][0,1,0,0][0,1,1,0][0,0,0,1][1,0,0,0][2,0,1,1][0,0,0,1][0,0,0,1][2,1,0,1][0,0,0,1][0,0,1,0][1,2,1,0][1,0,0,0][0,0,1,0][3,2,1,1][0,0,1,0][0,0,1,0][2,0,1,1][0,0,1,0][0,1,0,0][1,0,0,2][0,1,0,0][0,1,0,0][0,1,1,0][0,0,1,0][0,0,0,1][0,1,1,0][0,0,0,1][0,1,0,0][0,2,0,0][0,0,0,1][0,0,0,1][0,2,1,1][0,1,0,0][1,0,0,0][0,0,3,0][0,0,0,1][0,0,0,1][1,1,0,1][0,1,0,0][0,1,0,0][0,1,1,1][1,0,2,0][0,1,0,0][1,1,1,0][0,1,0,0][0,0,0,1][0,0,1,1][1,0,1,0][0,0,1,0][0,2,1,1][0,0,1,0][0,1,0,0][0,1,0,1][1,0,0,1][0,1,0,0][1,0,4,0][0,0,0,1][0,1,0,0][0,1,1,0][0,0,1,0][1,0,0,1][2,2,1,0][1,0,0,1][0,0,0,1][2,1,1,0][0,1,0,0][0,0,1,0][1,1,1,1][0,0,0,1][1,0,0,0][1,1,1,0][0,0,0,1][0,0,1,0][0,0,1,2][0,0,0,1][0,0,0,1][0,1,1,0][1,0,0,0][0,0,0,1][0,2,1,0][0,0,0,1][0,1,0,0][1,1,0,1][0,0,1,0][0,0,1,0][2,2,1,1][0,0,1,0][0,1,0,0][1,0,1,1][0,0,0,1][0,1,0,0][0,1,2,1][0,1,0,0][1,0,1,0][1,0,1,1][0,1,0,0][0,0,0,1][1,1,0,1][2,0,0,0][2,0,0,0][0,1,1,0][0,0,0,1][3,0,0,0][1,2,1,1][0,0,1,0][2,0,0,0][0,1,2,0][0,0,1,0][1,1,0,0][1,0,0,2][0,0,0,1][0,0,1,0][0,1,1,0][0,2,0,0][0,1,0,0][0,0,1,1][10002,0,78501,54511]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2657,1046,1109,1170,1482,7,3749,1032,956,1172,1305,4,2583,1040
1,114,172,846,700,630,0,658,598,345,1455,249,0,2056,0
2,393,33,249,203,347,2,362,292,250,0,0,1,411,211
3,3440,817,2413,2971,3026,719,4579,3462,2665,2978,4005,11353,1166,1990
4,325,113,129,318,166,5,0,237,290,189,190,0,154,254
5,146,0,0,47,49,0,103,67,48,53,0,0,145,0
6,3706,1229,1090,1196,990,9,2315,1106,1043,0,1235,0,4164,962
