N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[2,1,1,0],[0,0,0,1],[0,1,0,0],[1,2,0,1][1,0,1,0][1,0,0,0][0,0,0,2][0,1,0,0][0,1,0,0][3,2,0,1][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][2,0,0,1][1,0,1,2][0,0,0,1][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][0,2,2,0][0,0,1,0][0,0,1,0][1,2,0,1][1,1,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,1,0,0][0,0,0,1][1,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][1,1,0,0][1,1,1,1][3,0,0,0][1,0,0,0][0,0,0,2][0,0,1,0][0,1,0,0][0,0,0,1][1,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][0,0,1,0][1,2,0,1][0,0,0,1][0,0,0,1][3,2,1,0][0,1,0,0][0,0,1,0][0,3,0,0][1,1,0,0][0,1,0,0][2,1,0,1][1,0,0,0][0,1,0,0][1,2,0,0][1,0,1,0][0,1,0,0][4,1,2,1][0,0,1,0][0,0,0,1][0,0,1,1][0,0,1,0][0,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][1,2,1,0][0,0,0,1][0,1,0,0][1,1,1,0][1,0,0,0][1,0,0,0][0,0,0,1][0,0,0,1][0,1,0,0][4,1,0,1][0,0,0,1][0,1,0,0][0,0,1,1][1,1,0,0][0,0,0,1][0,1,1,1][2,0,0,0][0,0,0,1][0,0,0,1][1,0,0,1][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,1,0][0,1,0,1][0,0,0,1][1,1,1,1][0,0,1,0][1,0,0,0][0,1,1,0][0,1,0,0][0,0,0,1][4,3,1,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,1,1][0,0,0,1][0,1,1,2][0,0,0,1][1,0,0,0][0,0,2,1][0,1,0,0][1,0,0,1][2,1,1,1][1,0,0,1][0,0,1,0][0,3,1,0][1,0,1,0][0,1,0,0][1,0,1,2][0,0,0,1][1,0,1,0][2,0,1,1][0,0,1,0][0,1,0,0][0,1,1,2][0,0,0,1][0,0,0,1][1,2,1,0][0,0,1,0][0,0,0,1][0,3,1,0][0,0,0,1][0,1,0,0][2,1,1,1][5,2,0,0][0,0,0,1][4,3,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][0,1,2,1][0,0,0,1][0,0,1,0][0,1,2,0][0,0,1,0][0,0,0,1][1,0,2,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,0,2][1,1,0,0][0,1,1,0][0,0,1,0][1,0,0,0][1,1,1,0][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,1,0][0,0,2,0][1,0,0,1][0,0,0,1][1,1,0,2][0,0,0,1][0,0,1,0][1,1,1,1][1,1,0,0][0,0,1,0][1,2,1,1][0,0,1,0][0,1,0,0][0,1,1,0][1,0,1,0][1,1,0,0][0,1,0,1][0,0,1,0][1,0,0,0][1,1,1,0][1,0,1,0][0,0,0,1][3,0,1,1][0,1,0,0][0,0,1,0][1,1,0,1][0,0,1,0][0,0,1,0][0,0,2,0][0,0,0,1][1,0,0,0][1,2,1,0][0,0,0,1][1,1,0,0][1,0,1,1][0,0,0,1][0,1,0,0][0,1,2,0][0,1,1,0][0,0,1,0][1,2,1,1][0,1,0,0][1,0,0,0][2,2,0,1][1,1,0,0][0,0,0,1][1,2,0,1][0,0,1,0][0,1,0,0][0,1,1,0][1,0,0,0][1,0,1,0][1,0,1,1][0,1,0,0][0,0,1,0][0,1,1,1][1,2,0,0][0,1,0,0][1,0,2,0][0,1,0,0][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][2,0,2,1][0,0,0,1][0,0,0,1][0,3,0,0][1,0,0,0][0,1,0,0][1,0,1,2][0,0,0,1][0,0,1,0][0,2,1,0][0,0,1,0][0,0,1,0][4,1,3,0][1,1,0,0][1,0,0,0][0,0,0,1][0,1,0,0][0,0,0,1][3,1,0,2][0,1,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][2,0,0,2][1,0,0,1][0,1,0,0][1,0,2,0][0,0,0,1][0,1,0,0][1,1,0,1][0,1,0,0][0,0,0,1][0,1,1,0][3,0,1,0][0,0,1,0][2,3,2,0][0,1,0,0][0,0,0,1][0,0,0,2][0,1,0,1][0,0,0,1][1,0,0,1][0,0,0,1][1,0,0,0][0,1,0,1][0,1,0,0][0,0,1,0][0,1,1,0][0,0,1,0][0,0,1,0][0,1,1,1][1,0,0,0][1,0,0,1][0,2,0,0][1,0,1,0][1,0,1,0][0,2,0,1][1,1,0,1][0,0,0,1][0,1,2,0][2,0,0,0][0,0,1,0][1,0,2,0][1,1,0,1][0,0,1,0][0,1,1,0][0,1,0,0][0,0,0,1][1,1,0,1][0,0,1,0][0,0,1,0][1,0,1,2][0,0,0,1][0,0,1,0][1,1,1,0][1,1,0,0][1,0,1,0][1,0,4,0][0,0,0,1][1,0,0,0][0,0,0,1][0,0,1,0][0,0,1,0][3,0,1,1][0,1,0,0][0,0,1,0][2,2,0,0][0,1,0,1][0,0,1,0][1,2,0,2][0,0,1,0][1,0,0,0][2,1,0,1][0,1,0,0][1,0,1,0][0,2,1,0][0,0,1,0][1,0,0,0][1,0,0,2][1,0,1,0][0,0,0,1][1,0,0,1][0,0,0,1][0,1,0,0][0,2,0,0][0,0,0,1][0,0,0,1][2,1,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][3,2,2,0][0,1,0,0][0,1,0,0][1,1,0,1][1,0,1,0][0,0,0,1][0,0,0,2][1,0,0,0][0,1,0,0][2,0,1,2][0,0,0,1][1,0,0,1][2,1,0,2][0,0,0,1][0,0,1,0][1,1,0,2][0,1,0,0][0,1,0,0][3,2,1,0][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,0,1][0,0,0,2][0,1,0,0][1,0,0,0][2,1,0,2][0,1,0,0][0,1,0,0][3,0,2,0][2,0,0,0][0,0,0,1][0,2,0,0][0,0,1,0][2,0,1,0][3,1,3,0][0,0,0,1][1,0,0,0][0,2,0,1][1,0,1,0][0,1,0,0][1,0,0,3][0,1,0,0][1,0,0,0][0,0,0,2][0,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][1,0,0,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][4,0,2,1][1,1,0,0][0,0,0,1][0,0,1,1][2,0,0,0][1,0,0,0][0,1,0,0][1,0,0,1][0,0,0,1][1,0,0,3][0,0,0,1][1,0,0,0][0,1,1,1][0,1,1,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][2,0,1,1][0,2,0,0][1,1,0,0][2,1,2,1][0,1,0,0][0,1,0,0][0,1,1,1][1,0,1,0][1,1,0,0][0,1,1,0][0,0,1,0][1,0,0,0][0,0,1,2][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][1,0,0,2][0,1,0,0][1,0,0,0][1,0,1,0][0,0,1,1][1,0,0,1][0,2,1,2][0,0,1,0][0,0,0,1][1,0,1,1][2,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][1,0,0,0][0,0,1,1][1,1,0,0][0,1,0,0][4,2,2,1][1,1,0,0][1,0,0,0][0,0,1,1][0,0,1,0][0,0,0,1][0,3,1,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][1,0,1,0][4,2,1,1][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,0,1,0][1,2,1,0][1,0,0,0][0,1,0,0][1,0,0,2][0,1,0,0][3,0,0,0][0,1,1,2][0,0,1,0][0,0,0,1][0,0,1,1][1,0,0,0][0,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][0,2,0,1][0,0,0,1][0,0,1,0][0,0,0,3][0,1,0,0][0,0,0,1][0,1,0,1][0,1,0,0][0,1,0,0][0,2,1,0][0,0,0,1][1,0,0,0][1,2,1,0][0,0,0,1][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][1,1,1,0][1,0,1,0][1,1,0,0][0,0,0,2][0,0,1,0][0,0,0,1][2,1,0,1][0,1,0,0][0,0,1,0][1,2,1,0][2,0,1,0][1,0,0,0][1,2,1,0][0,0,0,1][0,0,1,0][0,1,1,0][0,0,1,0][0,0,0,1][1,1,1,0][0,1,0,1][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][1,0,0,1][0,1,1,1][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,2][1,1,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,1,0,1][1,0,0,1][0,1,0,0][2,0,1,0][0,0,1,0][1,0,0,1][2,1,1,0][1,0,0,1][0,1,0,0][0,0,0,1][0,1,0,1][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][0,2,0,1][0,0,1,0][0,0,1,0][2,3,0,1][1,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,1,0][0,1,1,2][0,0,1,0][1,0,0,0][0,2,0,1][0,1,0,1][0,1,0,0][0,3,0,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][1,1,0,0][2,1,2,0][0,1,0,0][1,0,0,0][1,1,1,0][0,2,0,0][0,1,0,0][3,1,1,0][0,0,1,0][1,0,0,0][0,0,1,0][1,0,1,0][0,0,1,0][0,1,2,0][2,0,0,0][0,0,0,1][0,0,1,1][1,0,1,0][1,1,0,0][0,3,0,0][0,1,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,0,1,0][1,1,0,2][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,2,2,0][0,0,0,1][0,0,0,1][1,2,0,1][1,1,1,0][2,1,0,0][1,0,2,1][1,0,1,0][0,0,1,0][1,1,0,1][1,2,0,0][0,0,1,0][0,3,0,0][0,0,0,1][0,0,0,1][1,1,1,0][1,0,0,1][0,0,1,0][1,0,2,0][0,0,0,1][1,0,0,0][1,0,0,2][1,1,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][1,0,2,0][0,0,0,1][1,0,0,0][1,0,1,1][0,1,0,0][0,1,0,0][1,1,0,1][0,1,0,0][1,0,0,0][2,0,1,1][1,0,0,1][0,0,1,0][1,0,0,1][0,0,0,1][0,0,0,1][0,0,2,0][0,1,0,0][0,0,1,0][1,0,2,1][0,0,1,0][0,0,0,1][1,0,1,1][1,2,0,0][0,0,0,1][5,0,0,1][0,0,0,1][1,0,0,0][1,2,0,1][0,0,0,1][0,0,1,0][0,0,2,0][0,0,1,0][0,0,1,0][2,0,1,0][0,0,1,0][0,1,0,0][0,1,0,2][0,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][1,0,1,0][1,2,0,0][1,0,0,0][0,0,0,1][0,2,0,1][1,1,0,0][0,0,1,0][1,0,2,1][0,0,1,0][0,1,0,0][1,1,0,2][0,1,0,0][0,1,0,0][1,0,2,0][0,1,0,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][1,0,0,0][4,1,0,1][0,0,0,1][0,0,1,0][0,1,0,1][1,0,0,1][0,0,1,0][0,2,0,0][0,0,1,0][1,0,1,0][0,1,1,0][0,0,1,0][0,0,0,1][0,1,0,1][1,1,0,0][0,0,1,0][1,0,1,1][0,1,0,0][0,0,0,1][1,1,0,1][2,1,0,0][0,0,1,0][3,2,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][1,0,0,1][1,1,1,1][1,1,0,0][1,0,0,0][2,2,0,1][0,0,1,0][1,0,0,1][2,1,1,1][0,0,0,1][0,1,0,0][0,2,2,0][0,1,0,1][1,0,0,1][1,0,2,1][2,0,0,0][0,0,1,0][0,0,1,1][0,0,1,0][1,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][0,1,0,1][0,2,0,0][0,1,0,0][2,1,0,2][1,0,0,1][1,0,0,0][1,1,1,0][0,0,1,0][0,0,1,0][0,1,1,2][0,0,0,1][1,0,0,0][1,2,0,0][2,1,0,1][2,0,1,0][0,3,0,1][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][2,2,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,1,0][1,2,0,1][0,0,1,0][1,0,0,0][0,3,0,0][0,1,0,0][0,0,0,1][0,1,0,1][1,0,0,1][0,0,1,0][0,1,2,0][0,0,0,1][1,1,0,0][2,2,1,1][0,0,0,1][0,0,0,1][0,1,1,0][2,2,0,0][0,0,1,0][0,4,0,1][0,1,0,0][1,0,0,0][0,2,1,0][0,0,1,0][0,0,0,1][6,1,2,0][0,0,1,0][0,0,0,1][0,0,2,0][1,0,0,1][0,1,0,0][2,0,2,1][0,1,0,0][0,1,0,0][4,0,0,2][0,0,1,0][1,0,1,0][1,2,1,0][0,0,1,0][0,1,0,0][0,1,0,0][1,2,0,0][0,0,1,0][0,1,2,0][2,0,0,0][0,0,0,1][1,1,1,1][0,1,0,0][1,0,1,0][1,0,2,1][1,0,0,0][0,1,0,0][1,1,2,0][0,0,0,1][0,0,0,1][0,0,0,2][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][1,1,0,0][0,1,0,2][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,1,0,0][0,0,0,1][1,0,1,0][1,0,0,0][1,1,1,0][0,1,0,0][0,0,0,1][0,0,3,0][0,0,1,0][0,1,0,0][0,0,2,1][0,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][1,0,0,0][0,2,0,0][0,0,1,0][0,1,0,0][0,0,3,0][0,1,0,0][0,1,0,0][2,1,0,2][0,0,1,1][0,0,1,0][3,1,1,0][1,0,1,0][0,0,1,0][1,1,1,1][1,1,0,0][0,0,0,1][0,2,0,1][1,1,0,0][0,0,1,0][0,0,0,1][1,1,1,0][1,0,0,1][1,0,2,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,2,1][0,0,0,1][1,0,1,0][1,0,2,1][1,0,0,1][1,0,0,0][0,0,3,0][1,0,0,0][1,0,0,0][0,0,1,1][0,1,0,1][0,1,0,0][4,0,0,2][0,1,0,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][1,0,1,1][1,0,1,0][0,0,1,0][0,3,2,0][0,0,1,0][1,0,0,0][1,1,1,1][2,1,0,0][0,0,1,0][1,1,1,1][0,1,0,0][0,0,1,0][0,1,1,0][0,1,0,0][0,1,0,0][0,1,1,0][0,1,0,0][0,0,1,0][0,1,0,2][0,1,0,1][0,0,1,0][1,0,1,1][0,0,1,0][1,0,0,0][4,2,1,0][0,0,1,0][0,0,0,1][1,0,2,1][0,0,0,1][1,0,0,0][1,3,0,0][1,0,1,0][1,0,1,0][1,0,2,1][0,0,1,0][1,0,0,0][0,2,0,1][0,0,1,0][1,1,0,0][2,0,3,0][1,0,0,0][1,0,0,0][1,1,1,0][0,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][1,0,1,0][0,0,1,0][0,1,0,0][1,0,0,2][0,1,1,0][1,1,0,0][0,3,0,0][0,0,0,1][1,0,0,0][3,1,0,1][1,0,0,1][0,0,1,0][1,1,0,0][0,0,0,1][1,0,1,0][2,1,1,0][0,0,0,1][0,1,0,0][0,2,0,0][1,1,0,0][0,1,0,0][1,2,0,0][1,0,0,1][1,1,0,0][0,0,2,0][0,0,1,0][0,0,0,1][0,0,1,1][1,0,0,1][1,0,0,0][1,0,0,2][10019,0,78524,54546]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3348,849,992,1338,1121,10,2959,0,1167,991,0,0,2791,1067
1,753,424,831,411,752,0,1308,0,373,0,563,0,304,818
2,451,340,140,145,394,0,0,279,101,140,422,0,0,0
3,4591,3028,2991,2662,3202,10327,3853,1900,0,3030,1785,4862,5297,2016
4,356,266,182,59,145,2,205,83,226,216,260,0,364,203
5,160,64,47,63,71,0,165,49,74,71,60,0,185,57
6,2019,1034,775,1155,996,0,2741,1002,985,918,1071,5,4236,1188
