N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,501,79000,55000]",14,0.01,"[True,True,False,False]","[0,1,0,1],[1,1,0,0],[0,0,1,0],[1,0,1,1][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][1,1,2,0][1,0,1,0][1,0,0,0][0,1,1,0][0,1,0,1][0,1,0,0][0,0,2,1][0,0,1,0][1,0,0,0][4,0,1,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][1,1,1,1][0,0,0,1][0,0,0,1][3,0,0,1][0,0,0,1][0,0,0,1][1,1,0,2][0,0,0,1][1,0,1,0][1,1,2,0][0,0,1,0][0,0,1,0][1,2,0,1][0,0,0,1][1,0,0,0][1,1,0,1][0,0,1,0][0,1,0,0][3,2,0,1][0,0,1,0][0,0,0,1][1,1,1,0][0,0,0,1][0,0,1,0][0,0,1,2][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,1,0,0][5,0,3,1][0,0,1,0][1,0,0,0][0,2,0,1][0,0,1,0][0,0,1,0][0,1,0,2][0,0,0,1][0,0,1,0][1,0,0,2][3,1,0,0][0,0,1,0][2,1,1,0][0,0,0,1][0,1,0,0][1,2,0,0][0,0,0,1][0,0,1,0][1,1,1,1][0,0,1,0][1,0,0,0][0,1,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,1,0,2][1,0,0,0][0,0,0,1][2,0,1,1][1,0,1,0][0,1,0,0][1,0,1,1][1,0,0,0][0,0,1,0][2,0,0,2][0,1,0,0][0,0,1,0][1,1,1,2][2,0,0,0][1,0,0,0][1,1,1,1][0,0,1,0][0,0,1,0][0,1,0,3][0,0,0,1][1,0,1,0][0,0,2,0][0,0,1,0][0,0,0,1][1,1,0,0][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,1,2][0,0,0,1][0,1,0,0][0,0,2,0][0,0,1,0][0,0,0,1][2,0,1,0][1,1,1,0][0,1,0,0][1,0,3,1][0,0,1,0][0,0,1,0][0,2,0,1][0,1,0,0][0,0,1,0][1,0,2,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,0,0][0,0,0,1][2,1,2,0][0,1,0,0][1,0,0,0][1,0,0,2][0,0,0,1][1,0,0,1][2,1,1,0][1,0,0,0][0,0,0,1][1,2,1,0][2,0,1,0][0,0,1,0][2,3,0,2][1,0,1,0][0,1,0,0][0,1,0,1][0,0,0,1][1,0,0,1][0,1,0,1][0,0,0,1][0,0,0,1][1,0,1,0][0,0,1,0][0,0,1,0][2,0,2,1][0,0,0,1][0,1,0,0][0,1,0,1][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][0,1,0,0][2,0,1,0][2,1,0,1][0,0,1,0][0,0,1,2][0,1,0,0][1,0,0,0][0,1,1,1][0,0,1,0][0,0,0,1][2,1,1,2][0,0,0,1][1,0,0,0][1,3,0,0][2,1,0,1][0,0,1,0][1,1,1,1][0,0,1,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,1,0,1][1,0,0,1][0,0,0,1][1,0,0,1][1,0,0,1][2,0,0,0][1,2,0,0][1,0,1,0][0,0,0,1][1,1,0,1][0,1,0,1][1,1,0,0][0,0,0,1][1,0,1,0][0,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][2,1,1,1][1,0,0,0][0,0,0,1][3,0,1,0][0,1,0,0][1,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][1,0,2,1][0,0,0,1][0,1,0,0][1,1,1,1][0,0,1,0][1,0,0,1][1,0,1,1][0,0,1,0][0,1,0,0][1,1,0,1][2,0,0,0][1,0,0,1][0,0,1,1][1,0,1,0][0,0,0,1][0,0,2,1][0,0,0,1][1,0,0,0][0,2,1,0][0,0,2,0][0,1,0,0][0,0,2,0][1,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][0,1,0,0][0,0,3,1][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][0,0,1,0][3,0,0,1][0,0,1,0][0,0,1,0][1,1,1,0][2,0,0,1][0,1,0,0][1,0,1,2][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][1,0,0,1][1,0,2,1][0,1,0,0][0,0,0,1][2,0,2,0][2,1,0,0][1,0,0,1][0,1,2,0][1,0,0,1][0,0,0,1][0,2,0,0][0,1,0,0][0,1,0,0][2,0,1,1][0,1,0,0][0,0,1,0][2,2,1,0][0,0,0,1][0,0,1,0][1,3,0,0][0,1,0,0][0,0,0,1][0,0,1,0][1,0,1,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,1,0][2,0,2,0][1,0,0,1][0,0,0,1][1,1,2,0][0,0,1,0][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,0,1,0][0,0,1,1][1,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][0,0,0,1][0,2,1,0][0,0,1,0][2,1,0,0][3,1,2,2][0,0,0,1][1,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,2][0,1,0,0][0,0,0,1][0,1,2,0][0,0,1,0][1,0,0,1][0,0,1,2][1,0,1,0][0,0,0,1][1,2,0,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,0,1][0,1,0,0][0,1,2,0][0,0,0,1][0,0,1,0][0,3,0,0][1,1,0,0][0,0,1,0][2,2,1,0][1,0,1,0][1,1,0,0][4,2,0,1][1,1,0,0][0,0,1,0][2,1,0,1][2,1,1,0][3,0,0,0][0,2,1,0][0,0,0,1][0,0,1,0][0,0,0,1][1,0,1,0][0,1,0,0][1,2,0,1][1,0,0,0][0,1,0,0][0,1,2,0][2,0,1,0][1,1,0,0][0,0,3,1][0,1,0,0][2,0,0,0][1,1,1,1][0,0,1,0][1,0,0,1][2,1,0,2][0,0,0,1][0,0,1,0][1,1,1,1][1,0,0,0][0,0,1,0][1,1,1,0][0,0,1,0][0,0,1,0][2,0,2,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,0,0,1][0,1,0,2][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,1][1,1,2,0][1,0,0,1][1,0,0,0][0,0,2,0][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,0,1][4,0,0,1][0,0,0,1][1,1,0,0][1,2,1,1][0,0,1,0][0,0,1,0][1,1,1,1][0,2,0,0][0,0,0,1][2,0,1,2][1,0,1,0][0,1,0,0][1,1,1,0][1,1,1,0][0,1,0,0][0,0,0,1][0,0,0,1][1,0,0,0][0,0,2,1][0,0,1,0][0,1,0,0][1,0,1,0][0,0,1,0][0,0,1,0][1,0,2,0][0,0,0,1][0,0,1,0][1,2,0,2][0,0,1,0][0,0,1,0][1,2,1,0][0,0,0,1][2,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,0,3,0][0,0,2,0][0,0,1,0][3,1,1,0][0,0,0,1][1,0,0,0][2,2,0,1][0,1,0,1][0,0,1,0][1,2,1,1][0,0,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][2,0,1,2][0,0,1,0][0,1,0,0][1,0,0,1][1,0,1,0][0,1,0,0][0,2,1,0][0,1,0,0][0,1,0,0][0,1,1,0][0,2,0,0][0,1,0,0][1,0,3,0][1,0,0,0][0,0,1,0][1,1,0,1][0,1,0,0][1,0,1,0][2,0,2,0][0,1,0,0][0,0,0,1][0,0,1,1][0,2,0,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,1,0,2][0,0,1,0][0,1,0,0][0,0,1,1][1,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][2,0,1,0][0,1,2,1][0,0,0,1][0,0,0,1][1,2,1,0][1,0,1,0][0,0,1,0][1,1,2,2][0,1,0,0][0,1,0,0][1,0,1,0][0,0,1,0][2,0,0,0][4,1,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][1,0,1,3][0,0,0,1][1,0,0,0][0,1,0,0][0,0,1,1][0,0,0,1][3,1,1,0][0,0,0,1][1,0,0,0][1,0,2,0][2,0,1,0][0,0,1,0][0,2,1,1][1,0,0,1][1,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,2,1,0][1,1,0,0][0,0,1,0][3,2,1,0][0,1,0,0][0,1,0,0][3,1,0,2][3,0,0,0][1,0,0,0][0,0,1,1][0,0,0,1][0,0,1,0][2,1,0,1][0,1,0,0][0,0,1,0][3,0,0,2][0,0,0,1][0,0,1,0][0,1,1,1][0,1,0,0][0,0,1,0][0,2,0,0][0,1,0,0][0,1,0,0][2,0,3,0][0,0,1,0][0,1,0,0][0,1,1,0][2,2,0,0][0,0,1,0][3,0,4,1][0,0,1,0][0,1,0,0][0,0,1,0][1,0,0,1][1,0,0,0][0,1,1,1][1,0,0,0][0,0,1,0][0,0,0,2][1,0,1,0][0,1,0,0][0,1,0,1][2,0,0,0][0,0,0,1][0,2,2,0][0,1,0,0][1,1,0,0][2,2,0,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][1,0,1,0][0,3,0,1][0,0,0,1][1,0,1,0][0,1,1,0][0,0,1,0][1,0,0,1][0,1,0,1][0,1,0,0][0,0,0,1][0,0,2,0][1,0,0,1][0,0,1,0][0,2,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][1,1,0,0][1,1,0,0][0,1,0,0][1,1,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][0,1,1,2][2,0,1,0][0,0,1,0][0,0,2,0][1,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][0,1,0,0][1,2,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,3,1,0][0,0,1,0][0,0,1,0][1,3,0,0][1,1,0,1][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][1,1,2,1][0,0,1,0][0,1,0,0][0,2,1,0][0,0,2,0][1,1,0,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,1][0,0,1,0][3,1,2,0][0,1,0,0][0,1,0,0][2,3,0,0][1,1,0,0][0,0,0,1][0,1,0,2][1,0,1,0][1,0,0,0][1,0,0,1][1,0,1,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][1,0,2,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,0,1][1,2,0,1][0,0,0,2][1,0,1,0][1,0,2,0][0,1,0,0][0,0,0,1][0,0,1,0][1,1,0,0][0,0,1,0][2,1,1,0][0,1,0,0][0,0,1,0][1,0,1,0][0,1,1,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][0,1,2,0][1,0,1,0][0,1,0,0][1,1,0,0][0,0,1,0][1,0,0,0][1,1,0,0][0,1,0,0][0,0,1,0][0,0,3,0][0,0,1,0][0,0,1,0][0,0,2,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,0,1][0,0,1,0][1,0,1,0][0,2,2,0][0,1,0,0][0,0,0,1][0,0,2,1][0,0,1,0][0,1,0,0][1,0,0,2][0,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][1,0,2,3][0,0,1,0][0,1,0,0][0,1,1,0][0,1,1,0][0,1,0,0][0,0,0,2][1,1,0,0][1,0,0,0][1,1,1,1][0,0,0,1][0,1,0,0][0,1,1,0][0,0,0,1][1,0,0,0][2,0,1,2][0,0,0,1][1,0,0,0][2,2,1,0][0,1,0,0][0,0,1,0][0,0,2,0][0,0,1,0][0,0,1,0][1,0,1,1][1,1,0,0][0,0,1,0][1,0,1,1][0,0,0,1][1,0,1,0][1,0,1,0][0,0,1,0][0,0,0,1][1,1,0,0][0,0,1,0][1,0,1,0][0,0,0,2][1,0,0,1][0,0,0,1][2,2,0,0][0,1,0,0][0,0,1,0][1,0,2,1][0,0,0,1][1,0,0,0][1,0,2,1][0,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][0,0,0,1][0,0,0,2][0,1,0,1][0,0,0,1][0,2,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][1,0,1,0][2,1,0,1][0,0,1,0][1,0,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,0,1,2][0,0,0,1][0,0,1,0][2,2,0,1][0,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][0,1,0,0][3,2,0,1][1,1,0,0][0,1,0,0][0,1,0,1][1,0,0,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,0][1,1,3,0][0,0,1,0][1,0,0,0][0,2,1,0][2,0,0,1][1,0,1,0][0,0,1,1][0,0,1,0][1,0,0,1][3,0,1,1][1,0,2,0][0,0,0,1][1,1,0,1][0,0,1,0][1,0,0,0][0,2,0,1][0,0,1,0][0,0,0,1][1,2,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,0,0,1][1,0,0,1][0,0,0,1][0,1,0,0][2,0,1,1][0,0,0,1][1,0,0,0][0,2,0,0][0,2,0,0][0,0,0,1][2,1,1,0][0,0,1,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][0,1,0,1][2,0,0,0][0,1,0,0][0,1,1,0][1,0,0,1][0,0,1,0][2,0,4,0][0,0,0,1][0,1,0,0][0,2,0,0][1,0,0,1][0,0,1,0][1,1,1,0][0,0,1,0][0,0,0,1][3,2,0,0][1,2,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][1,1,1,1][0,1,0,0][2,1,0,0][0,0,0,2][0,1,0,0][0,1,0,0][3,0,0,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][1,0,1,2][0,0,0,1][0,0,1,0][0,0,2,1][0,0,1,0][0,0,0,1][1,1,0,1][0,0,1,0][0,0,1,0][2,0,2,0][0,0,0,1][0,0,1,0][0,1,2,0][0,1,0,0][1,0,0,1][0,1,0,2][1,0,0,1][0,0,1,0][0,0,0,3][0,0,1,0][0,0,0,1][0,0,1,1][1,0,0,0][0,0,0,1][2,1,0,0][2,1,0,0][1,1,0,0][3,0,2,0][0,0,1,0][1,0,0,1][1,1,0,1][1,0,0,1][0,1,0,0][0,0,0,2][0,0,0,1][0,0,0,1][0,3,1,0][0,1,0,0][0,1,0,0][0,0,0,2][1,0,1,0][0,1,0,0][2,1,0,2][1,0,0,2][0,0,1,0][4,1,2,0][0,0,0,1][0,0,0,1][2,0,1,1][0,1,0,0][0,0,0,1][0,0,0,3][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,1][0,1,0,0][0,1,0,0][1,1,1,0][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][1,0,2,0][1,1,1,0][0,0,0,1][1,0,1,2][0,0,1,0][0,0,1,0][3,1,1,0][1,0,0,1][1,1,0,0][3,1,2,0][0,1,0,0][1,0,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,1,0][1,0,0,0][1,0,0,0][1,0,0,1][0,0,0,1][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][2,1,1,1][0,2,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][1,2,0,0][0,0,0,1][0,0,0,1][2,2,0,1][10045,7,78464,54553]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2493,0,0,1106,1201,0,0,1168,1053,783,1232,6,3370,1190
1,1352,588,534,682,698,0,4,280,842,641,400,0,1960,1181
2,578,269,234,177,272,0,522,161,245,171,170,2,454,151
3,3660,1690,2726,2017,2741,0,5007,1693,2726,2778,2910,6201,3504,1764
4,367,231,269,0,124,0,0,371,264,38,323,2,321,215
5,150,51,44,65,53,0,144,61,36,69,56,0,171,58
6,2527,1077,1069,851,1730,0,4452,1032,1298,692,1430,5,4349,1066
