N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,479,79000,55000]",14,0.01,"[True,True,False,False]","[2,2,0,0],[0,1,0,0],[3,0,0,0],[1,0,0,2][0,0,1,0][0,0,0,1][2,0,1,1][0,1,0,0][0,1,0,0][0,0,1,2][2,0,0,0][0,0,1,0][0,0,2,0][0,0,0,1][0,1,0,0][0,1,2,0][0,0,0,1][0,0,0,1][0,0,1,1][1,1,0,0][0,0,1,0][1,1,1,0][0,1,0,0][1,0,0,0][1,2,1,0][0,0,0,1][1,0,1,0][1,1,3,0][0,1,0,0][1,0,0,0][2,1,0,1][0,1,0,0][0,0,0,1][1,1,1,2][1,1,0,0][0,0,1,0][1,2,1,0][0,1,0,0][0,0,1,0][0,1,1,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][0,1,0,0][0,0,2,0][1,0,1,1][0,0,0,1][0,1,2,1][2,0,0,0][1,0,0,0][0,2,0,1][0,0,1,1][1,0,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,2,1,1][1,1,0,0][0,1,0,0][1,1,1,0][1,0,0,0][0,1,0,0][1,1,1,0][2,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][1,0,0,3][1,1,1,0][0,1,0,0][3,2,1,0][0,1,0,0][0,0,0,1][3,2,0,1][0,0,1,0][1,1,0,0][3,0,4,0][2,0,0,0][0,1,0,0][0,0,1,0][0,0,0,1][1,1,0,0][2,0,1,0][1,1,0,0][0,1,0,0][2,0,1,1][0,0,2,0][0,1,0,0][0,4,1,0][0,0,0,1][0,1,0,0][0,2,0,0][0,2,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][0,3,0,1][1,0,1,0][1,0,1,0][0,0,0,1][0,0,0,1][0,0,0,1][2,1,2,1][1,0,0,1][0,0,1,0][1,1,0,1][1,0,1,1][0,0,0,1][6,0,1,2][1,1,0,0][1,0,0,0][1,2,1,0][0,0,0,1][0,1,0,0][0,0,1,2][0,0,1,0][0,0,0,1][0,0,2,0][1,0,1,0][0,0,1,0][1,1,1,2][0,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][0,1,0,0][0,2,0,1][1,0,0,1][1,0,0,0][0,1,0,1][1,1,0,0][0,0,0,1][2,0,1,1][0,0,0,1][0,0,0,1][0,0,0,1][0,1,0,0][1,1,0,0][0,2,1,0][1,0,1,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,0,1][1,3,1,1][2,0,0,0][0,0,1,0][2,1,0,2][1,1,0,0][0,1,0,0][5,0,2,1][0,0,1,0][0,1,0,0][0,1,2,0][0,0,0,1][0,1,0,0][2,2,1,2][1,1,0,0][0,0,0,1][2,2,1,0][0,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][1,0,2,1][0,0,1,1][0,1,0,0][2,0,1,1][0,0,0,1][1,0,0,0][0,0,1,1][0,0,1,0][2,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][0,1,0,0][1,0,0,0][2,1,0,0][0,1,0,1][0,0,0,1][0,0,0,1][2,3,0,0][0,0,0,1][1,1,0,0][4,0,1,1][1,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][1,0,0,2][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][1,0,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,1][0,1,0,0][0,1,1,1][1,0,1,0][0,0,0,1][0,2,0,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,1,0][0,0,1,0][2,1,0,1][0,0,0,1][0,1,0,0][0,1,1,1][0,1,0,0][1,0,0,0][0,1,0,1][0,0,1,0][1,0,1,0][0,2,0,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][1,0,0,1][1,0,1,1][0,0,1,0][1,0,0,0][0,1,2,0][0,1,0,0][0,0,1,0][3,1,2,0][0,1,0,0][0,0,1,0][0,0,1,0][3,0,0,1][0,1,0,0][1,0,1,2][1,1,0,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,0,1][1,2,2,0][1,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,0][1,1,2,2][0,1,0,0][0,1,0,0][1,2,0,0][0,0,0,1][0,1,0,0][0,1,0,1][0,0,0,1][1,0,0,0][1,1,0,1][0,0,1,0][0,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][2,1,0,1][0,1,1,0][1,0,0,0][1,2,0,2][1,0,1,0][0,0,1,0][0,1,0,1][0,0,0,2][0,1,0,0][0,1,0,2][2,0,0,1][0,0,1,0][0,2,0,2][0,1,0,0][0,1,0,0][1,2,2,0][0,1,0,0][0,0,1,0][0,1,2,0][1,1,1,0][0,0,1,0][0,1,0,2][0,0,1,0][1,0,0,0][4,1,0,1][1,1,0,0][0,0,0,1][1,0,2,0][1,0,0,0][0,0,0,1][0,0,0,1][0,1,0,0][2,0,0,0][1,1,0,1][0,0,1,0][1,0,0,0][0,1,1,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][1,0,2,1][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,1,2][1,0,1,0][0,0,1,0][1,2,1,0][1,1,0,0][2,0,0,0][1,2,2,0][0,0,0,1][0,1,0,0][0,2,0,1][2,0,1,0][0,0,1,0][0,3,1,1][1,0,0,0][1,0,0,0][0,0,0,2][0,1,0,0][0,0,0,1][0,0,2,0][1,0,1,0][0,0,0,1][0,2,0,1][0,0,0,1][0,1,0,0][3,2,1,1][0,0,0,1][0,0,1,0][3,1,0,1][0,1,0,0][0,0,1,0][3,1,2,1][0,0,1,0][1,0,0,0][1,2,0,0][1,0,1,0][0,1,0,0][0,2,0,2][0,0,0,1][0,0,1,0][2,0,1,1][0,1,1,0][0,0,0,1][3,1,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,1,0][2,0,0,1][1,2,0,1][1,1,0,0][0,0,1,0][3,3,0,0][0,0,0,1][0,1,0,0][1,2,2,0][0,1,0,0][2,0,0,0][1,1,1,1][0,1,0,0][0,0,0,1][6,1,1,1][0,1,0,0][0,0,1,0][2,0,1,1][0,1,0,0][1,0,0,1][2,0,2,1][0,0,1,0][1,0,0,0][1,2,0,1][0,1,1,0][0,0,0,1][0,1,0,1][0,0,1,0][1,0,0,0][1,1,1,0][0,1,0,0][0,0,1,0][3,1,1,1][0,0,0,1][0,1,0,0][0,2,1,0][1,0,0,1][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][0,0,1,0][0,0,1,0][0,0,0,1][2,1,0,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,0,1][1,0,1,0][0,1,1,1][0,0,0,1][1,0,0,0][0,1,0,0][0,1,0,1][0,0,0,1][1,1,0,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][1,4,0,1][1,1,0,0][0,0,0,1][0,1,0,1][0,0,1,0][1,0,0,1][0,2,0,0][0,0,1,0][0,1,0,0][1,1,0,2][0,0,0,1][0,0,1,0][1,1,2,0][0,1,0,0][0,0,1,0][0,2,1,0][0,1,0,0][0,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][1,0,1,1][0,0,0,1][0,0,0,1][0,1,2,0][0,1,0,0][0,0,1,0][1,0,2,0][1,0,1,0][0,0,1,0][0,0,0,3][0,1,0,0][1,0,0,0][1,2,0,1][0,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,1,0,0][3,1,0,1][1,0,1,0][0,0,1,0][1,0,3,0][1,0,0,0][1,0,0,0][0,2,1,0][0,1,0,0][0,0,0,1][0,1,0,1][0,1,0,0][1,0,0,0][0,0,1,1][0,1,0,0][0,0,1,0][2,0,0,1][2,0,0,0][0,0,1,0][1,2,2,0][0,0,1,1][0,0,0,1][0,2,0,0][0,0,1,0][0,0,0,1][2,1,0,2][2,0,0,1][0,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][1,1,0,0][0,0,1,0][0,1,0,0][0,2,1,0][1,0,0,0][0,0,0,1][1,2,1,0][0,1,0,0][1,0,1,0][1,2,2,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][1,1,2,0][0,0,0,1][0,0,1,0][0,2,0,0][1,0,0,1][1,0,0,1][0,0,0,2][0,1,0,0][0,0,0,1][1,3,0,0][0,0,0,1][0,1,0,0][2,2,1,1][0,0,1,0][1,0,0,0][4,1,2,0][1,0,0,0][1,0,1,0][3,2,0,1][0,0,1,0][1,0,0,0][1,0,2,0][0,1,0,0][0,0,0,1][2,0,0,2][1,0,1,0][0,1,0,0][3,0,1,1][0,2,0,0][0,0,0,1][3,1,1,1][0,0,1,0][1,0,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,0,1][0,0,0,1][2,0,0,2][1,0,0,1][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][1,0,1,1][0,1,1,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,1,0][0,1,0,2][0,0,0,1][1,0,0,1][0,0,1,1][0,0,1,0][1,0,0,0][1,1,0,1][0,0,1,0][0,0,0,1][0,0,1,1][1,0,0,0][1,0,0,0][1,1,1,1][1,0,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,1,0][0,2,0,1][1,0,0,1][0,0,1,0][2,0,1,0][0,1,0,0][0,0,0,1][4,2,1,2][1,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,2][0,0,1,0][0,1,0,0][3,0,1,0][0,0,1,0][0,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][4,1,0,0][0,1,0,0][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][0,0,0,1][1,0,1,0][2,0,0,0][0,1,1,0][0,0,0,1][0,1,0,0][2,0,0,2][0,0,0,1][2,0,0,1][1,2,2,0][1,1,0,0][0,1,0,0][3,0,1,1][0,0,1,0][0,1,0,0][1,0,2,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,1][0,1,0,0][0,0,0,1][0,0,1,1][0,0,1,1][0,0,0,1][0,0,2,1][0,1,0,0][1,0,0,0][0,2,1,0][0,1,0,0][0,0,1,0][0,2,1,0][0,1,0,0][0,0,0,1][0,0,1,1][1,0,0,1][1,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,1,0,0][0,0,1,0][1,1,1,2][0,0,1,0][1,1,0,0][3,0,1,1][0,1,0,1][0,0,1,0][0,1,2,1][0,0,1,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][1,1,0,1][1,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,1,0,2][0,0,1,0][1,0,0,0][1,1,1,2][0,0,0,2][0,0,1,0][0,1,1,2][0,0,1,0][0,0,0,1][1,1,0,1][0,1,0,0][2,0,0,1][0,1,1,2][0,0,1,0][0,0,1,0][1,0,2,1][0,1,0,0][0,0,0,1][0,0,1,3][0,0,0,1][1,0,0,0][0,0,1,2][0,0,0,1][0,0,1,0][0,0,2,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][3,1,1,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][0,3,0,1][0,0,1,0][1,0,1,0][2,2,0,0][0,1,0,0][1,0,0,1][1,0,2,1][0,0,1,0][1,0,0,0][0,1,0,1][2,0,1,0][0,0,1,0][0,1,1,0][0,0,0,1][0,0,1,0][0,0,1,1][0,1,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][0,1,1,0][0,0,1,0][0,1,0,0][0,2,1,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,1,0][0,0,0,1][1,1,1,1][0,0,1,0][0,0,1,0][0,0,2,1][2,1,0,0][1,0,0,1][1,1,0,0][0,0,1,0][1,0,0,0][0,0,2,0][0,0,1,0][0,1,0,0][2,0,3,1][0,0,1,0][0,0,1,0][0,1,2,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][1,1,0,1][0,0,1,0][0,0,0,1][0,0,0,2][0,1,0,0][0,0,1,0][0,1,1,1][1,0,0,1][0,0,1,0][2,1,0,3][0,0,0,1][0,0,0,1][2,1,1,0][0,1,0,0][0,1,0,0][0,1,1,2][0,0,0,1][1,0,0,0][2,1,1,0][0,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][1,0,0,0][2,1,1,1][2,1,0,0][0,1,0,0][2,1,1,0][0,0,1,0][0,0,0,1][1,1,0,1][1,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][1,0,0,1][1,0,1,1][0,1,1,0][0,1,0,0][0,2,1,0][1,0,0,0][0,1,0,0][0,0,1,1][1,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][3,1,1,2][0,0,1,0][1,0,0,0][0,1,1,0][0,0,1,0][0,0,0,1][1,1,0,1][0,0,1,0][1,0,0,0][0,0,1,1][0,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][0,1,0,0][1,1,0,1][0,0,1,0][0,0,0,1][0,2,1,0][0,1,0,0][0,0,1,0][0,1,0,1][1,0,0,1][0,1,0,0][2,1,1,2][0,0,0,1][0,0,0,1][1,1,1,1][0,0,0,1][0,0,0,1][1,1,1,1][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,0][1,0,0,1][1,2,1,0][0,0,0,1][1,0,0,0][0,0,2,1][1,0,1,0][0,1,0,0][0,0,1,1][1,0,0,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,0,1][3,1,1,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][1,0,1,1][1,1,0,0][0,0,1,0][2,0,0,2][0,0,1,0][1,0,0,1][2,1,0,1][0,0,1,0][0,0,0,1][0,1,0,1][1,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][1,2,1,0][3,0,0,0][0,0,1,0][0,1,1,1][0,0,1,0][1,1,0,0][1,1,1,0][0,0,1,0][1,0,0,0][1,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][1,0,0,1][0,1,0,0][0,1,0,2][0,0,0,1][0,0,1,0][1,1,0,2][0,0,0,1][1,0,0,0][1,1,1,0][0,0,1,0][0,1,0,0][1,1,1,2][0,0,1,0][0,0,1,0][2,1,0,1][2,1,0,0][0,0,0,1][0,1,0,1][3,0,0,0][0,1,0,0][1,0,2,0][0,0,1,0][0,1,0,0][0,2,1,1][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,1,0][1,1,1,1][0,1,0,0][0,1,0,0][0,1,1,1][0,0,1,0][0,1,0,0][1,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][2,1,1,1][2,0,0,0][0,0,0,1][1,2,0,0][0,0,0,1][0,1,0,0][1,2,1,0][0,1,0,0][0,0,1,0][1,1,1,0][0,0,1,0][0,0,1,0][1,1,2,1][0,0,0,1][0,0,0,1][3,1,1,0][0,1,1,0][1,1,0,0][4,0,0,0][0,0,0,1][0,1,0,0][2,1,0,1][1,1,0,0][0,0,1,0][0,3,2,0][10037,0,78512,54546]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2985,0,882,777,1061,0,4661,1000,937,1186,1047,0,3792,944
1,825,899,33,1376,478,0,1464,338,0,937,432,0,1860,285
2,577,128,193,179,350,1,506,69,85,169,183,0,397,129
3,3825,1692,2541,2517,524,0,4089,1391,2824,2787,3036,0,3963,1765
4,521,237,336,0,271,1,0,191,0,504,204,10,181,211
5,189,54,32,81,45,0,0,0,53,62,63,0,172,0
6,3537,1010,1006,780,875,0,0,1043,955,1463,1306,5,3561,0
