N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,467,79000,55000]",14,0.01,"[True,True,False,False]","[1,3,0,0],[0,0,2,0],[1,1,0,0],[0,0,1,1][0,0,1,0][0,0,0,1][0,1,2,0][0,0,1,0][0,0,0,1][0,1,0,2][1,0,1,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,1,0][0,0,1,1][1,1,0,0][1,0,0,0][1,2,1,0][0,1,0,0][1,0,0,1][0,0,0,1][0,0,1,0][1,0,0,0][0,0,0,2][0,0,1,0][0,0,0,1][1,0,0,1][1,0,0,1][1,1,0,0][0,1,0,1][0,0,1,1][1,0,0,1][1,0,1,2][0,0,1,0][0,1,0,0][2,1,1,0][0,0,0,1][0,0,1,0][1,1,1,1][1,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][1,0,1,1][1,1,0,0][1,0,0,0][0,0,1,1][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][0,0,1,0][0,1,1,0][0,1,0,1][0,0,0,1][4,2,1,1][0,0,1,0][0,0,1,0][1,1,0,2][0,0,1,0][0,0,0,1][1,0,2,1][0,1,0,0][1,0,0,0][0,1,1,0][1,2,0,0][0,1,0,0][0,1,0,1][1,1,0,0][1,0,0,0][2,0,0,2][0,0,0,1][1,1,0,0][1,1,0,1][1,0,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,1,0,0][1,1,1,0][0,0,1,0][1,0,0,0][0,1,0,0][1,0,1,0][0,0,0,1][1,1,1,2][0,0,1,0][1,0,0,0][1,0,0,2][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][1,0,0,0][0,1,0,0][2,0,1,0][0,1,0,0][2,2,1,0][0,0,1,0][0,1,0,0][2,1,0,1][1,1,0,0][1,1,0,0][2,0,0,1][0,0,0,1][2,0,0,0][0,3,0,0][0,2,0,0][0,1,0,0][0,2,0,0][0,0,0,1][0,0,1,0][0,3,0,0][1,1,0,0][0,0,0,1][0,0,3,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][2,0,0,0][0,1,0,1][1,0,1,0][1,0,1,0][0,2,0,1][1,0,0,1][2,1,0,0][0,1,0,2][0,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][1,2,0,1][0,1,0,0][0,0,0,1][1,1,0,2][0,0,1,0][0,1,0,0][1,0,0,1][2,0,0,0][0,0,1,0][1,1,1,0][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][1,0,0,0][0,3,0,1][0,1,0,0][0,0,0,1][1,1,1,1][1,0,0,1][0,1,0,0][3,0,1,1][0,1,0,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,1,0][0,0,2,1][0,0,1,0][1,0,0,1][2,2,1,1][0,1,0,0][0,0,0,1][1,2,0,1][0,0,1,0][0,0,0,1][2,0,2,0][0,0,1,0][1,0,0,0][1,1,1,1][0,0,1,0][0,0,0,1][1,0,1,1][0,0,0,1][0,0,0,1][0,2,0,0][0,0,0,1][1,0,1,0][1,1,0,1][0,1,0,0][0,0,1,0][1,1,1,0][1,1,0,0][2,0,0,1][1,1,2,0][0,0,0,1][0,1,0,0][0,0,0,2][1,0,0,1][0,1,0,0][1,1,2,0][0,0,1,0][0,0,1,0][2,1,1,0][1,0,1,0][0,0,1,0][2,1,1,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][2,1,0,0][0,1,1,1][0,1,0,0][0,1,0,0][0,1,0,1][2,0,1,0][0,1,0,0][0,1,0,1][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][1,0,1,3][0,0,0,1][0,1,0,0][0,0,0,1][1,0,0,1][0,0,0,1][2,0,3,0][0,1,0,0][1,0,0,1][1,1,0,1][1,1,0,0][0,0,1,0][1,1,1,0][0,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][0,0,1,0][0,2,0,1][1,0,0,1][0,0,0,1][0,1,1,0][0,0,1,0][1,0,0,1][0,3,1,0][0,0,0,1][0,1,0,0][0,1,2,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,0,0,2][0,0,1,0][0,0,0,1][1,2,1,0][0,0,1,0][2,0,0,0][0,1,1,0][0,1,0,0][0,1,0,0][1,1,2,1][1,0,1,0][0,1,0,0][0,2,1,0][0,1,0,1][0,1,0,0][0,2,0,0][0,0,1,0][0,0,0,1][2,1,1,0][1,1,0,0][0,1,0,0][2,2,0,0][1,0,0,1][0,1,0,0][0,0,2,0][0,0,0,1][0,0,0,1][2,1,1,1][1,1,0,0][0,0,1,0][0,0,2,1][0,0,0,1][0,0,1,0][1,1,2,1][2,0,1,0][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][3,2,0,1][0,1,0,0][1,0,0,0][1,0,1,1][0,1,0,1][0,1,0,0][1,1,0,1][1,0,1,0][0,1,0,0][0,0,0,2][0,0,1,0][0,1,0,0][2,1,0,2][0,0,1,0][0,1,0,0][1,0,0,2][0,0,0,1][0,1,0,0][6,1,2,0][0,0,1,0][0,0,0,1][1,0,1,0][0,0,0,1][2,0,0,1][5,1,1,1][1,0,0,1][1,0,0,0][0,0,1,1][0,0,1,0][0,0,1,0][1,0,0,1][1,0,0,0][0,1,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,1,1,3][0,1,0,0][0,1,0,0][4,2,0,1][0,0,1,0][1,1,0,0][0,0,1,1][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][2,0,0,0][1,2,1,0][1,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,0,0,1][2,0,1,1][0,0,1,0][0,0,0,1][1,2,0,1][0,0,0,1][0,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][1,1,0,2][0,0,1,0][1,0,0,1][3,1,2,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][1,1,2,0][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][2,0,2,1][0,0,0,1][0,1,0,0][0,1,1,1][2,0,0,1][0,1,0,0][0,0,1,1][1,0,0,0][1,0,0,0][0,1,1,1][0,0,0,1][0,0,1,0][1,0,0,2][0,0,0,1][0,1,0,0][1,2,0,1][0,0,1,0][0,0,0,1][0,1,1,0][2,1,0,0][0,0,0,1][1,0,2,0][1,0,1,0][0,0,0,1][1,1,0,1][0,0,0,1][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][1,1,0,2][0,1,0,0][1,0,0,0][1,1,0,1][0,0,1,0][0,1,0,0][3,1,2,0][0,1,0,0][0,1,0,0][1,0,1,0][0,0,1,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][2,0,0,0][0,1,0,3][0,1,0,0][0,1,0,0][0,0,1,2][0,1,0,0][0,0,1,0][2,1,1,1][0,1,0,0][1,0,0,0][2,0,0,1][0,0,1,0][0,1,0,0][3,1,1,1][0,0,1,0][0,1,0,0][1,0,2,0][1,1,0,0][0,0,1,0][0,1,1,1][0,1,0,0][0,0,1,0][1,2,0,1][1,0,1,0][1,1,0,0][2,2,1,0][0,1,0,0][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][1,0,1,3][0,0,1,0][0,0,0,1][1,1,0,1][0,0,1,0][1,0,0,1][2,2,1,1][0,1,0,0][0,0,1,0][0,0,2,1][0,0,0,1][1,1,0,0][0,1,2,0][0,1,0,0][0,0,1,0][0,0,0,2][0,0,0,1][1,0,1,0][3,0,1,1][0,0,1,0][0,0,0,1][2,2,0,0][0,0,1,0][0,0,0,1][1,1,0,1][0,1,0,0][0,1,0,0][0,0,1,0][1,0,0,1][0,0,1,0][0,0,0,2][0,1,0,0][0,0,1,0][1,1,1,0][2,1,0,0][1,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][0,1,0,1][1,0,0,1][1,0,0,0][2,0,2,0][0,0,0,1][1,0,1,0][2,1,0,2][0,1,0,0][1,0,1,0][0,1,0,1][0,0,0,1][1,0,0,0][2,0,1,1][1,0,0,1][0,1,0,0][1,2,0,2][0,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][3,0,0,0][2,0,0,2][1,0,0,0][0,0,0,1][0,0,0,1][2,1,0,0][0,0,1,0][2,1,2,0][0,0,1,0][0,0,0,1][0,2,2,0][0,0,2,0][0,0,1,0][1,1,1,0][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,1,0,0][1,2,0,0][0,0,0,1][0,0,1,0][2,0,1,0][0,0,1,1][0,0,1,0][1,1,1,1][0,0,0,1][1,0,0,0][0,1,2,0][0,1,0,0][0,1,0,0][5,2,2,0][0,1,0,0][0,0,1,0][0,1,0,1][1,1,0,0][0,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][1,2,0,1][1,0,0,1][0,1,0,0][1,0,1,1][0,0,0,1][1,0,0,0][0,1,1,1][1,0,1,0][0,0,1,0][1,2,2,0][0,0,0,1][0,0,1,0][4,2,0,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,0][2,1,0,1][1,1,0,0][1,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][0,2,0,1][0,1,1,0][0,0,1,0][0,0,2,0][0,1,0,0][0,1,0,0][0,0,2,0][0,0,1,0][0,1,0,0][2,2,1,0][0,0,1,0][0,0,1,0][1,1,0,2][0,0,1,0][1,0,0,1][0,0,2,1][0,0,1,0][0,1,0,0][0,1,0,1][1,0,0,1][2,0,1,0][0,0,2,0][1,1,0,0][0,0,1,0][0,0,1,1][1,0,0,1][0,0,1,0][4,0,3,0][0,0,0,1][1,0,0,0][3,1,0,1][0,0,0,1][1,0,1,0][0,1,2,0][0,1,0,0][0,1,0,0][2,0,0,2][0,0,2,0][1,0,0,1][2,1,0,1][0,0,1,0][2,0,0,0][1,2,0,1][1,0,1,0][3,0,0,0][1,1,1,0][1,0,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][0,1,0,0][0,1,0,0][0,0,1,0][2,1,0,2][0,0,1,0][1,0,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,2,1][0,0,0,1][0,0,0,1][1,0,0,2][1,1,0,1][0,0,1,0][2,1,2,0][0,0,0,1][0,0,1,0][0,1,1,1][0,0,0,1][0,0,1,0][0,1,3,0][1,0,0,0][1,0,0,0][0,2,1,0][0,2,0,0][0,1,0,0][3,1,1,1][0,0,0,1][0,1,0,0][1,1,1,1][0,0,0,1][0,0,1,0][5,2,2,1][0,0,0,1][0,1,0,0][3,1,1,1][0,0,1,0][0,1,0,0][0,0,1,1][1,0,0,0][0,1,0,0][0,1,0,1][0,0,0,1][0,0,1,0][1,0,2,0][0,0,0,1][0,1,0,0][0,0,1,2][1,0,1,0][0,0,1,0][1,1,1,0][0,0,0,1][0,0,0,1][2,1,0,1][0,0,1,0][0,1,0,0][0,4,0,1][0,0,1,0][0,0,0,1][1,2,0,1][0,1,0,0][0,1,0,0][1,1,1,0][1,0,0,1][0,1,0,0][1,0,2,0][1,0,0,1][0,0,0,1][0,1,1,1][1,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][0,1,2,0][1,0,0,0][0,0,0,1][0,1,0,1][4,1,0,0][1,0,1,0][0,1,3,0][1,0,0,1][0,0,1,0][1,1,0,1][0,1,0,0][0,1,0,0][2,0,1,1][0,0,0,1][0,1,0,0][1,2,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][1,2,1,0][2,1,0,0][1,0,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,2,0,1][0,1,1,0][0,0,0,1][2,0,2,0][1,1,0,0][1,0,0,0][0,0,1,1][0,0,0,1][0,0,0,1][2,1,1,1][0,0,1,0][0,0,0,1][1,0,2,0][0,0,1,0][1,0,0,0][0,2,1,0][0,1,0,0][0,0,1,0][2,0,0,2][0,0,1,0][0,0,1,0][1,0,1,2][0,0,1,0][1,0,0,0][0,0,2,0][0,0,1,0][0,0,0,1][2,1,1,0][0,1,0,0][0,1,0,0][3,1,1,1][2,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][1,0,0,0][2,1,0,1][1,0,0,1][0,0,0,1][1,0,0,3][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,0][1,2,0,0][0,0,0,1][0,0,1,0][1,1,1,1][0,0,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][0,2,0,2][0,0,0,1][0,0,0,1][1,0,2,0][0,0,0,2][0,1,0,0][1,1,0,3][2,0,0,0][0,0,1,0][1,2,0,1][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,1,0,1][1,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][1,0,0,0][0,1,1,0][0,0,0,1][1,0,1,0][0,1,1,1][0,0,1,0][0,0,1,0][0,0,0,2][0,0,0,1][0,1,0,0][2,1,0,2][0,1,0,0][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,1,0,0][1,0,1,2][0,2,0,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][1,2,1,0][0,0,1,1][2,0,0,0][0,0,1,2][0,0,0,1][1,0,0,0][0,1,0,1][0,0,0,1][2,0,1,0][0,0,1,1][0,0,1,0][0,0,0,1][1,0,0,1][1,0,1,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,1,0][3,0,0,1][0,0,1,0][0,0,1,0][1,0,0,1][0,0,0,1][0,0,1,0][0,1,0,0][0,1,1,0][1,0,0,1][0,0,1,0][1,0,0,0][0,0,1,0][0,2,1,0][0,0,0,1][0,0,1,0][0,1,1,2][0,0,0,1][0,0,0,1][0,1,2,0][0,1,0,0][2,0,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,2,0,1][1,1,0,0][0,0,0,1][0,0,0,3][1,0,0,0][1,0,0,0][0,2,0,0][0,1,0,0][0,0,0,1][0,2,0,0][0,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][0,1,0,0][1,2,1,0][1,0,0,1][1,0,0,0][0,2,0,1][0,0,0,1][0,0,1,0][0,0,2,0][0,0,0,1][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][0,0,1,0][1,1,1,0][1,0,0,1][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][1,0,1,2][0,1,0,0][0,0,1,0][2,1,2,1][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][0,0,1,0][0,0,0,3][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][2,1,0,1][0,0,1,0][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,0,1][0,2,1,1][1,0,1,0][0,1,0,0][2,1,0,1][0,0,1,0][0,0,0,1][0,1,1,2][0,0,1,0][0,0,1,0][0,0,2,0][1,0,0,1][1,0,1,0][4,0,3,0][0,0,0,1][0,0,1,0][2,0,1,1][0,0,0,1][0,0,0,1][2,1,3,0][0,1,0,0][0,1,0,0][0,2,1,0][0,0,1,0][0,1,0,0][1,0,0,1][0,0,1,0][0,0,1,0][2,3,0,0][0,0,1,0][0,0,1,0][0,4,0,0][0,0,0,1][0,1,0,0][2,0,0,2][0,1,0,0][0,0,1,0][0,0,1,1][2,0,0,0][1,0,0,0][0,0,0,2][0,0,0,2][0,1,0,0][3,1,0,1][1,0,1,0][1,0,0,0][0,0,2,1][0,0,0,1][0,0,1,0][1,1,2,2][0,1,0,0][0,1,0,0][1,0,1,2][0,0,0,1][0,0,0,1][0,0,0,2][1,0,1,0][0,1,0,0][1,1,0,1][0,0,0,1][0,0,1,0][0,2,0,1][1,1,0,0][1,0,0,0][0,0,0,2][0,1,0,0][0,0,0,1][0,1,1,2][10032,0,78529,54509]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3658,1101,990,0,1069,0,3826,1093,1056,1163,839,2,4991,1196
1,1778,816,713,1036,996,0,1011,739,513,1307,496,0,529,994
2,506,279,164,140,151,3,412,135,214,92,129,3,535,0
3,2591,1412,3383,0,2897,7314,3317,0,2662,2932,1366,2673,4216,0
4,499,0,284,173,410,0,507,159,0,0,151,0,95,152
5,249,54,82,60,61,0,191,64,38,74,59,0,133,62
6,3699,1107,1185,952,798,0,2119,1147,885,1061,1221,5,3593,1091
