N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,484,79000,55000]",14,0.01,"[True,True,False,False]","[3,1,0,0],[0,1,0,0],[0,0,1,0],[2,1,1,1][0,0,0,1][0,1,0,0][0,1,0,2][0,0,1,0][0,0,1,0][0,2,0,1][0,0,0,1][1,0,0,0][1,0,2,1][0,0,0,1][0,1,0,0][1,1,0,0][1,1,0,0][0,1,0,0][0,1,1,0][0,0,1,0][0,0,0,1][1,1,1,0][1,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][2,1,0,1][0,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][0,1,0,0][1,0,0,1][0,0,0,1][0,0,0,1][1,1,0,0][1,0,0,1][1,0,1,0][1,2,0,2][0,0,1,0][0,0,0,1][3,0,0,1][0,0,0,1][1,1,0,0][0,0,2,0][0,0,0,1][0,0,1,0][0,1,1,0][0,0,1,0][2,0,0,0][1,2,2,0][0,0,1,0][1,0,0,0][2,0,1,1][0,0,0,1][2,0,0,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,2][0,0,0,1][1,0,0,1][0,0,1,2][0,0,0,1][0,0,0,1][3,1,0,1][1,0,1,0][2,0,0,1][0,2,1,1][0,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][2,1,0,0][1,1,0,1][0,0,0,1][0,0,1,0][0,0,1,1][1,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][1,2,1,0][1,0,0,0][0,1,0,0][1,2,0,1][3,0,0,0][0,0,0,1][0,0,1,0][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][3,1,1,1][0,0,0,1][1,0,0,0][1,1,0,2][0,0,1,0][0,0,0,1][3,3,0,2][0,0,1,0][1,0,0,0][1,0,2,0][0,1,0,0][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,1,0][1,0,1,1][1,0,0,0][1,0,0,0][3,0,1,0][1,0,0,1][0,1,0,0][2,1,0,2][0,0,1,0][1,0,0,0][1,1,0,2][0,0,1,0][0,0,0,1][3,1,1,0][0,0,1,0][0,0,1,0][0,0,1,1][1,0,1,0][0,0,1,0][0,0,2,1][0,1,0,0][1,0,0,0][3,0,1,1][0,0,1,0][0,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][1,1,0,0][0,0,1,0][0,1,0,0][2,1,0,1][2,0,0,0][0,1,0,0][0,0,0,2][2,0,1,0][0,0,0,1][1,0,0,2][0,0,0,1][0,0,0,1][0,0,2,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][1,0,3,0][0,0,0,1][0,0,0,1][1,0,2,0][0,1,0,0][0,0,0,1][1,0,2,0][1,0,1,1][0,0,1,0][1,0,1,1][2,0,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,2][1,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][1,0,1,0][1,1,3,0][0,0,0,1][1,0,0,0][2,0,0,1][0,0,0,1][2,0,1,0][0,2,1,0][0,1,0,0][1,0,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,1][0,1,0,0][1,0,1,0][0,2,1,0][0,1,0,1][0,0,0,1][3,1,2,0][1,0,1,0][0,0,1,0][0,0,1,1][1,1,0,0][0,0,0,1][1,1,2,0][0,1,0,0][0,0,1,0][1,0,2,0][0,1,0,0][0,0,1,0][1,2,1,0][0,0,0,1][0,0,1,0][4,0,0,2][0,0,1,0][0,1,0,0][0,1,0,1][0,1,0,0][0,1,0,0][2,0,1,0][1,1,1,0][1,0,1,0][0,0,0,2][0,0,1,0][0,0,0,1][1,0,0,2][2,0,0,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][4,0,0,1][0,1,0,0][3,0,0,0][2,2,0,1][0,0,0,1][0,1,0,0][0,3,0,1][1,0,1,1][0,0,0,1][1,0,0,2][0,0,0,1][1,0,0,0][0,1,0,0][0,0,0,1][0,0,1,0][2,0,2,1][0,0,1,0][0,0,1,0][1,2,0,0][1,0,1,0][0,1,0,0][1,2,2,1][0,0,0,1][0,1,0,0][0,0,0,2][0,0,0,2][0,0,1,0][4,1,2,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][1,0,0,0][1,0,1,1][0,0,1,0][0,1,0,0][2,0,1,1][0,1,0,0][0,1,0,0][0,1,1,0][0,0,1,0][3,0,0,0][1,0,1,0][1,0,0,0][0,0,0,1][1,0,1,0][1,0,1,0][1,0,1,0][1,2,0,2][0,1,0,0][1,0,0,0][0,0,2,0][0,0,2,0][0,0,1,0][2,0,2,0][0,0,0,1][0,0,1,0][5,2,0,0][0,0,1,0][0,0,0,1][0,0,0,2][0,0,0,1][1,0,0,0][2,0,0,2][2,1,0,1][1,1,0,0][0,1,1,1][1,0,0,0][0,0,0,1][2,2,0,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][1,1,0,0][2,0,1,1][0,0,0,1][0,0,1,0][1,2,1,0][0,0,1,0][0,0,0,1][0,1,2,1][0,1,0,0][0,0,1,0][1,0,2,0][1,0,1,0][0,1,0,0][0,1,1,0][0,1,0,0][1,0,0,0][1,1,0,2][1,0,0,1][0,0,1,0][1,1,0,3][0,1,0,0][1,0,0,0][0,1,0,0][2,0,1,0][0,1,0,0][0,1,2,0][0,0,0,1][0,0,1,0][2,1,1,0][0,0,0,1][0,0,0,1][0,0,2,0][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][1,0,1,0][1,1,1,0][0,0,1,0][0,0,1,0][1,1,0,1][0,0,1,0][1,1,0,0][2,1,0,1][0,0,1,0][0,0,1,0][0,0,1,0][1,0,0,1][0,0,0,1][0,1,0,2][1,0,0,0][0,1,0,0][0,0,1,0][1,0,0,0][0,0,0,1][1,0,0,1][1,0,1,0][0,0,1,0][0,0,1,1][0,1,0,1][0,0,1,0][1,0,0,2][0,1,0,0][1,0,0,0][0,1,1,0][0,1,0,1][0,0,0,1][2,0,0,2][0,0,0,1][0,1,0,0][2,0,2,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,1,1,0][0,1,1,0][1,0,0,1][0,0,0,3][0,0,1,0][1,0,0,0][2,0,1,1][0,0,1,0][0,0,1,0][0,0,0,2][2,1,0,0][1,0,0,0][1,1,0,1][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][0,0,1,0][1,1,1,0][0,1,0,0][0,1,0,1][1,0,0,0][0,1,0,0][3,2,0,1][1,2,0,0][1,1,0,0][0,2,0,1][0,0,0,1][0,0,1,0][0,0,2,0][2,1,0,0][0,0,0,1][1,0,2,1][0,1,0,0][1,0,0,0][0,1,0,1][0,0,1,0][0,0,0,1][1,2,0,2][0,1,0,0][0,1,0,0][1,1,1,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][1,1,1,1][0,0,1,1][0,0,1,0][0,0,2,2][1,0,1,0][0,1,0,0][1,0,2,0][1,0,0,1][0,1,0,0][1,0,0,2][0,0,1,0][0,0,0,1][2,0,1,1][0,1,0,0][0,0,0,1][3,3,1,0][0,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][5,1,3,0][1,0,0,1][0,1,0,0][1,1,1,1][0,0,0,1][1,0,0,1][2,0,1,0][0,0,1,0][1,0,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,1,0,1][1,0,1,0][0,0,0,1][0,1,0,0][0,1,0,0][0,1,1,0][0,0,0,1][0,1,0,0][1,0,2,1][0,0,0,1][0,0,0,1][2,1,1,0][0,0,1,0][0,0,0,1][1,2,1,0][1,0,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,1,0,0][2,0,2,0][1,0,0,0][1,0,0,0][0,0,1,0][3,0,0,0][2,0,1,0][1,2,1,1][0,0,0,1][0,0,0,1][0,0,1,2][1,0,1,0][1,0,1,0][0,0,0,2][0,1,0,0][0,0,0,1][1,2,0,1][0,0,0,1][0,0,1,0][0,1,1,0][1,0,0,1][1,0,0,0][0,2,0,1][0,0,1,0][0,0,0,1][4,1,1,0][0,1,0,0][1,0,0,0][0,1,0,1][0,1,0,0][0,1,0,0][1,1,0,2][0,0,0,1][0,0,1,0][0,1,1,1][0,1,0,0][0,0,1,0][0,2,1,1][1,0,0,0][0,1,0,0][1,1,0,1][0,1,0,0][0,0,0,1][1,1,1,1][0,1,0,0][0,0,0,1][0,1,2,0][0,0,1,0][1,0,0,1][2,0,1,1][1,0,1,0][1,0,0,0][0,0,0,2][1,1,0,0][0,0,0,1][1,0,2,0][0,1,0,0][0,0,1,0][0,2,0,1][1,0,1,0][0,0,0,1][0,1,1,1][2,0,0,0][1,0,0,1][0,1,0,1][0,0,0,1][0,0,0,1][5,0,2,0][0,0,0,1][1,0,0,0][0,1,0,1][0,0,1,0][0,0,0,1][2,0,2,1][0,0,0,1][1,0,0,0][0,0,2,1][1,1,0,0][1,0,1,0][1,1,1,0][0,0,1,0][0,0,0,1][0,1,0,1][1,0,0,1][0,0,1,0][3,1,1,0][0,0,0,1][1,0,0,0][1,0,0,2][1,0,2,0][0,1,0,0][2,2,2,1][0,1,0,0][1,0,0,0][1,1,0,1][0,1,0,0][0,0,1,0][1,1,1,1][1,1,0,0][0,0,1,0][0,3,1,0][0,1,0,0][0,0,0,1][1,1,2,0][0,0,0,1][0,0,0,1][0,0,0,2][1,1,0,0][0,0,0,1][0,0,1,2][0,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][0,2,0,0][1,0,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,0,1][1,2,0,1][0,0,0,1][0,0,1,0][0,0,1,1][1,0,1,0][0,0,0,1][0,4,0,0][0,1,0,0][1,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][1,1,0,1][0,0,1,0][1,0,0,0][0,1,0,2][0,0,0,1][2,0,1,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][1,0,0,1][2,0,0,1][0,1,0,0][0,0,1,0][1,2,1,0][0,0,0,1][0,1,0,0][0,0,1,2][1,0,1,0][0,0,0,1][1,1,1,0][1,1,0,0][0,1,0,0][2,1,1,0][0,0,0,1][1,0,0,0][0,0,1,0][0,0,0,1][2,0,0,0][3,1,2,0][1,0,0,0][0,0,0,1][2,0,1,2][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][0,1,0,0][2,2,0,0][2,0,1,0][0,1,0,0][0,0,0,1][1,1,0,0][0,1,0,0][0,1,1,1][1,0,1,0][0,0,1,0][0,0,1,2][0,0,1,0][0,0,0,1][3,1,0,2][0,0,1,0][0,1,0,0][1,1,1,1][0,0,0,2][0,0,1,0][1,1,0,2][0,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][0,0,0,1][2,0,0,2][0,0,1,0][1,0,0,0][3,1,1,0][0,2,0,1][0,0,1,0][1,0,0,3][0,1,0,0][1,0,0,0][3,0,2,0][0,0,0,1][0,1,0,0][0,2,0,1][1,0,0,0][0,0,1,0][0,0,2,1][0,0,1,0][0,0,0,1][2,0,2,0][1,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][0,0,1,0][0,1,1,1][2,0,1,0][0,0,0,1][1,0,2,0][0,1,0,0][0,0,1,0][1,0,1,2][0,1,0,0][0,0,0,1][0,1,2,0][0,1,0,1][0,0,1,0][0,0,3,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][1,0,1,0][2,1,0,0][1,0,0,1][0,1,0,0][3,0,1,0][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][0,0,1,0][5,1,0,1][0,1,0,0][1,0,0,1][2,2,0,0][0,1,0,0][0,0,0,1][0,3,0,0][1,1,0,0][0,1,0,0][2,2,0,1][0,1,0,0][0,0,1,0][1,1,1,0][1,0,0,1][0,1,0,0][0,0,1,2][0,1,0,0][0,0,0,1][1,0,0,2][0,0,0,1][0,0,0,1][0,0,2,0][2,0,0,0][0,0,0,1][2,2,0,0][1,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][0,0,0,2][0,1,0,0][0,0,1,0][0,0,0,2][0,1,0,0][0,1,0,0][1,0,0,1][0,0,0,1][0,1,0,0][2,1,0,3][2,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][1,0,1,1][0,0,1,0][1,0,0,0][1,1,0,2][1,1,0,1][0,0,1,0][1,1,1,0][0,0,0,1][1,0,0,0][0,1,0,1][0,0,1,0][1,1,0,0][0,1,2,0][0,0,0,1][1,0,0,0][0,0,2,1][1,1,0,0][1,1,0,0][2,1,0,0][0,1,0,0][0,0,1,0][3,0,2,0][0,1,1,0][1,0,0,1][1,1,1,0][0,0,1,0][0,0,1,0][0,2,1,0][1,2,0,0][0,0,1,0][0,0,1,0][0,0,0,1][1,0,1,0][0,1,2,0][0,0,1,1][0,0,1,0][0,0,1,1][1,0,0,1][0,1,0,0][1,1,0,0][1,2,0,0][0,0,1,0][0,2,1,0][0,0,0,1][0,0,0,1][1,0,2,0][1,1,0,1][0,1,0,0][2,0,1,2][0,1,0,0][1,1,0,0][0,3,0,0][0,1,0,0][0,0,1,0][1,0,1,2][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,0,1][2,1,0,1][1,0,0,0][1,0,0,0][5,0,0,0][0,0,0,1][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][1,2,1,0][1,0,1,0][0,0,0,1][1,1,0,0][1,1,0,0][0,0,0,1][0,0,1,1][2,0,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,1,0][1,0,2,1][0,0,1,0][1,0,0,0][1,2,1,0][0,1,0,1][2,0,0,0][0,0,1,1][0,1,0,0][0,0,1,0][2,1,0,1][0,1,0,1][0,0,0,1][0,0,1,1][0,0,0,1][1,0,0,0][0,1,1,1][0,0,1,0][0,1,0,0][2,1,1,1][0,0,1,0][2,0,0,0][1,0,1,2][0,0,0,1][0,1,0,0][1,0,2,1][0,0,1,0][0,0,0,1][1,1,0,1][0,1,0,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,0,1][1,1,0,2][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][1,0,0,0][2,1,1,0][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,1,0][1,1,1,0][0,0,0,1][6,0,3,0][0,0,0,1][1,0,0,0][0,3,0,0][0,0,0,1][1,0,1,0][1,0,1,2][0,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][0,0,1,0][0,2,0,1][0,0,1,0][0,1,0,0][1,1,2,0][1,1,0,0][1,0,1,0][2,1,1,0][0,0,0,1][0,1,0,0][0,0,1,1][1,0,0,1][0,0,1,0][1,0,0,2][1,0,0,1][0,1,0,0][1,2,1,0][0,0,0,1][1,0,1,0][0,0,1,2][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][0,0,0,1][0,0,1,0][2,0,0,0][0,0,0,1][0,1,2,0][1,0,0,1][1,0,0,1][0,2,1,0][0,1,0,0][0,0,0,1][0,2,0,0][0,0,1,0][1,0,0,0][4,0,1,1][1,0,0,1][1,0,0,0][0,0,0,2][0,0,1,0][0,0,0,1][0,1,1,0][1,1,0,0][0,0,0,1][2,1,0,1][0,1,0,0][0,0,0,1][1,0,1,2][9996,41,78516,54513]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,0,0,1234,1146,0,7,2101,1260,1159,1558,1003,3,1270,964
1,0,526,567,0,448,0,1782,334,499,611,340,0,539,0
2,477,260,163,205,249,0,0,0,0,0,191,0,471,110
3,5366,3192,2548,2474,2900,9654,3865,2247,2016,2682,2054,11545,3175,863
4,430,253,98,0,99,0,131,87,310,0,305,0,611,303
5,162,58,68,0,49,0,0,48,54,47,46,0,204,50
6,4790,1112,1299,1081,1253,3,4153,995,1278,1160,1427,1,3617,942
