N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,0,2],[0,1,0,0],[0,0,1,0],[0,0,1,1][0,1,0,0][0,0,0,1][2,2,1,0][1,0,1,0][1,0,0,0][0,1,0,0][0,0,0,1][0,0,1,0][0,2,0,1][3,0,0,1][1,1,0,0][0,1,3,0][1,0,0,0][0,1,0,0][0,0,1,1][1,0,1,0][0,1,0,0][0,0,0,1][0,0,1,0][1,0,0,0][0,0,1,1][1,1,0,0][0,1,0,0][0,3,0,1][1,1,0,0][0,1,0,0][1,1,1,1][1,0,1,1][0,0,1,0][0,0,1,1][1,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][0,1,0,0][0,3,0,0][0,0,1,0][0,1,0,0][0,0,1,1][2,0,2,0][0,0,1,0][0,1,1,0][1,1,0,0][1,0,0,0][0,1,1,1][0,0,0,1][0,1,0,0][0,2,0,1][0,0,1,0][0,0,0,1][1,0,2,1][0,1,0,0][0,1,0,0][0,0,4,0][0,0,1,0][0,0,0,1][0,0,0,2][0,0,1,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][1,0,0,0][0,2,0,1][0,1,0,0][2,1,0,0][1,0,1,1][0,0,1,0][1,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,2,2,0][0,0,1,0][0,1,0,0][2,0,0,2][0,0,1,0][1,0,0,0][0,1,0,2][0,0,1,0][1,1,0,0][1,0,1,1][1,0,1,0][0,0,0,1][1,0,2,2][0,0,1,0][0,0,1,0][0,1,1,0][0,1,0,0][0,0,1,0][3,3,2,0][0,1,0,0][0,1,0,0][0,1,0,1][0,1,0,0][1,0,1,0][4,4,0,0][0,0,1,0][1,0,0,0][2,1,0,1][0,0,0,1][0,0,1,0][0,0,3,0][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,0,1][2,1,0,1][0,0,0,1][0,0,0,1][0,0,2,0][2,0,0,0][0,0,0,1][0,1,2,0][0,0,0,1][1,0,1,0][3,2,0,2][1,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][1,1,0,0][0,1,2,0][0,1,0,0][0,1,0,0][1,0,1,0][0,0,0,1][0,1,0,0][1,3,0,0][1,0,0,1][1,0,0,0][2,0,1,1][0,1,0,0][2,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,1,0,0][1,0,0,1][3,1,1,1][0,0,0,1][1,0,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,1][1,0,0,1][0,0,1,0][1,0,0,1][0,0,0,1][0,1,0,0][1,2,1,1][1,0,0,1][0,0,1,0][1,0,0,2][0,0,0,1][1,0,0,1][1,1,1,1][1,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][1,1,0,0][1,1,1,0][0,0,0,1][0,0,1,0][1,2,1,0][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,1][0,0,0,2][0,0,1,0][0,0,0,1][0,1,0,2][2,0,1,0][0,0,0,1][1,1,0,2][0,0,0,1][0,0,0,1][0,1,0,1][0,1,1,0][1,0,1,0][0,3,0,1][1,0,1,0][0,1,0,0][2,3,0,0][0,0,0,1][0,0,0,1][1,2,1,1][0,0,0,1][1,0,0,0][1,0,0,2][3,2,0,0][0,1,0,0][2,2,1,0][0,0,1,0][0,0,1,0][2,0,0,2][0,0,1,0][0,0,1,0][0,2,1,0][2,0,0,1][1,0,0,0][1,0,0,1][0,1,0,1][0,0,1,0][2,1,0,1][0,1,0,0][1,0,0,0][0,0,0,2][0,1,0,0][0,1,0,0][2,1,1,0][1,1,0,0][1,0,0,0][0,1,0,1][0,0,0,1][0,0,1,0][1,0,1,1][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,1,1,0][2,0,0,0][0,0,1,0][0,1,0,1][0,0,0,1][1,0,1,0][0,1,1,1][1,0,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][1,0,1,1][0,1,0,0][0,1,0,0][2,0,1,1][0,0,1,0][0,0,0,1][1,1,2,0][0,0,1,0][0,1,0,0][0,0,0,1][1,1,0,0][0,0,0,1][0,1,2,1][1,0,1,0][1,0,0,0][1,1,1,0][0,0,1,1][0,0,1,0][1,2,1,0][0,0,1,0][0,1,0,0][2,2,1,0][1,0,1,0][1,1,0,0][2,2,0,1][0,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][1,1,0,1][1,0,0,1][0,0,1,0][0,1,0,1][1,0,0,0][1,0,1,0][0,1,1,2][0,0,1,0][0,0,0,1][3,2,0,0][1,0,0,0][0,0,1,0][0,2,1,1][0,1,0,0][0,0,1,0][1,1,0,1][1,0,0,1][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][0,1,0,0][1,1,1,0][0,0,1,0][0,0,0,1][1,0,1,1][0,1,0,0][0,0,0,1][0,1,1,1][1,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][0,1,0,0][1,0,0,1][0,0,1,0][0,1,0,0][0,0,0,1][1,1,0,2][0,2,0,0][0,1,0,0][0,3,0,1][0,0,1,0][0,0,0,1][0,0,2,0][1,0,1,1][2,0,0,0][3,1,1,1][2,0,0,1][0,1,0,0][1,2,1,0][0,0,1,1][0,0,1,0][2,3,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][2,2,2,0][1,0,1,0][0,0,0,1][0,1,2,0][0,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][0,1,0,0][0,1,0,1][0,0,1,0][0,0,1,0][0,1,0,1][0,1,0,0][0,0,0,1][0,0,0,3][0,0,1,0][2,1,0,0][2,4,0,0][0,0,1,0][0,0,1,0][2,1,0,0][0,0,0,1][1,1,0,0][2,0,2,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][2,2,0,2][0,1,0,0][0,1,0,0][2,0,0,1][2,2,0,0][0,0,1,0][1,0,1,1][0,0,1,0][0,0,0,1][0,0,1,2][1,0,1,0][0,1,0,0][2,1,1,1][0,0,1,0][0,0,0,1][2,1,1,0][2,0,0,1][0,0,0,1][0,2,0,1][0,0,1,0][1,0,0,0][0,1,0,2][0,1,1,0][0,0,0,1][0,1,0,2][1,1,0,0][0,0,0,1][1,0,2,0][0,0,0,1][0,0,1,0][0,2,1,0][0,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][0,0,1,0][0,2,2,0][0,1,0,0][0,0,1,0][0,3,0,0][0,0,0,1][0,1,0,0][0,1,3,0][2,0,0,0][1,0,0,0][0,2,0,1][1,0,0,1][0,0,1,0][3,2,0,1][1,0,0,0][1,0,0,0][3,1,0,1][0,0,1,0][0,0,0,1][1,2,1,0][0,1,0,0][0,0,1,0][0,1,0,2][1,1,0,0][0,0,0,1][3,0,1,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][0,0,2,1][0,0,0,1][0,0,1,0][1,0,1,1][0,0,0,1][3,0,0,0][1,0,1,1][0,1,0,0][0,1,0,0][2,1,1,1][0,0,0,1][0,0,1,0][1,0,2,1][1,1,0,0][0,0,0,1][0,1,1,0][1,1,0,0][0,0,1,0][2,0,1,2][1,0,0,1][0,0,1,0][1,1,1,0][0,0,0,1][0,0,0,1][1,1,1,1][0,0,1,0][1,0,0,0][1,2,0,2][0,0,1,0][0,1,0,0][0,0,2,0][1,1,0,0][0,1,0,0][0,1,1,1][0,0,0,1][2,1,0,0][2,2,1,0][0,0,1,0][0,0,0,1][0,2,0,1][0,0,0,1][1,1,0,0][0,0,2,1][0,0,1,0][0,1,0,0][0,0,2,0][0,0,1,0][0,0,1,0][1,3,0,1][0,1,0,0][0,0,1,0][3,2,1,0][1,1,0,1][0,1,0,0][0,2,0,2][0,0,0,1][1,0,0,0][1,1,0,2][1,0,0,0][0,0,1,0][2,2,2,0][1,1,0,0][1,0,0,0][0,1,0,1][0,0,1,1][1,1,0,0][1,1,0,1][0,1,0,0][0,1,0,0][1,1,1,1][0,0,0,1][0,0,0,1][1,0,0,1][1,0,0,0][1,0,0,0][0,1,0,0][2,0,1,0][1,1,0,0][0,3,0,0][0,1,0,0][0,0,1,0][2,1,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][1,0,2,0][0,0,0,1][0,0,0,1][1,1,2,0][0,1,0,0][0,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][1,1,1,1][0,0,0,1][1,0,0,0][1,3,1,0][0,1,0,0][0,1,0,0][2,1,0,3][1,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,0,1,0][2,0,0,1][0,0,1,0][0,0,1,0][2,0,0,2][0,0,0,1][1,1,0,0][2,0,2,1][1,0,1,0][0,0,0,1][1,1,1,1][0,0,0,1][0,1,0,0][0,2,0,1][0,0,0,1][0,0,1,0][0,1,0,0][1,0,0,1][0,0,1,0][1,2,1,1][0,0,1,0][0,1,0,0][0,1,0,1][0,1,0,0][0,1,0,0][2,0,3,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,0,0,1][0,0,2,0][0,0,0,1][0,1,0,0][0,0,1,1][0,0,2,0][0,1,0,0][1,1,3,0][1,0,0,0][0,0,0,1][1,0,0,2][2,0,0,1][0,1,0,0][1,1,1,2][0,1,0,0][1,0,0,0][0,0,2,1][0,0,1,0][0,0,1,0][2,1,1,2][1,0,0,1][1,0,0,1][2,1,1,0][0,0,1,0][0,0,1,0][0,0,0,2][0,1,0,0][1,0,0,0][2,0,0,2][1,1,0,0][0,0,0,1][2,0,1,0][0,0,1,0][0,0,0,1][2,1,0,1][0,1,1,0][0,0,0,1][3,0,3,1][0,1,0,0][0,1,0,0][0,0,1,0][1,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,0,1][3,2,0,1][0,0,1,1][0,0,0,1][3,0,2,1][0,0,1,0][1,0,0,0][0,1,1,1][2,1,0,0][0,0,0,1][0,0,2,2][0,0,1,0][0,1,0,0][2,0,0,2][0,1,0,0][0,0,1,0][0,0,1,2][0,1,0,0][1,0,0,0][1,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][1,1,0,0][0,0,1,0][1,1,1,0][0,0,0,2][0,1,0,0][0,1,1,0][0,0,0,1][1,0,0,0][0,0,1,1][0,1,0,1][0,1,0,0][0,0,0,4][0,0,1,0][0,0,0,1][1,1,0,1][0,1,0,0][2,0,0,0][0,0,0,2][2,1,0,0][0,0,1,0][0,1,0,1][1,0,0,1][0,0,1,0][0,0,3,1][0,0,0,1][0,0,1,0][4,2,0,0][0,0,2,0][1,0,0,1][0,0,0,1][1,0,0,0][0,0,0,1][0,1,1,2][0,0,0,1][0,1,0,0][0,1,0,1][0,0,0,1][0,0,1,0][1,0,0,2][0,1,0,0][0,0,1,0][3,1,2,0][0,1,0,0][0,1,0,0][3,1,1,1][0,0,0,1][1,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,2][0,0,1,0][0,1,0,0][2,0,2,1][0,1,0,0][0,1,0,0][1,0,1,0][0,0,1,0][0,0,1,0][1,0,1,2][0,0,0,1][0,1,0,0][0,1,2,0][0,1,0,0][0,1,0,0][1,1,2,1][0,1,0,0][0,1,0,0][0,0,2,0][0,1,0,0][0,0,1,0][1,0,3,0][0,1,0,0][1,0,0,0][1,0,2,0][0,0,1,0][1,1,0,0][0,0,0,1][1,0,1,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,1,0][1,0,1,1][0,0,1,0][1,0,0,0][0,0,1,2][0,0,1,0][0,1,0,0][1,2,0,1][2,0,1,0][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][2,0,1,2][0,0,0,1][1,0,0,0][0,0,1,1][0,0,0,2][1,0,0,1][0,0,1,1][1,0,0,1][1,0,0,0][0,1,1,0][0,2,0,0][1,0,0,1][0,1,1,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][1,1,0,2][0,1,0,0][1,0,0,0][0,1,2,1][1,0,0,1][1,0,0,1][1,0,1,0][0,0,0,1][0,0,1,0][0,3,0,0][0,1,0,0][0,0,0,1][0,1,2,0][0,0,0,1][0,0,0,1][1,1,1,0][0,0,0,1][0,0,0,1][4,2,1,1][0,1,0,0][0,0,0,1][0,1,1,1][0,0,0,1][0,0,0,1][1,2,1,0][0,0,0,1][0,0,0,1][1,1,2,0][0,1,0,0][1,0,1,0][0,0,0,2][0,0,0,1][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][0,0,2,2][0,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,0,1,0][1,0,2,0][0,0,0,1][0,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][1,2,1,1][0,0,1,0][0,0,0,1][0,0,0,1][1,0,1,0][0,0,0,1][0,2,2,0][0,1,0,0][1,0,0,0][0,0,2,0][0,0,0,1][3,0,0,0][2,0,0,2][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][0,0,1,0][2,2,0,0][0,0,1,0][0,0,1,0][1,2,0,1][0,0,0,1][0,0,0,1][0,0,2,0][0,1,0,0][0,0,0,1][0,0,1,0][1,2,0,0][0,1,0,0][0,1,1,1][0,0,1,0][0,1,0,0][1,1,0,1][0,0,1,1][0,0,0,1][1,2,0,0][1,0,1,0][0,0,0,1][1,0,1,0][1,1,0,0][1,0,0,1][0,1,1,2][0,1,0,0][0,1,0,0][1,2,0,0][0,0,1,0][1,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][0,0,1,0][0,1,1,0][1,0,0,0][0,1,0,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][2,1,1,1][0,1,0,0][0,0,0,1][0,1,0,2][0,0,1,0][0,0,1,0][3,0,0,1][0,1,0,0][0,1,0,0][1,1,2,0][0,1,0,0][0,0,0,1][2,0,1,1][0,0,0,1][0,0,0,1][2,1,2,0][0,0,0,1][1,0,1,0][2,0,3,0][0,0,0,1][0,1,0,0][0,0,0,2][1,0,1,0][1,1,0,0][1,1,0,2][1,1,0,0][1,0,0,0][0,0,1,1][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][1,0,1,1][0,1,0,0][1,0,0,0][0,0,2,0][1,0,0,0][0,0,1,0][0,1,2,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,0,2,0][0,1,0,0][0,0,0,1][1,0,0,2][0,1,0,1][0,0,1,0][0,1,0,2][0,1,0,0][1,0,0,0][0,1,1,0][2,1,0,1][0,0,1,0][2,0,2,2][0,0,0,1][0,1,0,0][1,0,2,0][1,0,1,0][1,0,1,0][1,0,1,1][0,0,0,1][1,0,0,0][0,0,2,0][0,0,2,0][1,1,0,0][0,0,1,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][2,1,0,2][0,0,0,1][0,1,0,0][1,1,0,1][0,1,0,0][3,0,0,0][0,1,0,2][1,0,0,1][0,0,1,0][2,1,1,1][0,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][3,1,1,0][1,0,0,1][2,1,0,0][2,2,0,1][1,1,0,0][0,0,0,1][0,0,1,1][2,0,0,1][0,0,1,0][3,0,1,0][0,0,1,0][1,0,0,0][0,0,2,0][0,0,0,1][1,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][0,0,0,2][0,1,0,0][0,0,0,1][1,0,1,0][1,0,0,1][0,0,0,1][0,2,1,0][0,1,1,0][0,0,0,1][3,2,2,0][0,1,0,0][0,0,0,1][1,1,1,0][2,1,0,1][0,0,0,1][0,0,1,1][10044,0,78506,54509]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2904,1037,1066,0,1773,4,3632,1001,980,698,946,11,3519,1109
1,0,1033,464,627,0,0,2001,0,505,303,388,0,1332,287
2,292,123,189,98,278,0,455,144,140,211,266,2,419,259
3,3081,2060,2742,2805,1679,9662,0,2604,3599,2776,4723,8474,6367,2057
4,290,283,427,254,44,4,116,116,240,162,67,7,332,285
5,160,53,29,66,45,0,169,67,0,0,53,0,166,57
6,4729,1059,1108,1227,0,15,2260,0,0,1186,1265,0,1965,1217
7,0,459,516,735,1119,0,128,0,504,1272,417,0,1308,293
8,0,12,191,123,337,0,385,169,219,136,283,0,522,258
9,1308,2336,2309,3185,2763,7147,0,2807,2596,2293,3607,4430,4833,1745
10,83,347,474,110,192,1,535,116,197,182,167,0,522,351
11,155,50,52,61,51,0,182,61,0,52,61,0,193,59
12,3302,1104,689,943,1148,5,2498,1039,869,920,0,10,3024,910
13,2407,260,636,150,534,0,1310,0,677,888,556,0,968,124
14,498,461,203,122,387,0,422,276,107,114,164,1,474,97
15,5569,1617,2658,2988,3214,3581,3636,1661,3281,2202,1211,1296,5555,2540
16,0,131,167,371,77,0,272,0,288,220,161,4,334,190
17,154,59,62,0,56,0,198,58,55,35,58,0,166,52
18,3373,1071,972,1037,1286,3,3670,1093,959,0,1599,1,0,1146
19,1059,554,462,880,619,0,2315,799,236,1501,343,0,393,558
20,465,273,178,165,312,0,377,268,241,163,382,5,479,238
21,1697,1894,2956,0,987,0,0,908,2279,2821,2393,3749,3634,1536
22,520,0,0,81,161,1,712,130,283,115,157,0,156,104
23,204,54,60,74,51,0,161,53,61,75,54,0,203,64
24,3489,985,742,1177,986,3,2819,1121,1038,1121,0,0,4258,1221
25,1200,1416,744,0,395,0,775,712,370,1104,417,0,0,0
26,482,0,175,159,0,1,547,312,233,205,76,1,562,90
27,5037,2587,2663,2459,0,0,3247,2347,0,2872,0,0,4241,2200
28,0,270,270,405,165,6,365,27,393,347,192,0,331,104
29,198,61,55,38,63,0,164,0,55,0,61,0,217,52
30,3957,1081,1201,1187,782,0,3522,1165,1046,892,1004,4,1712,1246
31,2971,1350,647,663,768,0,0,888,484,814,442,0,0,303
32,428,229,221,190,198,0,369,0,0,0,202,0,426,194
33,2342,3133,3472,2011,2363,4539,3660,0,3820,0,2563,1570,2983,1890
34,241,174,225,208,190,2,462,144,254,277,210,4,263,116
35,155,54,73,85,70,0,0,49,59,66,50,0,187,73
36,2320,1230,1002,1015,1319,11,2320,1006,1092,1051,779,12,0,1218
37,1353,0,638,963,939,0,3938,16,632,948,504,0,1836,701
38,461,227,283,195,0,0,375,152,180,0,164,2,380,201
39,3951,2359,2522,3093,4237,6389,5386,2942,2342,2836,2287,4388,5668,1739
40,342,135,265,503,158,0,371,160,328,426,216,0,518,363
41,186,62,40,62,51,0,126,57,0,55,56,0,0,63
42,3269,1078,1241,1088,0,8,4633,0,897,1010,949,0,2363,1084
43,2233,486,410,1081,0,0,1481,885,464,0,489,0,1153,0
44,419,210,124,163,74,1,486,219,223,172,312,0,499,228
45,2200,1239,2243,3559,2916,7234,1923,3410,2397,2743,3745,2903,3465,2000
46,387,142,315,281,97,1,267,212,259,279,256,3,185,200
47,0,58,47,62,66,0,225,53,59,56,63,0,194,58
48,4893,1047,900,1340,0,3,4175,1012,1301,0,1006,8,2261,1001
49,917,476,616,835,0,0,1549,742,498,878,554,0,277,768
50,360,0,207,0,0,0,431,283,116,168,90,3,520,228
51,3087,1903,3846,2737,2605,13225,2832,1699,2377,2787,3854,5804,5805,2192
52,225,285,224,224,0,3,643,251,160,195,0,0,430,322
53,233,63,64,0,56,0,161,70,65,0,71,0,185,58
54,4086,1001,1062,986,1367,2,2393,0,1328,904,1063,0,4476,1006
55,1305,692,750,0,333,0,2047,1002,0,0,0,0,0,447
56,438,175,0,135,496,2,534,0,210,161,287,4,423,250
57,6929,2643,2658,2265,0,5152,2087,2056,2889,2431,3294,6798,5433,2085
58,477,117,348,434,210,0,197,221,0,0,206,0,0,142
59,0,53,50,74,66,0,179,58,62,56,63,0,179,56
60,3693,1062,1262,1031,1322,6,3171,1146,918,1285,1497,0,3772,961
61,837,0,540,1049,621,0,948,167,241,1249,799,0,582,1168
62,495,0,116,0,0,1,551,257,289,165,273,1,421,252
63,2906,3284,1541,3167,0,8126,7156,872,2903,0,1827,7887,1167,3520
64,191,181,206,290,180,0,518,0,469,0,182,6,267,141
65,0,57,48,55,67,0,191,0,0,68,64,0,0,56
66,1245,1091,885,940,0,1,4212,0,0,1030,1355,6,2694,1056
67,54,0,0,742,589,0,1385,735,501,1491,378,0,1223,0
68,538,405,181,211,247,0,430,267,182,111,256,0,469,305
69,2157,2459,2356,2530,1781,7782,0,2254,2400,2710,4017,9677,5092,2755
70,304,354,334,0,164,0,314,0,103,436,0,0,557,220
71,174,0,41,67,51,0,170,0,57,76,65,0,183,39
72,3671,1162,927,773,1399,2,2767,1061,1356,911,0,3,2393,0
73,0,977,684,662,847,0,805,0,492,999,274,0,1075,0
74,459,213,247,0,246,3,470,210,0,150,180,0,474,19
75,2623,2754,2798,2783,2283,7765,3384,2365,2298,2913,2735,0,3022,3105
76,165,225,277,188,362,2,501,208,265,173,265,6,249,343
77,217,56,0,73,52,0,182,62,38,0,61,0,0,55
78,0,1161,1171,961,0,0,1577,1035,1141,782,1102,4,4046,1052
79,1360,860,299,1369,218,0,2038,283,420,544,775,0,847,0
80,511,100,241,0,241,0,394,0,191,142,278,3,597,0
81,5177,2213,2310,3030,2901,6381,5905,2026,0,2824,3182,7942,5198,3204
82,335,330,195,207,236,0,565,218,404,50,131,0,367,0
83,0,63,63,0,48,0,154,55,48,63,51,0,222,40
84,2531,0,857,1051,1472,4,2107,1144,1184,945,1465,2,3832,1163
85,1439,649,431,0,361,0,0,0,0,585,446,0,929,683
86,0,31,188,114,274,0,451,92,125,151,278,0,522,195
87,0,3468,3508,2823,4465,7952,6156,1564,2926,2222,0,12466,3762,1428
88,400,191,154,445,0,6,413,115,286,41,269,1,511,132
89,214,61,68,45,59,0,144,59,55,0,55,0,150,74
