N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,479,79000,55000]",14,0.01,"[True,True,False,False]","[1,0,1,1],[0,1,0,0],[1,0,1,0],[1,0,0,2][0,0,1,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][1,0,2,0][1,0,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,2,1,0][1,0,2,0][0,0,1,0][0,2,0,1][0,1,0,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][2,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][0,3,0,1][2,0,0,0][0,0,0,1][1,0,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,1,0][1,0,0,0][1,1,1,0][0,0,1,0][0,1,0,0][1,1,1,2][0,0,1,0][0,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][1,0,0,3][0,0,1,0][0,0,0,1][1,1,0,1][0,0,1,0][0,1,0,0][2,0,1,1][0,0,1,0][0,0,1,0][0,1,1,0][0,0,0,1][0,0,0,1][3,1,1,1][0,0,1,0][1,0,0,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,1,0,0][1,0,0,1][1,0,1,1][0,0,0,1][0,3,0,1][0,0,1,0][1,0,0,0][0,1,1,1][1,0,1,1][0,0,0,1][0,2,0,2][0,1,0,0][0,1,0,0][2,0,0,1][1,0,0,0][0,0,1,0][2,1,0,0][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][1,0,0,1][1,1,2,1][1,0,0,0][0,0,0,1][1,0,1,0][0,0,1,0][1,1,0,0][0,1,1,0][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,1,0,0][0,0,2,0][1,0,1,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,0,1][0,1,1,1][1,1,0,0][1,0,0,0][0,0,1,0][0,0,0,1][0,1,0,0][1,1,2,2][1,0,0,1][0,0,0,1][0,1,2,0][0,0,1,0][0,0,0,1][2,2,1,0][1,0,0,1][0,0,1,0][0,1,1,0][0,1,0,0][0,1,0,0][1,0,1,1][1,0,0,1][0,0,1,0][0,0,0,2][2,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,1,0][0,0,0,1][2,0,1,0][0,0,1,0][1,1,2,1][1,0,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][1,1,1,1][0,0,1,0][1,0,0,0][0,1,1,0][0,1,0,0][0,1,0,0][2,3,1,0][1,0,0,1][1,0,0,0][1,1,2,0][0,0,1,0][0,1,0,0][2,2,0,0][0,0,1,0][0,1,0,0][2,0,1,0][0,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,1,0,0][5,2,1,0][0,1,0,0][0,1,0,0][2,2,0,0][0,1,0,0][0,1,0,0][1,2,0,0][1,1,0,0][0,0,1,0][2,0,1,2][0,0,1,0][0,0,0,1][2,0,2,1][1,1,0,1][0,1,0,0][2,3,0,0][0,0,1,0][1,0,0,0][1,1,0,0][1,0,0,2][0,0,0,1][2,1,1,1][1,0,1,0][0,0,1,0][1,2,1,0][0,0,0,1][0,1,0,0][4,1,1,1][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][1,1,0,0][1,1,0,1][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][1,0,0,1][1,1,0,1][0,0,1,0][0,0,0,1][1,2,2,0][0,1,0,0][0,1,0,0][0,1,2,0][1,0,0,1][0,0,1,0][0,1,2,1][1,0,1,0][0,0,0,1][1,2,0,2][0,0,1,0][1,0,0,0][1,0,1,2][0,0,1,0][0,0,0,1][2,0,1,1][0,0,1,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,1,0][0,2,1,1][1,0,0,1][1,0,0,0][0,1,1,2][0,1,1,0][0,1,0,0][4,2,0,2][0,1,0,0][0,0,0,1][1,1,0,1][0,1,0,0][0,1,0,0][1,0,1,2][0,0,0,1][0,0,0,1][1,0,1,0][0,1,0,0][0,1,0,0][1,1,2,0][1,0,1,0][0,0,0,1][1,1,0,0][0,1,0,1][0,0,0,1][0,0,2,1][0,1,0,0][1,0,0,0][1,0,1,1][0,0,1,0][2,1,0,0][1,2,1,0][1,1,0,0][1,0,0,0][0,0,2,0][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,2][1,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][2,0,0,0][0,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][4,1,1,1][0,1,0,0][0,0,1,0][1,0,1,2][1,0,1,0][0,0,0,1][2,1,1,2][0,0,0,1][0,1,0,0][1,2,1,0][0,1,0,0][0,0,0,1][1,0,1,1][1,1,0,0][0,1,0,0][0,1,0,0][0,1,0,0][1,0,1,0][1,2,2,1][1,1,0,0][1,0,0,0][0,1,0,1][1,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,2,0][2,2,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][1,2,0,1][1,0,0,1][0,1,0,0][0,1,1,1][1,0,1,0][0,0,0,1][1,0,1,1][0,0,1,0][3,0,0,0][2,1,0,1][0,0,1,0][0,0,1,0][2,1,1,1][1,2,0,0][1,0,0,0][2,1,1,1][0,0,0,1][0,0,0,1][0,1,0,0][0,0,1,0][0,1,0,0][1,0,3,1][0,1,0,0][1,0,0,0][1,0,0,1][0,1,1,0][0,0,0,1][0,1,0,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,1,0][0,0,1,0][1,1,1,1][2,0,0,0][0,1,0,0][1,1,1,1][0,1,0,0][0,0,1,0][0,2,1,1][1,1,0,0][1,0,0,0][0,0,1,1][1,0,0,1][0,0,1,0][1,1,2,0][2,0,0,1][0,1,0,0][3,0,1,1][0,0,0,1][0,1,0,0][2,1,1,0][0,0,0,1][0,1,0,0][0,2,0,0][0,0,1,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][1,0,1,1][0,1,0,0][0,1,0,0][1,3,0,0][0,0,1,0][0,1,0,0][0,1,0,1][0,0,0,1][2,1,0,0][0,1,1,0][0,0,1,0][0,1,0,0][0,1,0,1][1,1,0,0][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][0,2,0,1][0,1,0,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][5,0,1,1][0,1,0,1][0,0,0,1][1,2,1,1][0,0,1,0][1,0,0,0][1,3,1,0][1,1,0,0][0,0,0,1][1,0,1,2][0,0,0,1][1,0,0,0][0,0,1,1][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,0][1,0,0,0][1,1,0,1][0,1,0,0][0,0,1,0][0,0,2,0][0,1,0,0][0,1,0,0][0,1,2,0][0,1,0,0][1,1,0,0][0,1,0,1][0,1,0,0][1,0,0,0][3,0,0,1][0,0,0,1][0,0,0,1][0,1,0,3][1,0,0,0][0,0,0,1][1,2,0,1][0,0,0,1][0,0,1,0][0,0,1,2][0,0,1,0][0,0,0,1][0,0,0,1][0,1,1,0][1,1,0,0][2,0,0,2][1,0,0,0][1,0,0,0][0,1,2,0][0,0,0,1][0,1,0,0][0,0,1,2][1,1,0,0][0,0,1,0][2,2,1,0][0,0,1,0][0,0,1,0][5,1,0,2][1,0,1,0][1,0,0,0][1,1,0,2][2,1,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][1,0,0,2][0,0,0,1][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][0,0,2,1][0,0,1,0][0,0,0,1][1,0,1,0][0,1,0,0][1,1,0,0][0,2,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][2,0,1,1][0,0,1,0][1,0,0,0][0,0,1,0][0,0,1,0][0,0,0,1][1,2,2,0][0,0,1,0][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][4,1,3,0][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,0,0,1][5,2,2,0][0,1,0,0][0,1,0,0][3,0,0,2][0,0,0,1][0,0,1,0][2,1,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][0,1,0,0][0,2,2,0][0,1,0,0][0,1,0,0][1,0,2,0][1,0,2,0][0,1,0,0][1,1,1,0][1,0,0,0][1,0,0,0][0,0,1,0][0,1,0,0][2,0,1,0][0,2,1,1][0,1,0,0][0,0,0,1][0,1,1,1][1,1,0,0][0,1,0,0][0,1,2,1][1,1,0,0][1,1,0,0][1,2,1,0][0,0,0,1][0,1,0,0][0,1,1,1][0,0,0,1][0,0,0,1][1,1,1,0][0,1,0,0][0,0,1,0][2,2,1,0][1,0,1,0][0,1,0,0][1,0,0,2][0,1,1,0][0,0,0,1][1,1,3,0][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][0,0,0,1][1,0,0,1][1,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,1][0,0,0,1][0,0,0,1][3,1,1,0][1,0,2,0][0,1,0,0][0,3,0,0][0,1,0,0][0,1,0,0][0,0,0,1][1,0,1,0][0,0,1,0][0,1,1,0][2,0,0,0][0,0,1,0][0,2,1,0][0,0,0,1][0,0,0,1][1,1,0,1][0,1,0,0][0,0,0,1][0,0,2,1][0,1,0,0][0,0,0,1][0,1,0,1][0,1,0,0][1,0,0,0][2,0,0,1][2,1,0,0][2,1,0,0][1,0,0,1][0,0,0,1][1,0,1,0][1,2,1,0][0,0,0,1][0,0,0,1][2,1,1,0][1,0,0,1][1,0,0,0][1,0,1,1][0,1,1,0][0,1,0,0][0,1,1,0][0,1,0,0][1,0,0,0][1,2,0,1][0,1,0,0][0,1,0,0][2,0,0,2][0,0,1,0][1,1,0,0][0,1,0,1][0,0,0,1][1,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,1,1,0][0,1,1,0][0,0,0,1][0,1,1,0][0,0,1,0][1,0,0,0][1,2,0,0][0,0,0,1][0,0,1,0][0,0,1,1][1,0,1,0][0,0,0,1][0,2,0,0][0,1,0,0][0,0,1,0][2,1,1,0][1,0,0,1][0,1,0,0][0,0,0,1][0,0,1,0][1,1,0,0][1,1,1,1][0,0,0,1][1,0,0,0][1,1,1,1][0,1,1,0][0,0,1,0][0,1,0,0][1,1,0,0][1,0,0,0][0,1,1,0][3,2,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][1,0,2,0][0,1,0,0][0,0,0,1][2,0,0,1][0,0,0,1][1,0,0,1][1,0,2,1][1,1,0,0][0,0,1,0][3,2,0,0][2,0,0,1][0,1,0,0][0,0,1,1][2,0,0,0][0,1,0,0][2,0,0,2][0,0,1,0][0,0,0,1][1,1,0,1][0,0,0,1][0,0,0,1][0,1,1,0][1,0,0,1][0,1,0,0][0,2,0,1][0,0,0,1][0,1,0,0][1,0,1,2][1,0,0,2][1,1,0,0][1,0,1,1][0,0,0,1][0,1,0,0][2,0,0,2][0,0,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,2,1,0][1,0,0,1][0,0,1,0][2,2,0,0][1,0,0,0][0,0,0,1][0,1,0,0][1,0,1,0][0,1,0,0][1,0,1,1][0,0,0,1][0,0,1,0][1,0,0,2][1,0,1,0][0,1,0,0][0,2,1,0][0,0,1,0][0,0,1,0][0,1,2,0][0,0,0,1][0,0,1,0][2,1,2,1][0,0,1,0][0,1,0,0][2,0,0,2][5,0,1,0][0,0,1,0][0,2,0,1][0,1,0,0][0,0,0,1][1,0,1,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][1,2,0,1][0,1,0,0][1,0,1,0][1,0,2,0][0,0,0,1][0,0,0,1][4,1,2,0][0,0,0,1][0,1,0,0][3,0,2,0][0,1,0,0][0,0,0,1][0,1,1,0][1,1,0,0][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][0,2,1,0][0,0,0,1][0,1,0,0][1,0,1,1][0,0,0,1][0,0,1,0][1,0,2,0][0,1,0,0][0,0,0,1][0,0,0,2][2,0,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][1,0,0,3][0,0,1,0][0,0,1,0][0,0,2,0][0,1,0,0][0,0,1,0][0,3,1,0][0,1,0,0][0,1,0,0][0,2,0,1][1,0,0,1][0,0,0,1][0,1,3,0][1,0,1,0][0,0,0,1][0,1,0,0][1,0,1,0][0,0,0,1][1,0,2,1][0,0,1,0][0,0,1,0][1,1,0,1][0,0,1,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,1,0][0,1,0,1][1,1,0,1][0,0,1,0][0,2,0,0][0,1,0,0][0,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][1,1,2,0][1,1,0,0][0,0,1,0][4,0,2,0][0,0,1,0][0,1,0,0][0,2,0,1][1,0,0,1][0,0,0,1][1,2,0,0][0,0,0,1][0,1,0,0][2,1,1,2][0,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][0,1,0,0][2,0,2,1][0,1,0,0][0,0,1,0][1,1,0,1][0,1,1,0][0,0,0,1][0,1,2,0][0,0,0,1][0,1,0,0][0,1,0,2][1,0,0,1][0,1,0,0][3,2,0,1][0,1,0,0][0,0,0,1][0,0,2,1][0,1,1,0][0,1,0,0][0,0,0,2][1,0,0,0][0,0,1,0][0,0,1,0][1,0,0,2][0,1,0,0][1,2,0,1][0,0,1,0][0,0,0,1][0,1,0,2][1,0,0,1][2,0,0,1][1,0,0,2][0,0,1,0][0,0,1,0][0,2,2,0][0,0,1,0][0,0,0,1][1,1,0,2][0,0,0,1][0,0,0,1][0,1,0,1][0,0,0,1][2,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][1,1,1,1][0,0,0,1][0,0,1,0][0,2,1,0][0,1,0,0][0,0,1,0][0,1,1,0][1,1,0,0][1,0,0,0][1,0,2,0][0,0,0,1][0,0,1,0][0,1,1,1][1,0,0,1][1,1,0,0][0,0,2,0][1,1,0,0][0,0,1,0][0,0,1,0][2,0,0,0][0,0,1,0][1,1,1,0][1,0,1,0][0,0,0,1][0,0,1,2][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][3,1,0,1][0,1,0,0][0,1,0,0][0,0,0,3][1,1,0,0][1,0,0,0][0,0,2,0][0,0,0,1][0,0,0,1][0,0,0,2][1,1,0,0][1,0,0,0][1,1,0,1][2,1,0,0][1,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][0,0,0,1][1,0,2,1][0,0,1,0][0,0,0,1][0,0,2,1][0,0,1,0][1,1,0,0][0,1,1,1][0,0,1,0][0,1,0,0][1,0,1,1][2,1,0,0][0,1,0,0][2,1,1,1][0,0,0,1][0,0,0,1][1,2,1,0][1,1,0,0][0,0,1,0][0,0,1,1][1,0,1,0][1,0,0,0][3,1,1,0][1,0,1,0][0,0,0,1][2,1,0,2][0,1,0,0][0,0,1,0][1,0,2,0][0,0,1,1][0,1,0,0][0,1,0,2][2,0,0,0][1,0,0,0][2,1,2,0][0,0,0,1][0,1,0,0][0,2,2,0][0,1,0,0][1,0,0,0][0,0,2,1][0,0,0,1][0,0,0,1][2,2,0,3][0,0,0,1][0,1,0,0][0,1,1,1][0,0,1,0][1,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,0,1,0][0,2,0,0][0,1,0,0][0,0,1,0][2,1,1,0][0,2,0,0][0,1,0,0][4,1,0,2][0,1,0,0][1,0,0,0][0,1,0,2][0,1,0,0][1,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,2,0,1][0,0,0,1][0,1,0,0][4,2,0,0][10031,0,78542,54534]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2704,0,961,1117,1378,5,0,0,0,867,1200,3,0,1192
1,1195,0,0,995,71,0,217,466,644,0,776,0,1190,0
2,516,117,152,157,222,0,508,0,161,145,163,2,557,290
3,4024,2699,2233,2334,3351,7035,3570,1721,4314,2476,2524,13354,5233,0
4,711,311,0,0,143,0,352,264,201,0,266,0,0,68
5,148,57,51,61,46,0,287,55,48,57,63,0,130,57
6,3296,1176,1168,1185,1411,0,1728,1028,1230,1353,1295,4,4235,1101
7,389,616,646,0,115,0,1452,182,689,707,0,0,738,473
8,481,213,310,148,238,1,536,324,195,168,376,2,537,310
9,3105,2633,3506,0,1169,12687,2675,2702,2794,3080,0,15480,4501,2261
10,609,277,79,277,32,0,344,209,253,345,232,0,257,0
