N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,495,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,0],[0,0,1,0],[0,0,0,1],[2,1,1,0][1,0,0,0][1,0,0,0][1,2,0,0][1,1,0,0][0,0,0,1][0,1,2,0][0,0,1,0][0,1,0,0][3,1,1,0][1,0,1,0][1,0,1,0][0,0,0,3][1,0,0,1][0,0,1,0][3,0,0,2][1,0,0,0][1,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][1,1,1,1][0,1,0,0][1,0,1,0][0,0,3,0][0,0,1,0][0,0,1,0][2,0,0,2][1,0,1,0][0,1,0,0][1,1,2,0][0,0,0,1][0,0,0,1][0,1,2,0][1,0,0,1][0,0,1,0][2,1,0,1][0,0,1,0][0,0,1,0][0,0,1,0][1,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][0,2,1,0][0,0,0,1][0,0,1,0][0,1,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,1,0,0][0,1,0,2][0,0,1,0][0,1,0,0][0,0,1,1][1,1,0,0][0,1,0,0][0,0,1,2][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][1,0,2,1][0,0,0,1][0,1,0,0][0,1,1,1][1,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][0,1,0,0][3,2,0,0][0,1,0,0][1,0,1,0][2,2,1,1][0,0,1,0][0,0,0,1][1,1,0,2][0,1,0,0][0,0,1,0][1,1,1,1][0,0,0,1][0,0,1,0][0,1,2,0][0,0,1,0][2,1,0,0][0,0,1,0][0,0,1,0][1,0,0,0][0,0,0,2][1,0,0,1][2,0,0,0][2,1,2,1][0,0,1,0][0,1,0,0][0,0,1,1][1,0,1,0][0,0,0,1][2,1,1,0][1,0,0,1][0,1,0,0][0,0,1,2][1,0,0,1][1,0,1,0][0,2,2,0][0,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][1,2,0,0][2,1,0,0][1,1,0,0][2,0,1,1][0,1,0,0][0,0,0,1][0,0,1,1][0,0,0,1][1,1,0,0][1,0,2,0][1,0,0,0][1,0,0,0][1,1,2,0][0,0,1,0][2,0,0,1][0,2,2,0][1,1,0,0][1,0,0,0][0,1,0,2][0,0,1,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,1,0][1,1,0,1][0,1,1,0][0,0,0,1][1,2,0,1][0,0,1,0][1,0,0,0][0,3,0,1][0,0,1,0][0,1,0,0][2,1,1,1][0,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][1,0,0,1][1,1,1,0][0,0,0,1][1,0,0,0][0,2,1,0][1,0,0,1][1,1,0,0][0,1,2,0][0,0,1,0][1,1,0,0][1,2,1,0][1,0,0,1][1,0,0,1][0,0,1,3][0,0,1,0][0,0,0,1][1,1,1,1][0,0,1,0][0,0,1,0][2,2,1,0][2,0,0,0][0,0,1,0][1,0,1,0][0,0,1,0][1,0,0,1][2,1,1,1][0,0,1,0][1,0,0,0][1,2,0,1][1,1,0,0][1,0,1,0][0,2,0,0][0,1,0,0][1,0,0,0][0,0,1,0][0,0,1,1][0,1,0,0][2,3,0,1][0,0,0,1][0,0,1,0][3,1,0,2][0,2,0,0][0,0,0,1][0,2,2,0][0,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][2,0,1,0][1,1,0,2][0,0,1,0][1,0,0,0][0,0,1,1][1,0,0,1][0,0,0,1][2,0,1,2][0,0,0,1][1,0,1,0][0,1,0,1][0,0,0,1][2,0,0,1][1,0,1,1][1,0,0,1][1,0,0,0][0,2,1,0][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][1,0,0,0][1,2,1,0][0,0,0,1][0,0,0,1][2,0,1,2][0,0,1,0][1,0,0,0][4,1,1,0][0,0,1,0][0,1,0,0][1,3,0,1][0,0,0,1][1,0,0,0][1,0,1,2][0,0,1,0][0,0,0,1][0,1,1,1][1,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,0,1,0][1,0,1,2][0,1,0,0][0,1,0,0][2,1,0,1][1,0,0,1][0,1,0,0][1,0,2,1][2,0,0,0][0,0,1,0][0,1,0,1][0,1,0,0][2,0,0,1][2,2,1,0][1,0,0,0][1,1,0,0][0,1,0,1][0,0,0,1][1,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,1,1][1,0,1,0][0,1,0,0][0,2,0,1][0,1,0,0][0,1,0,0][0,3,0,1][0,0,0,1][1,0,0,0][0,1,0,1][0,0,1,0][1,0,1,0][1,0,2,1][0,0,0,1][0,1,0,0][0,1,0,2][0,0,0,1][0,0,0,1][0,1,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,1,1][1,0,0,0][0,0,1,0][0,0,0,2][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][2,1,2,0][0,0,0,2][3,0,0,0][2,3,0,1][0,0,0,1][1,0,0,0][0,0,2,0][0,0,0,1][0,0,1,0][0,0,2,0][1,1,0,0][0,1,0,0][1,0,1,1][0,1,0,1][0,0,0,1][2,0,1,1][0,1,0,0][1,0,0,0][0,1,1,1][0,0,1,1][1,0,1,0][2,2,1,0][0,0,0,1][0,0,1,0][1,3,0,0][1,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][0,2,1,0][1,1,0,1][0,0,0,1][2,2,0,0][1,0,0,0][0,0,0,1][0,2,0,0][0,1,0,0][0,1,0,0][3,0,0,3][0,1,0,0][1,0,0,0][2,2,1,0][0,1,0,1][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][0,0,2,1][0,0,1,0][1,0,0,0][0,1,1,1][0,1,0,1][0,1,0,0][0,2,0,0][0,0,1,0][1,0,0,0][0,1,1,0][1,1,0,1][0,0,0,1][2,0,0,2][0,1,0,0][1,0,0,0][1,1,1,1][0,1,1,0][0,0,0,1][0,0,0,2][1,1,0,0][0,0,1,0][2,0,2,0][0,1,0,0][0,1,0,0][0,1,2,0][0,1,0,0][0,0,1,0][0,2,0,0][1,1,1,0][1,0,0,0][1,2,0,0][0,0,1,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,1,0][2,4,2,0][0,0,1,0][0,0,0,1][0,1,0,0][1,0,0,1][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,0][0,0,2,1][0,0,0,1][0,0,0,1][1,0,1,0][0,0,0,1][1,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,1,1][2,0,0,0][0,0,1,0][0,1,0,2][0,1,0,1][0,0,1,0][0,1,0,1][2,0,0,0][0,0,0,1][1,0,1,2][0,1,0,0][0,0,1,0][0,1,0,2][0,1,0,0][0,1,0,0][1,0,0,2][0,0,1,0][2,0,1,0][3,2,0,1][0,1,0,0][0,1,0,0][2,1,0,1][0,1,0,0][0,0,1,0][0,1,1,0][1,1,0,0][0,0,0,1][4,0,0,1][1,1,0,0][0,1,0,0][2,1,2,1][0,0,0,1][0,1,0,0][0,1,1,1][1,0,0,0][3,0,0,0][0,1,0,2][0,1,0,0][0,0,1,0][0,1,1,0][0,1,0,0][0,0,1,0][2,1,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,2,0,0][1,0,1,0][0,0,1,1][1,0,1,0][0,1,0,0][1,1,1,0][0,0,1,0][0,1,0,0][2,0,3,1][0,1,0,0][0,0,1,0][1,1,2,0][1,1,0,0][0,0,1,0][0,0,2,1][2,0,0,0][0,0,0,1][0,0,0,2][0,1,0,0][0,0,1,0][0,1,3,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][2,1,0,2][1,0,0,0][1,0,0,0][0,1,1,0][2,1,0,1][0,0,0,1][0,1,0,1][0,0,0,1][0,1,0,0][0,0,0,2][1,0,1,0][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][0,1,0,0][2,3,0,1][1,0,1,0][1,0,0,0][0,0,0,2][1,1,0,1][0,0,1,0][0,0,1,1][1,0,1,0][0,0,0,1][2,0,1,1][1,1,0,0][0,0,1,0][1,0,0,1][0,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][1,0,0,1][2,2,0,1][0,0,0,1][0,0,1,0][1,1,0,2][1,0,2,0][0,1,0,0][0,1,0,2][0,1,0,0][0,0,1,0][0,1,0,1][1,0,0,1][1,1,0,0][2,0,2,1][0,0,1,0][1,0,0,0][1,1,1,1][0,0,0,1][0,0,1,0][1,1,0,2][1,0,1,0][0,0,1,0][0,0,0,2][0,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][0,0,0,1][0,0,1,2][0,1,0,0][0,0,0,1][1,0,1,1][0,0,1,0][0,0,0,1][0,0,0,2][0,0,2,0][0,0,1,0][1,2,0,0][1,0,0,0][0,0,0,1][0,1,2,0][1,0,0,1][1,0,1,0][1,1,1,1][0,0,1,0][0,0,0,1][2,1,1,0][0,0,0,1][0,0,0,1][2,1,0,1][0,1,0,0][0,1,0,0][3,3,0,0][1,0,1,0][0,0,0,1][0,0,1,2][0,0,0,1][0,1,0,0][1,0,2,0][0,1,0,0][0,1,0,0][1,1,4,0][0,1,0,0][0,0,1,0][0,2,1,0][0,1,0,0][0,0,0,1][2,2,0,0][1,0,1,0][0,0,0,1][1,1,0,1][0,1,1,0][0,1,0,0][0,2,3,0][0,0,0,1][0,0,0,1][1,1,0,1][2,0,0,1][1,1,0,0][0,2,0,0][0,0,0,1][0,0,1,0][1,2,0,0][0,0,0,1][1,0,1,0][1,1,1,1][0,1,0,0][0,1,0,0][3,0,0,2][0,0,1,0][0,1,0,0][2,1,0,2][0,0,1,0][0,1,0,0][0,0,2,0][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][1,0,0,0][0,0,1,0][0,0,0,1][0,0,0,1][2,0,1,2][0,0,0,1][1,0,0,0][1,1,0,1][1,0,0,1][1,0,0,1][3,0,1,0][1,0,1,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,0,1][2,0,1,1][0,0,1,0][1,0,0,0][1,2,0,0][0,0,1,0][1,0,0,1][1,0,3,0][0,0,0,1][0,0,1,0][0,0,0,3][0,0,0,1][0,0,1,0][4,1,1,1][1,0,0,0][1,0,0,0][0,1,1,0][0,0,1,0][1,0,1,0][1,2,1,0][0,0,0,1][0,0,1,0][2,2,0,1][0,1,0,0][0,0,1,0][1,2,1,0][0,0,0,1][0,0,0,1][0,0,2,0][0,1,0,0][1,0,1,0][0,0,2,1][0,1,0,0][1,0,0,0][2,0,1,0][0,1,0,1][0,0,0,1][5,3,0,0][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][1,1,0,2][0,0,1,0][0,0,1,0][0,0,1,1][0,0,0,1][1,0,0,1][0,2,1,0][0,1,0,0][0,0,0,1][1,1,1,1][0,1,0,0][0,0,1,0][2,3,0,0][0,0,1,0][0,1,0,0][1,0,0,1][1,1,0,0][0,0,1,0][1,0,0,2][0,0,1,0][1,0,0,0][1,1,1,1][0,0,1,0][1,1,0,0][3,3,0,1][0,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][0,0,0,1][1,2,2,1][0,0,1,0][0,0,0,1][1,1,0,1][0,2,0,0][1,0,0,1][1,0,2,2][0,0,0,1][0,0,0,1][0,1,1,0][3,1,0,1][0,0,0,1][3,0,1,1][1,1,0,0][0,0,0,1][0,0,0,1][1,0,0,1][0,0,1,0][2,0,2,0][2,0,0,0][0,0,1,0][2,0,2,0][0,0,1,0][0,0,0,1][3,0,1,2][0,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][1,1,0,0][1,1,1,1][0,0,0,1][0,0,1,0][1,0,0,2][2,1,0,1][0,0,1,0][1,1,1,2][1,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][1,1,2,0][0,0,0,1][0,1,0,0][1,0,2,0][0,0,1,0][0,0,1,0][1,1,0,2][0,2,0,0][0,1,0,0][0,3,1,0][0,1,0,0][0,0,0,1][0,0,1,2][1,1,0,0][0,0,1,0][2,2,1,0][0,0,1,0][0,0,1,0][2,2,1,0][0,0,0,1][0,0,0,1][0,2,0,0][0,0,0,1][0,0,1,0][1,3,0,0][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,0][0,1,0,0][2,0,0,2][2,0,0,0][0,0,0,1][0,1,0,0][0,0,1,0][2,0,1,0][2,0,0,4][0,0,1,0][0,0,1,0][3,2,1,0][0,1,0,0][1,1,0,0][1,2,2,0][0,0,0,1][0,1,0,0][0,0,2,0][0,0,0,1][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][0,0,1,2][0,0,1,0][1,0,0,1][2,2,0,0][0,1,0,0][1,0,0,0][0,0,0,3][1,0,1,0][2,0,1,0][1,0,1,1][2,0,0,0][0,1,0,0][0,0,0,1][0,0,1,0][0,0,0,1][1,1,1,0][0,1,0,0][1,0,0,0][4,2,1,0][1,0,1,0][0,0,1,0][0,1,1,0][0,1,0,0][0,0,0,1][1,1,0,1][0,0,1,1][1,0,1,0][1,0,1,1][0,0,0,1][0,1,0,0][0,0,1,0][4,0,2,0][1,0,0,1][2,1,1,0][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,1][0,0,0,1][1,1,1,1][0,0,1,0][1,0,1,0][0,0,1,1][0,0,0,1][1,0,1,0][0,0,0,1][2,0,0,0][0,0,0,1][3,1,0,1][2,0,1,0][2,0,0,0][0,1,1,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,0,2][1,0,1,0][1,0,0,1][1,0,0,1][0,0,0,1][0,1,0,1][0,2,0,0][1,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][1,0,2,0][0,1,0,0][0,0,0,1][0,3,2,0][0,0,1,0][0,1,0,0][2,1,0,2][1,0,0,2][0,0,0,1][1,1,2,2][0,0,0,1][0,0,1,0][1,0,1,1][0,0,0,1][0,0,0,1][1,0,0,3][1,0,1,0][0,0,1,0][3,0,1,1][0,0,1,0][1,0,1,0][1,1,0,1][1,0,1,0][0,0,1,0][0,1,1,1][0,1,1,0][0,0,0,1][0,0,1,2][0,0,1,0][1,0,0,0][0,0,2,0][1,0,0,1][0,0,1,0][1,0,1,3][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][2,1,0,0][1,2,0,2][0,0,1,0][1,0,0,0][2,0,0,1][0,0,0,1][1,0,1,0][1,1,3,0][0,0,0,1][0,1,0,0][0,2,1,0][0,0,0,1][1,0,1,0][1,3,0,1][0,0,0,1][0,1,0,0][1,0,2,0][1,0,0,1][0,0,0,1][0,1,1,0][0,0,0,1][0,0,1,0][2,2,0,0][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][1,0,0,0][0,0,2,0][2,1,0,0][0,0,1,0][3,0,2,0][0,0,1,0][0,0,0,1][2,0,0,1][0,1,1,0][0,0,1,0][1,0,1,2][0,1,0,0][0,0,1,0][2,0,1,1][0,0,0,1][1,1,0,0][2,2,0,0][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,0,1][1,1,0,1][0,0,1,0][0,1,0,0][1,0,3,0][0,0,0,1][1,0,0,0][0,0,0,2][0,0,0,1][1,0,0,0][0,1,0,1][3,0,0,1][0,1,0,0][0,2,1,1][3,0,0,0][1,0,0,0][2,1,1,1][0,2,0,0][0,1,0,0][0,1,0,2][0,0,0,1][0,0,1,0][1,1,0,1][0,0,1,0][0,0,0,1][1,0,0,2][1,0,0,0][0,0,0,1][0,0,1,1][0,1,0,1][0,0,0,1][2,1,0,1][9994,0,78515,54499]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,0,1092,1283,0,0,1,2082,0,1007,0,1245,0,0,1079
1,0,0,604,0,550,0,0,790,348,1280,219,0,0,475
2,561,261,212,178,130,0,494,229,0,0,250,0,443,141
3,0,2624,3536,2583,0,0,6032,1067,2470,2512,3105,8703,263,0
4,0,39,246,171,195,0,487,274,111,82,170,4,132,0
5,193,53,61,48,75,0,208,47,63,55,61,0,135,62
6,2433,1148,759,956,1279,0,4031,995,1226,694,1223,0,3413,875
