N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,487,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,0],[0,0,1,0],[0,0,0,1],[0,0,1,1][1,0,0,0][0,0,1,0][0,1,0,1][1,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,1,1,2][1,0,0,1][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][0,1,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,2][0,0,0,1][2,1,0,0][0,1,0,0][1,0,0,0][0,0,2,0][0,0,0,1][0,1,0,0][0,0,3,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,1,0][0,0,0,1][1,4,0,1][2,0,0,0][1,0,0,0][0,0,1,2][1,1,0,1][0,1,0,0][3,0,0,1][0,0,0,1][0,1,0,0][2,2,0,1][0,0,1,0][0,1,0,0][1,1,1,3][0,0,0,1][0,0,1,0][2,0,0,2][2,0,1,0][0,1,0,0][1,0,2,0][1,0,0,0][1,0,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,0,2][0,0,0,1][1,0,0,1][0,0,0,2][1,0,1,0][0,0,0,1][0,2,1,1][0,1,0,0][0,1,0,0][3,0,2,0][1,0,1,0][2,0,0,1][2,1,0,0][1,0,1,0][0,1,0,0][0,1,1,0][0,1,0,0][0,0,0,1][2,1,1,1][0,0,0,1][0,0,1,0][1,1,1,1][1,1,1,0][0,0,1,0][3,2,0,1][0,0,1,0][0,0,0,1][1,0,1,1][0,0,1,0][0,0,0,1][1,0,0,2][0,0,1,0][0,0,1,0][1,0,1,1][0,0,1,0][0,0,0,1][1,3,2,0][0,0,0,1][0,0,1,0][0,1,3,0][0,0,0,2][1,0,0,1][3,1,1,1][0,0,0,1][1,0,0,1][1,1,1,1][0,0,0,1][0,1,0,0][0,3,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,0,1][0,1,1,1][0,0,0,1][1,0,0,0][1,2,0,0][4,0,1,0][0,0,1,0][1,1,1,1][1,0,1,0][0,0,1,0][1,0,0,1][0,0,1,0][1,1,0,0][1,1,3,1][1,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][2,0,0,0][2,4,1,0][0,0,0,1][0,1,0,0][2,1,1,0][0,1,0,0][0,0,1,0][2,0,1,1][1,0,0,0][1,0,0,0][1,1,1,1][0,1,0,0][0,1,0,0][2,1,0,1][0,0,1,0][0,0,1,0][1,0,1,1][2,1,0,0][0,1,0,0][0,2,1,0][0,1,0,0][0,1,0,0][1,1,0,1][0,0,0,1][0,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][0,0,2,0][1,0,1,0][0,0,0,1][0,1,2,0][2,0,0,0][0,1,0,0][0,2,0,0][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,1,0,2][0,1,0,0][0,0,1,0][2,0,0,1][0,1,0,1][0,1,0,0][0,0,2,0][1,0,0,0][0,0,1,0][1,2,0,0][0,0,0,1][2,0,0,0][0,1,0,2][0,1,0,0][0,0,0,1][0,2,1,0][1,0,0,1][0,0,0,1][2,0,3,0][0,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,0,1,0][2,1,1,0][0,1,0,0][0,0,1,0][0,0,1,1][2,0,0,1][0,0,0,1][0,1,1,1][0,0,1,0][1,0,0,0][2,1,1,0][2,0,1,0][1,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,2,0,0][1,0,0,1][0,0,1,0][0,0,1,2][0,0,0,1][0,0,1,0][0,1,2,0][0,1,0,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][0,1,1,1][0,1,0,0][0,1,0,0][2,0,0,2][0,0,0,1][0,1,0,0][2,3,1,0][0,0,0,1][1,1,0,0][1,0,1,1][0,1,0,0][0,1,0,0][2,1,1,1][1,0,0,0][1,1,0,0][1,0,0,4][0,0,1,0][0,0,1,0][0,0,1,1][2,0,2,0][0,0,1,0][0,2,1,1][1,0,0,0][1,0,0,0][0,1,0,1][0,0,1,0][2,0,1,0][2,0,2,2][0,0,1,0][1,0,0,0][2,1,1,0][0,0,1,0][0,1,0,0][0,0,2,1][0,1,0,0][0,0,0,1][0,2,0,1][0,0,0,1][2,0,0,0][0,0,2,2][0,1,0,0][0,0,0,1][2,1,1,0][0,0,0,1][0,0,1,0][3,0,2,0][0,0,0,1][1,0,0,0][0,0,1,1][0,0,1,0][1,0,0,0][0,1,1,1][0,0,0,1][1,0,0,0][0,1,2,0][0,0,1,0][0,1,0,0][2,1,1,0][0,0,0,1][1,0,0,0][0,0,1,1][0,0,0,1][0,0,0,1][2,1,0,1][0,0,0,1][1,0,0,0][0,2,0,1][0,0,0,1][0,1,0,0][1,1,0,1][0,0,0,1][1,0,0,0][2,1,1,1][0,0,1,0][0,0,0,1][2,2,1,1][0,0,0,1][1,0,0,0][0,0,0,1][1,1,0,0][0,1,0,0][1,0,2,1][2,1,0,0][1,0,0,0][1,1,0,2][0,0,1,0][0,0,1,0][2,0,2,0][0,1,0,0][0,0,0,1][0,1,0,2][0,0,1,1][3,0,0,0][1,0,2,1][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][2,1,0,3][0,1,0,0][0,0,0,1][1,0,0,2][1,1,0,0][1,1,0,0][1,1,2,0][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][0,0,1,0][1,0,2,0][0,1,0,0][1,0,0,0][2,0,2,0][0,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][0,1,0,0][1,1,1,0][0,0,1,0][0,0,0,1][2,1,0,1][2,1,0,0][0,0,0,1][1,1,1,1][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,0,1][2,1,1,0][1,0,0,1][0,0,0,1][0,0,1,0][0,1,0,0][1,0,0,0][0,0,1,0][1,0,1,0][0,1,0,0][1,0,0,3][0,0,0,1][1,0,0,0][0,0,0,2][1,0,0,2][0,1,0,0][0,0,0,1][0,0,1,0][0,1,0,0][1,2,1,0][0,0,1,0][0,1,0,0][1,1,0,3][1,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][1,0,1,0][1,1,1,1][0,0,1,0][0,0,1,0][2,0,2,0][0,0,1,1][0,0,1,0][3,2,3,0][1,0,1,0][0,0,1,0][0,0,0,1][0,2,0,0][1,0,0,0][1,1,1,2][1,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,1,0][2,2,0,0][0,0,0,1][0,0,0,1][1,0,2,1][2,1,0,0][0,0,0,1][0,2,1,1][1,0,0,0][0,1,0,0][1,0,2,0][3,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][1,0,0,0][2,2,1,0][0,0,1,0][1,1,0,0][1,1,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,2,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][1,2,0,1][1,0,2,0][0,0,1,0][1,2,1,1][0,1,0,0][0,1,0,0][1,0,0,2][0,1,0,0][1,1,0,0][1,1,1,1][2,0,0,0][1,0,0,0][0,0,2,0][0,0,0,1][0,0,0,1][0,0,0,2][0,0,1,0][0,0,1,0][0,1,1,0][1,1,0,0][1,0,0,1][0,0,1,1][0,1,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][1,2,0,0][2,0,0,0][0,0,0,1][1,0,1,1][0,0,1,1][0,0,1,0][0,0,1,2][1,0,0,1][0,0,0,1][4,2,0,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][2,1,1,0][0,1,0,0][0,0,0,1][3,1,0,2][1,0,0,0][0,1,0,0][1,2,1,0][1,1,0,0][0,1,0,0][0,0,3,0][0,0,0,1][0,0,0,1][0,0,2,0][0,1,0,0][0,0,0,1][0,0,2,0][0,0,0,1][0,1,0,0][2,0,1,1][0,0,1,0][0,1,0,0][0,2,1,1][1,0,0,1][0,0,1,0][3,0,1,1][1,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,0][1,0,1,0][0,0,1,0][1,0,1,0][0,1,0,0][0,0,1,0][1,1,0,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,1][0,0,0,2][0,1,0,0][2,3,1,1][0,1,0,0][0,0,1,0][3,0,0,2][0,1,0,0][0,1,0,0][0,1,0,0][2,0,0,0][0,0,1,0][1,1,1,0][1,0,2,0][0,0,0,1][1,2,2,0][0,0,0,1][0,0,0,1][4,0,0,2][3,0,1,0][1,1,0,0][2,1,1,1][0,0,0,1][0,0,1,0][1,0,1,1][0,0,1,1][0,0,0,1][0,1,0,1][0,1,0,0][0,0,1,0][0,0,2,0][3,0,0,1][1,1,0,0][1,0,3,0][0,1,0,0][0,0,0,1][1,1,0,2][0,1,0,0][3,0,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,1,0,0][2,0,1,2][0,0,1,0][0,0,0,1][1,1,2,0][0,0,0,1][0,0,1,0][1,3,1,0][0,0,1,0][0,0,1,0][0,0,2,0][1,0,2,0][1,0,0,1][1,0,1,1][0,0,1,0][1,0,0,0][1,2,1,0][0,0,2,0][0,1,0,0][1,1,2,0][0,1,0,0][0,1,0,0][0,2,0,0][0,1,0,1][0,1,0,0][1,2,2,0][0,0,0,1][0,0,0,1][1,0,0,1][1,0,0,1][0,0,0,1][0,1,2,1][0,0,1,0][1,0,0,0][1,1,0,1][0,1,0,0][1,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][3,0,1,1][0,1,0,1][0,0,0,1][0,1,1,1][0,0,0,1][0,0,1,0][1,0,0,1][0,0,1,0][1,0,1,0][1,1,2,1][0,0,0,1][0,0,1,0][4,2,0,1][0,0,1,0][0,1,0,0][1,1,1,1][1,1,0,0][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][3,1,1,1][0,0,1,0][1,0,0,0][2,1,1,0][1,1,1,0][2,0,1,0][2,1,1,2][1,0,0,1][0,0,1,0][1,1,1,1][0,0,1,0][0,0,0,1][0,0,1,1][2,0,0,1][0,0,0,1][0,0,2,1][1,1,0,0][0,1,0,0][0,1,1,0][0,0,0,1][0,1,0,0][0,2,0,0][1,1,0,0][0,0,1,0][1,1,1,0][1,1,0,0][0,0,1,0][1,0,0,2][0,0,0,1][0,1,0,0][0,1,0,2][0,0,1,0][0,0,0,1][2,2,1,0][0,0,1,0][0,1,0,0][0,3,1,0][0,1,0,0][0,0,0,1][3,1,1,1][0,0,0,1][1,0,1,0][0,2,0,0][0,0,1,0][0,0,0,1][3,1,0,2][2,0,1,0][0,0,1,0][4,0,2,0][0,1,0,0][0,0,1,0][1,0,3,0][0,1,0,1][1,1,0,0][1,0,2,0][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][1,0,1,2][0,0,1,0][0,1,0,0][0,0,0,2][0,0,1,0][0,0,1,0][0,0,1,1][1,0,1,0][0,1,0,0][2,1,1,0][0,0,1,0][0,1,0,0][1,2,0,1][1,0,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,1,0][0,1,0,0][1,1,0,0][0,1,0,0][0,0,2,1][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,1,0][1,0,0,2][0,2,0,0][3,0,0,0][1,0,3,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,1,1][0,0,0,1][0,2,1,0][0,0,1,0][0,1,0,0][1,0,1,1][0,0,0,1][0,0,0,1][1,0,1,0][1,0,1,0][0,0,1,0][1,0,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,1,0][1,1,1,0][0,1,0,1][0,1,0,0][0,0,1,2][1,0,0,0][1,0,0,0][0,0,1,1][0,1,0,0][1,0,0,1][0,0,1,2][0,0,0,1][0,1,0,0][1,0,2,0][0,0,0,1][2,0,0,0][0,0,1,0][0,0,0,1][0,1,0,0][0,1,2,0][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][1,0,0,0][0,2,0,0][0,1,0,1][0,0,0,1][0,1,0,2][3,0,1,0][1,0,0,0][1,2,1,0][0,0,1,0][0,0,0,1][1,0,2,1][0,1,0,0][0,1,0,0][0,1,2,0][1,0,0,1][1,1,0,0][0,2,0,1][0,1,0,0][0,0,1,0][0,1,2,0][0,0,0,1][0,0,0,1][0,2,0,1][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][1,1,0,0][3,1,0,2][0,1,0,0][0,0,1,0][0,0,2,0][0,0,0,1][1,0,0,1][0,1,2,0][0,0,0,1][0,1,0,0][2,0,2,1][0,0,1,0][0,0,1,0][3,2,0,1][1,0,0,1][0,1,0,0][0,1,0,0][1,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][2,0,0,0][1,0,1,1][1,0,0,1][0,1,0,0][2,1,1,0][0,1,0,0][0,0,0,1][3,2,1,1][0,0,0,1][0,0,1,0][1,0,2,1][0,0,0,1][1,0,0,1][1,0,3,0][0,1,0,0][0,0,1,0][1,2,0,0][0,0,1,0][1,0,0,1][0,2,0,1][0,0,1,0][0,0,0,1][1,1,0,0][1,0,0,1][1,1,0,0][0,2,0,0][0,0,0,1][0,0,0,1][0,1,1,0][1,0,1,0][2,0,0,1][0,1,1,2][0,0,0,1][0,0,1,0][1,0,2,1][0,0,1,0][0,0,0,1][1,1,1,1][0,0,0,1][0,1,0,0][1,3,1,0][1,1,1,0][0,0,1,0][0,0,2,1][0,0,1,0][0,0,1,0][3,1,0,1][0,0,0,1][1,0,1,0][2,0,1,2][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,1,0][1,0,0,1][0,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][0,0,0,1][1,0,1,1][0,0,0,1][0,0,0,1][0,0,2,1][0,0,1,0][2,0,1,0][1,3,1,1][0,0,1,0][0,1,0,0][2,0,1,1][1,1,0,0][0,0,1,0][4,0,1,1][0,0,1,0][0,0,0,1][0,0,2,0][0,1,0,1][0,0,0,1][0,0,0,2][2,0,0,0][1,0,0,0][0,2,0,1][0,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][1,0,0,0][2,0,0,2][2,2,0,0][0,1,0,0][0,1,1,1][0,0,0,1][1,0,0,0][0,1,1,0][0,0,2,0][0,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][2,0,0,2][1,0,1,0][0,0,0,1][2,2,1,0][0,0,1,0][0,0,1,0][3,1,1,0][0,1,1,0][1,0,1,0][1,0,2,1][1,0,0,1][0,0,0,1][0,0,2,1][0,0,0,1][0,1,0,0][2,0,0,1][0,0,1,0][1,0,0,0][0,1,1,1][0,1,0,0][0,1,0,0][5,1,0,0][1,0,0,1][1,0,0,0][0,1,1,0][0,1,0,0][0,0,0,1][0,0,1,1][1,0,0,0][0,0,1,0][2,0,0,1][1,0,2,0][0,0,1,0][3,0,2,1][0,0,0,1][1,0,0,0][2,0,2,0][2,0,0,0][0,0,0,1][1,1,1,1][0,1,0,0][0,1,0,0][2,1,0,1][0,0,1,0][2,0,0,0][0,1,2,1][1,0,1,0][1,0,0,0][0,1,1,0][0,1,0,0][0,1,0,0][2,2,1,0][0,0,0,1][0,0,1,0][2,0,0,1][0,0,0,1][1,0,0,1][5,0,1,0][0,1,0,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][0,0,2,1][1,0,0,1][1,0,0,0][5,0,2,0][1,0,0,0][0,0,0,1][3,1,2,1][1,0,0,1][0,0,1,0][1,1,2,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][3,0,2,0][0,0,0,2][0,1,0,0][0,1,0,1][0,0,1,0][0,0,0,1][1,1,0,1][0,0,0,1][0,1,0,0][3,1,2,1][1,1,0,0][0,1,0,0][2,0,0,2][0,1,0,1][0,1,0,0][2,1,2,1][9971,2,78485,54518]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,0,0,1064,1013,1627,10,4316,1124,0,966,1286,9,3863,1083
1,1676,974,804,1283,640,0,1064,607,766,903,316,0,794,173
2,412,214,281,149,108,0,514,284,190,174,105,0,0,23
3,3439,2525,3280,3475,2555,7149,4285,2027,0,2211,2942,10306,2642,1594
4,91,249,88,97,121,3,0,219,357,154,276,0,557,305
5,165,0,61,77,60,0,187,45,43,64,43,0,166,66
6,1892,1116,957,1074,1141,17,3272,0,1077,946,1024,0,2711,1007
