N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,486,79000,55000]",14,0.01,"[True,True,False,False]","[1,0,0,1],[0,0,2,0],[0,1,0,0],[0,0,1,1][0,0,1,0][0,0,0,1][1,0,0,2][0,0,0,1][2,0,0,0][0,1,2,0][3,0,0,0][1,0,0,0][1,1,0,2][0,0,1,1][0,1,0,0][2,3,1,0][1,0,0,0][1,0,0,0][3,0,1,0][0,0,0,1][0,0,0,1][0,3,0,1][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][0,1,0,0][3,2,0,0][0,1,0,0][1,0,0,0][0,0,1,0][0,0,0,1][0,0,1,0][1,0,0,2][1,0,0,0][0,0,0,1][1,0,0,1][1,0,1,0][0,0,1,0][0,2,2,1][1,1,0,0][0,1,0,0][1,2,0,1][0,1,0,0][0,1,0,0][1,0,0,2][0,0,1,0][0,0,0,1][0,1,1,1][1,0,1,0][0,0,1,0][0,1,2,0][1,0,1,0][0,1,0,0][2,0,3,0][1,1,0,0][0,0,1,0][0,1,1,0][0,0,1,0][1,0,0,0][0,0,2,0][0,0,0,1][0,1,0,0][0,2,0,0][0,0,1,0][0,0,1,0][3,1,1,0][0,1,0,0][0,0,1,0][0,0,1,0][1,0,1,0][0,0,0,1][2,2,0,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][0,0,0,3][0,0,1,0][0,0,1,0][0,1,1,0][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,0,1][0,1,1,0][1,0,0,1][0,1,0,0][2,0,1,1][0,1,1,0][0,0,0,1][1,1,0,1][1,0,0,0][0,1,0,0][2,0,1,2][0,0,1,1][0,0,1,0][0,0,1,1][0,0,0,1][0,0,0,1][0,2,0,1][0,1,0,1][2,0,0,0][0,1,1,1][0,0,0,1][0,0,0,1][1,0,1,1][0,1,0,1][0,1,0,0][0,0,3,1][1,0,0,1][0,0,0,1][1,1,0,1][0,0,0,1][0,0,1,0][2,2,0,2][0,1,0,0][0,0,0,1][0,1,0,1][0,0,1,0][0,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][1,2,1,1][0,1,0,0][1,0,0,0][1,1,0,1][0,1,0,1][0,1,0,0][0,2,1,0][0,0,1,0][0,0,1,0][2,1,0,1][1,0,0,1][0,1,0,0][0,0,0,3][1,0,0,1][0,0,0,1][0,1,2,0][1,0,1,0][0,0,1,0][1,0,3,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,0,1][0,0,1,2][0,0,1,0][0,1,0,0][1,0,0,2][0,0,1,0][1,0,0,1][1,1,0,2][0,0,0,1][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][2,0,0,2][1,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][2,0,1,3][0,0,1,0][0,0,0,1][0,0,1,0][2,1,0,0][0,1,0,0][2,1,1,1][0,0,1,0][1,0,0,0][2,1,1,0][1,0,2,0][0,1,0,0][1,1,0,2][2,0,0,0][1,0,0,0][1,1,1,0][0,1,0,0][0,0,0,1][0,1,2,0][0,1,0,0][0,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][2,1,1,2][1,0,1,0][0,0,1,0][1,2,0,1][0,1,0,0][0,0,1,0][2,2,0,0][1,0,0,0][0,0,0,1][2,1,2,0][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,1,0,0][1,0,0,1][0,1,0,1][1,0,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,0,0,1][3,1,0,1][0,1,0,0][1,0,0,0][0,2,0,0][0,0,0,1][0,0,1,0][1,1,0,1][2,0,0,0][0,0,1,0][2,0,3,0][0,0,1,0][0,1,0,0][2,1,2,1][2,0,0,1][0,0,0,1][0,1,0,1][1,1,0,0][0,1,0,0][0,1,0,2][1,0,1,0][1,0,0,0][1,0,1,0][2,0,1,0][1,0,0,0][0,1,0,2][1,0,0,0][1,0,0,0][0,1,1,0][0,1,0,1][1,0,0,0][1,0,2,1][0,1,0,0][1,0,0,0][3,1,1,1][0,1,0,1][0,0,0,1][0,0,2,0][0,1,0,0][0,1,0,0][0,3,0,0][0,0,0,1][0,0,0,1][1,1,0,1][1,0,0,1][0,0,0,1][0,2,0,1][0,0,0,1][0,1,0,0][2,2,1,0][0,1,0,0][0,0,0,1][0,1,0,0][1,1,0,0][0,1,0,0][1,1,2,0][0,0,1,0][0,1,0,0][0,1,0,1][0,0,1,0][2,0,0,1][1,0,1,2][1,0,1,0][0,0,1,0][0,2,0,0][1,0,0,1][0,0,0,1][2,2,1,0][0,0,1,0][0,0,1,0][0,0,1,2][1,0,0,1][0,1,0,0][1,0,0,2][0,0,0,1][0,0,0,1][0,1,0,0][0,1,1,0][1,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][3,1,0,2][1,0,1,0][0,1,0,0][3,2,1,0][1,0,0,1][1,0,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][0,1,0,0][0,1,0,0][1,0,1,1][3,0,1,0][0,0,1,0][3,0,2,1][0,0,0,1][1,0,0,0][0,0,2,0][1,0,0,1][0,0,0,1][0,1,1,3][0,0,0,1][0,0,1,0][2,1,0,1][0,0,0,1][0,0,0,1][1,1,1,2][0,1,0,0][1,0,0,0][4,1,0,1][0,0,0,1][0,1,0,0][2,0,3,0][0,0,0,1][0,0,0,1][2,0,0,2][0,2,0,0][0,0,0,1][1,0,1,1][0,0,0,1][0,1,0,0][1,0,0,1][1,1,0,0][0,1,0,0][3,1,0,1][0,0,0,1][1,0,0,0][0,2,1,0][0,1,0,0][0,0,0,1][1,1,1,2][0,0,1,0][0,0,0,1][1,0,2,0][3,0,1,0][0,1,0,0][1,0,0,2][0,0,0,1][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][1,0,1,1][0,1,0,0][1,0,0,0][0,0,1,1][0,0,0,1][1,0,1,0][1,2,0,0][1,0,1,0][1,0,0,0][1,0,0,2][0,0,0,1][0,0,1,0][0,0,1,1][1,0,0,1][0,0,0,1][2,1,1,1][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][2,1,0,1][0,0,1,0][1,0,1,0][1,1,1,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][1,1,0,2][0,0,0,1][0,0,1,0][1,2,0,1][0,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][1,1,1,1][1,1,1,0][0,1,0,0][0,0,0,2][0,1,0,0][0,0,0,1][0,0,2,0][0,0,1,0][0,0,1,0][1,1,2,0][0,1,0,0][0,0,1,0][1,1,0,1][1,1,0,0][1,1,0,0][1,1,1,0][2,0,0,0][1,0,0,0][3,1,0,1][0,0,0,1][2,1,0,0][0,0,3,0][0,0,0,1][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][2,1,0,3][1,0,1,0][1,0,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,2,1][0,0,1,0][0,1,0,0][1,1,0,2][0,0,2,0][0,1,0,0][2,1,2,1][0,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][1,0,1,0][3,1,1,0][0,1,0,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,1,1,0][1,0,0,0][0,1,0,0][0,1,1,0][0,1,1,0][0,0,0,1][1,1,2,0][1,0,0,0][0,1,0,0][3,1,1,0][0,0,1,0][0,1,0,0][2,1,1,0][0,0,1,0][0,0,1,0][0,1,1,1][0,2,0,0][0,0,1,0][0,1,0,1][2,0,0,1][2,0,0,0][3,3,0,0][0,0,0,1][0,1,0,0][2,0,1,0][0,1,0,0][0,0,1,0][0,1,1,0][0,0,0,1][2,1,0,0][1,0,1,2][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,0,0,1][1,2,2,0][0,1,0,0][0,0,1,0][0,0,1,2][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,0][0,1,0,0][1,1,1,1][0,0,1,0][0,1,0,0][2,2,1,1][1,1,0,0][0,1,0,0][0,1,2,0][0,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][0,1,0,1][1,0,0,1][0,0,0,1][3,0,0,2][0,1,0,0][1,0,0,1][0,2,0,0][0,0,0,1][0,0,1,0][0,2,0,1][0,0,0,1][0,1,0,0][1,1,0,0][1,0,0,1][0,0,0,1][1,2,2,0][0,1,0,0][0,0,1,0][0,0,2,0][2,0,0,1][0,0,1,0][3,0,0,1][1,0,1,0][0,0,0,1][1,2,1,0][0,0,1,0][0,0,0,1][2,1,1,1][0,0,1,0][0,0,0,1][1,0,2,1][3,0,0,1][1,0,0,1][2,0,1,1][0,1,0,0][0,1,0,0][1,1,2,0][0,0,1,0][0,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][0,2,1,0][2,0,1,0][2,0,0,1][0,2,1,0][1,0,0,0][0,0,1,0][0,1,1,1][2,0,1,0][0,0,1,0][0,0,0,3][0,0,0,1][1,0,0,0][0,0,1,1][0,0,1,0][0,0,1,0][2,1,3,0][0,0,1,0][0,0,1,0][1,0,2,0][0,0,0,1][0,0,1,0][0,0,1,1][1,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,0,0,1][1,1,1,0][1,0,0,0][1,0,0,0][3,1,0,1][0,0,1,0][0,0,0,1][1,0,1,1][0,0,0,1][1,0,0,0][0,0,1,1][0,0,1,1][3,0,0,0][1,1,0,0][1,0,0,0][0,1,0,0][1,0,1,0][0,1,0,0][0,1,0,0][1,1,1,0][0,1,0,0][0,1,0,0][1,0,1,1][0,0,0,1][0,0,1,0][0,2,1,1][0,0,0,1][0,0,1,0][1,2,0,1][0,0,1,0][0,0,1,0][3,0,2,1][0,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][0,0,1,0][1,1,3,0][1,0,0,0][0,0,0,1][0,1,1,1][0,0,1,0][2,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][0,2,0,1][0,0,1,0][0,1,0,0][3,2,1,0][0,0,0,1][0,0,1,0][0,0,1,2][0,0,0,1][1,0,0,1][0,1,0,2][0,1,0,0][1,0,0,0][0,1,1,1][0,0,1,0][1,1,0,0][3,0,0,1][2,0,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,1,0,0][1,2,1,0][0,0,0,1][0,0,0,1][1,0,0,2][0,0,0,1][0,0,1,0][0,0,0,3][2,0,0,0][0,1,0,0][2,1,2,0][0,0,2,0][0,1,0,0][3,1,2,1][0,1,0,0][0,1,0,0][1,1,1,1][0,0,1,0][1,1,0,0][1,0,1,2][0,0,0,1][0,0,0,1][1,1,1,0][0,0,0,1][2,0,0,0][0,2,0,1][1,1,0,0][0,0,0,1][3,1,1,0][2,1,1,0][0,0,0,1][2,2,0,1][0,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][1,0,1,2][0,1,0,0][0,0,0,1][1,0,1,1][1,0,1,0][0,1,0,0][0,1,1,2][0,0,0,1][1,0,0,0][0,1,0,1][0,0,0,1][0,0,1,0][3,1,2,1][1,1,0,0][0,0,0,1][0,0,0,2][0,0,1,0][0,0,0,1][3,1,1,1][1,0,0,1][0,0,1,0][0,1,2,0][1,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][2,1,1,0][1,1,0,1][1,0,0,1][1,0,0,2][0,0,0,1][0,0,1,0][0,1,0,1][1,0,0,1][1,1,0,0][2,0,0,2][0,1,0,0][0,1,0,0][1,0,1,2][0,1,1,0][0,1,0,0][2,0,1,3][0,1,0,0][1,0,0,0][0,1,0,1][0,1,0,0][0,0,1,0][1,0,1,1][1,0,0,0][0,0,0,1][0,2,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,1,1][1,1,0,0][0,1,0,0][1,0,1,2][0,0,1,0][0,1,0,0][1,0,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][1,2,0,1][0,0,0,1][0,0,0,1][1,0,0,2][1,0,0,0][0,0,0,1][0,1,0,2][0,0,0,1][0,0,0,1][1,1,2,1][1,0,0,1][0,0,0,1][1,0,0,1][0,1,1,0][2,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][1,0,2,0][2,0,0,0][0,1,0,0][2,0,1,1][0,0,1,0][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][1,2,1,1][1,1,0,0][0,0,0,1][0,1,2,0][0,0,1,0][0,0,0,1][2,2,1,1][2,0,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][3,1,1,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][4,1,2,1][1,0,1,0][0,0,1,0][0,1,1,0][0,1,0,0][1,0,1,0][3,2,1,1][0,1,0,0][0,0,1,0][4,0,0,1][0,0,1,0][0,1,0,0][0,2,0,1][0,1,0,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,0,1][4,1,1,2][0,1,0,0][1,0,0,0][0,0,0,1][3,0,1,0][0,0,0,1][2,1,1,0][0,1,0,0][0,0,1,0][0,1,1,0][0,1,0,1][1,0,1,0][0,0,2,1][0,0,1,0][0,0,0,1][0,0,1,0][2,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][1,1,0,0][0,0,1,0][1,0,1,0][1,0,1,2][0,0,1,0][0,0,1,0][0,0,0,2][0,1,0,1][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][0,1,1,0][2,0,1,0][0,0,0,1][2,2,2,0][0,0,1,0][1,0,0,0][3,1,0,2][0,1,1,0][2,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][3,1,0,1][0,1,0,0][0,1,0,0][1,0,0,2][1,0,2,0][0,1,0,0][0,1,1,1][2,0,1,0][0,0,0,1][0,1,0,1][0,1,1,0][0,0,1,0][1,0,2,0][0,0,0,1][1,0,0,0][1,0,0,1][0,0,0,1][1,0,0,1][2,1,0,2][1,0,0,1][1,0,0,0][0,0,1,1][0,1,0,0][0,0,0,1][1,0,0,2][0,1,0,0][1,0,0,0][0,2,0,0][0,0,0,1][0,1,0,0][0,0,0,1][1,0,0,0][0,0,1,0][2,1,0,1][0,0,2,0][3,0,0,0][1,4,0,0][1,0,1,0][0,0,1,0][1,0,1,1][1,0,1,0][0,0,1,0][1,0,1,0][0,0,0,1][0,0,0,1][1,0,1,1][3,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][1,0,0,0][1,2,0,0][0,0,1,0][0,0,1,0][0,0,3,0][0,0,1,0][1,0,1,0][0,1,0,1][0,0,1,0][1,1,0,0][0,1,2,1][0,0,0,1][0,0,1,0][1,0,1,1][0,0,1,0][0,0,0,1][0,0,3,0][0,0,0,1][0,1,0,0][0,0,2,0][0,1,1,0][1,1,0,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,0,2][1,0,1,0][0,0,0,1][2,1,1,0][0,0,0,1][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][1,2,0,1][0,0,0,1][0,0,0,1][0,1,0,1][0,0,1,0][0,1,0,0][2,2,1,1][0,0,0,1][1,0,0,0][0,0,1,0][1,0,0,0][0,1,0,0][0,2,0,1][0,1,0,0][1,0,0,0][1,0,0,1][0,0,1,0][0,0,0,1][2,1,1,1][0,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][0,1,0,0][0,1,0,1][0,1,0,0][0,0,1,0][0,0,2,0][1,1,0,1][0,1,0,0][0,0,0,1][2,0,0,0][1,0,0,0][0,0,1,1][0,1,0,0][1,1,0,0][2,1,1,1][0,0,0,1][0,0,0,1][0,0,1,2][0,1,0,0][0,0,1,0][2,2,1,0][9996,3,78521,54503]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,2030,1142,1217,896,1249,0,4258,1105,811,1286,875,0,2607,1152
1,3076,551,354,279,596,0,1554,0,1137,774,393,0,328,87
2,483,0,24,173,311,0,472,50,149,127,270,2,430,238
3,2610,2802,3842,3248,0,5154,5194,2666,2687,2398,3605,0,1686,2095
4,225,241,259,201,244,3,160,218,294,458,23,8,500,0
5,185,0,61,63,57,0,0,71,59,57,45,0,143,0
6,2804,1031,1103,966,864,5,3333,1123,1032,1266,1022,0,2969,1118
