N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,471,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,1,1],[0,1,0,0],[1,1,0,0],[1,0,2,1][0,1,0,0][0,0,0,1][0,0,0,1][1,1,0,1][0,0,0,1][2,1,1,1][0,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][0,0,1,0][1,0,0,2][1,0,0,0][0,0,1,0][1,1,0,1][1,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][0,0,2,0][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,1,0,0][0,0,1,1][1,0,1,0][0,1,0,0][0,0,0,2][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][1,0,1,0][0,0,1,0][0,1,0,0][0,1,0,0][1,2,1,0][1,1,0,0][0,1,0,0][0,2,0,1][2,0,0,0][1,1,0,0][0,0,0,2][1,1,0,0][2,0,0,0][3,2,1,0][0,1,0,0][0,0,0,1][1,2,0,1][4,1,0,0][0,0,0,1][2,1,1,0][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][3,2,1,0][0,1,0,0][0,0,1,0][1,1,1,0][1,1,0,0][1,0,0,1][0,0,2,0][0,0,0,1][1,0,0,0][0,2,1,0][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,1,0,0][2,1,0,1][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][1,2,0,2][2,1,0,1][0,1,0,0][0,0,1,2][0,0,1,0][1,0,0,0][0,0,0,2][0,1,0,0][0,0,1,0][0,2,0,0][0,1,0,0][0,0,0,1][0,1,0,1][0,2,0,0][0,0,0,1][0,0,2,0][0,1,0,0][0,0,0,1][1,1,2,0][0,0,1,0][1,0,0,1][1,1,0,2][0,0,0,1][0,1,0,0][1,0,2,0][1,0,1,0][1,1,0,0][1,2,1,0][1,1,0,0][1,0,0,0][0,0,2,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,0,2][0,0,0,1][0,0,0,1][3,1,1,1][0,0,0,1][0,1,0,0][0,0,2,0][0,1,0,0][1,0,0,1][1,0,0,2][0,1,0,0][0,0,1,0][0,0,2,0][0,1,0,0][0,1,0,0][0,3,0,0][0,0,1,0][1,0,0,0][1,0,2,0][0,1,0,0][3,0,0,0][2,2,1,1][0,0,1,0][0,0,1,0][4,0,1,1][1,0,0,0][0,1,0,0][1,2,2,0][0,0,1,0][0,0,0,1][1,0,2,1][0,1,0,0][0,1,0,0][0,1,1,0][0,1,0,0][0,0,1,0][0,3,0,0][0,2,0,0][0,1,0,0][4,3,2,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][0,0,0,1][1,1,0,1][2,0,0,1][2,0,0,0][0,1,2,0][1,0,0,0][0,1,0,0][0,0,2,0][1,0,1,0][2,0,0,1][0,0,0,2][1,0,1,0][1,0,0,0][2,1,1,1][0,1,1,0][0,1,0,0][1,1,2,1][0,0,0,1][0,0,1,0][1,1,2,0][0,0,1,0][2,0,1,0][4,1,2,1][1,1,0,0][0,0,0,1][0,0,0,2][1,0,0,1][1,0,0,1][0,0,1,1][1,0,0,0][0,0,1,0][0,0,2,0][1,0,0,1][0,0,1,0][3,1,2,1][0,0,0,1][1,0,0,0][3,0,1,0][0,0,1,0][0,0,1,0][3,2,0,2][0,1,0,0][1,0,0,0][0,1,0,1][0,0,1,0][0,0,0,1][2,0,2,0][0,1,0,0][1,0,0,0][2,1,2,0][0,1,1,0][0,0,0,1][2,0,1,1][0,0,0,1][0,0,0,1][0,1,0,1][3,0,0,1][1,1,0,0][3,1,0,1][0,0,0,1][0,0,0,1][1,0,1,1][0,0,1,0][0,0,0,1][1,0,2,0][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][1,0,0,0][2,1,2,0][0,0,0,1][0,0,1,0][0,0,2,1][3,0,0,0][0,0,1,0][1,0,2,0][0,0,1,0][0,0,1,0][3,0,0,2][0,0,0,1][0,0,1,0][0,0,1,0][2,0,0,1][0,1,0,0][0,2,1,0][0,1,0,0][0,0,0,1][1,1,1,0][0,0,1,0][0,1,0,0][1,3,0,0][0,1,0,0][1,0,0,0][2,1,1,0][1,0,0,1][0,1,0,0][0,1,1,0][2,0,0,0][0,0,1,0][0,0,0,1][0,0,1,0][2,0,0,0][2,1,1,1][0,0,1,0][1,0,0,0][2,0,2,0][1,1,0,0][1,0,1,0][0,0,2,0][1,0,0,0][0,0,1,0][2,1,0,1][0,0,0,1][0,0,0,1][0,0,3,1][2,0,0,0][0,0,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,1,1,1][0,0,0,1][0,0,0,1][0,0,1,1][0,1,1,0][0,0,0,1][2,0,3,0][1,0,0,1][0,0,0,1][0,1,0,1][0,0,1,0][1,0,0,0][0,1,0,2][0,0,1,0][0,0,0,1][1,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][3,1,0,1][0,1,1,0][0,0,0,1][0,1,1,2][1,0,1,0][0,1,0,0][0,1,0,1][0,0,1,0][0,0,0,1][2,2,0,1][0,0,0,1][0,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][0,1,1,1][0,0,0,1][0,1,0,0][2,1,2,0][2,0,0,1][2,0,0,0][1,0,2,1][1,0,1,0][0,1,0,0][0,1,1,1][1,0,0,0][0,0,1,0][1,0,2,0][0,0,0,1][1,0,0,0][0,1,1,0][1,1,0,0][0,0,0,1][0,3,1,1][2,0,1,0][0,1,0,0][2,0,0,1][1,1,0,0][0,1,0,0][1,0,0,2][1,0,1,0][1,0,0,0][0,1,0,1][1,0,0,0][0,1,0,0][0,0,2,0][1,0,0,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][1,2,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][1,1,0,0][2,1,0,1][0,0,1,0][0,0,1,0][1,0,1,2][0,0,1,0][1,0,1,0][0,1,0,1][0,1,0,0][1,0,0,0][2,0,1,0][2,0,0,1][0,1,0,0][1,3,2,1][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,2,1][0,1,0,0][0,0,1,0][1,0,2,1][0,0,0,2][0,0,0,1][1,1,0,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,1][1,0,0,0][1,1,1,0][0,0,0,1][0,0,1,0][0,1,2,0][1,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][1,0,0,0][2,1,1,0][1,1,0,1][0,0,0,1][1,1,1,1][0,1,0,0][1,0,0,0][1,2,0,1][0,1,0,1][0,0,1,0][0,2,0,1][0,0,1,0][0,0,0,1][0,0,0,3][0,2,0,0][0,0,0,1][0,0,0,2][1,0,0,1][0,1,0,0][1,0,0,2][1,1,0,0][0,0,0,1][0,1,1,0][1,0,0,1][0,0,1,0][2,1,0,1][0,1,0,0][0,0,1,0][0,1,1,0][0,0,0,1][0,0,0,1][1,1,1,0][0,0,1,0][1,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][4,1,0,1][1,0,1,1][0,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][0,3,0,0][0,0,1,0][0,0,0,1][0,0,1,1][0,1,0,0][0,1,0,0][2,0,0,1][0,0,0,1][0,1,0,0][1,2,3,0][0,0,1,0][0,1,0,0][1,1,0,1][1,0,0,1][0,1,0,0][1,1,0,1][2,0,1,0][1,0,0,0][1,0,1,1][2,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][3,1,0,1][0,1,0,0][3,0,0,0][0,2,0,0][0,0,1,0][0,1,0,0][1,0,0,1][1,0,0,1][0,0,0,1][1,1,1,1][0,1,0,0][0,0,1,0][1,1,0,1][0,0,0,1][0,0,1,0][1,2,1,1][0,1,0,0][0,0,1,0][1,2,0,1][0,1,1,0][1,0,0,1][2,2,1,0][0,0,1,0][0,1,0,0][0,0,2,1][3,0,0,1][0,1,0,0][0,1,1,0][0,0,1,0][1,0,0,0][1,0,0,2][1,1,0,0][1,0,0,0][0,0,1,2][1,1,0,0][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][0,0,1,2][1,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][0,1,1,0][0,0,0,1][0,0,0,1][1,0,1,0][0,0,0,1][0,0,0,1][1,1,1,0][0,0,1,0][0,1,0,0][4,2,0,0][1,0,0,1][0,0,1,0][0,1,0,1][1,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][2,1,0,1][1,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][0,2,0,1][0,0,0,1][0,0,1,0][2,0,2,0][0,0,1,0][0,1,0,0][3,3,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][0,1,1,1][0,1,1,0][0,1,0,0][2,0,2,0][0,0,0,1][0,0,1,0][1,0,1,0][0,0,0,1][0,0,1,0][0,2,1,0][0,0,0,1][0,1,0,0][2,0,1,1][1,0,2,0][1,0,1,0][2,0,1,1][1,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][2,0,0,1][1,0,3,0][1,0,0,0][0,0,1,0][0,0,2,1][1,0,0,1][0,0,0,1][0,2,0,1][1,0,1,0][0,0,0,1][4,1,0,1][1,0,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,0,0,1][0,3,0,0][1,0,1,0][0,0,1,0][2,0,4,0][0,1,0,0][0,0,0,1][2,1,0,2][1,1,0,0][1,0,0,1][2,1,1,1][0,0,1,0][0,0,1,0][1,1,0,1][0,0,0,1][1,0,0,1][1,1,1,2][0,1,0,0][0,1,0,0][2,1,1,0][0,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][0,0,0,1][1,1,0,2][0,1,1,0][1,0,0,1][1,0,1,1][0,1,0,0][0,1,0,0][0,0,1,0][1,0,0,1][0,0,0,1][1,0,2,0][0,0,0,1][0,1,0,0][1,0,2,0][0,0,0,1][1,0,0,1][0,1,0,3][1,0,1,0][1,0,0,0][0,1,0,1][1,0,0,1][0,0,0,1][4,1,1,1][0,0,0,1][0,1,0,0][1,0,1,1][1,1,0,1][0,0,0,1][2,2,0,0][0,0,1,0][1,0,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,1,2,0][0,0,1,0][0,0,1,0][1,1,2,0][0,1,0,1][0,0,1,0][2,3,0,1][0,1,0,0][0,1,0,0][0,2,0,0][0,0,0,1][0,0,0,1][2,0,2,1][0,0,1,0][0,1,0,0][2,0,2,0][0,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][1,0,0,0][0,0,0,1][0,0,1,0][0,0,1,0][2,1,1,0][1,0,0,1][1,0,1,0][1,2,0,1][0,0,1,0][0,0,1,0][0,0,2,1][0,1,0,0][0,1,0,0][0,1,0,1][1,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][1,0,0,0][1,2,0,0][1,0,1,0][1,0,0,1][0,1,1,0][0,1,0,0][0,0,0,1][1,0,0,2][1,0,1,0][0,0,1,0][4,0,0,3][1,0,0,1][0,1,0,0][0,1,0,0][0,0,1,0][0,1,0,0][1,0,3,0][1,0,1,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][1,0,3,0][3,0,0,0][0,0,0,1][1,1,0,1][1,1,0,1][0,1,0,0][3,1,0,3][0,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][1,1,0,0][0,2,1,0][0,1,0,0][1,0,0,0][1,0,1,1][0,1,1,0][0,0,1,0][1,1,0,2][0,0,0,1][0,0,1,0][1,0,1,1][1,1,0,0][0,0,1,0][1,0,1,1][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][1,0,0,0][1,0,1,2][0,0,0,1][0,0,0,1][0,0,2,1][0,1,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][1,0,1,1][1,0,1,0][0,0,1,0][0,2,0,0][0,1,0,1][0,0,0,1][2,1,1,0][0,0,1,0][0,1,0,0][2,1,2,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][0,0,1,0][3,3,1,1][0,0,0,1][1,0,0,0][1,1,2,0][0,1,0,0][0,0,0,1][1,2,1,0][0,0,0,1][0,0,1,0][0,1,0,3][0,0,1,1][0,0,0,1][0,3,0,1][0,1,0,0][2,0,0,0][0,0,2,1][0,0,1,0][0,0,1,0][1,1,0,1][0,0,0,1][1,0,0,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,2][0,0,1,0][0,0,1,0][1,0,1,1][0,0,0,1][0,0,1,0][0,0,2,1][0,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][1,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][2,1,2,0][0,0,0,1][0,1,0,0][0,1,2,1][1,0,0,0][1,0,0,0][0,0,0,1][0,2,0,0][0,0,1,0][1,2,0,1][0,0,0,1][0,1,0,0][1,0,0,2][0,0,0,1][1,0,1,0][0,1,0,3][0,0,0,1][0,0,1,0][3,1,0,2][0,0,0,1][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][1,0,0,1][1,0,3,0][0,0,1,0][1,0,0,0][2,1,1,0][1,0,1,0][1,0,0,1][0,1,1,1][1,0,1,0][0,1,0,0][1,0,0,1][0,0,1,0][1,0,1,0][2,0,2,1][2,0,0,0][0,1,0,0][0,2,1,0][0,1,0,0][0,0,0,1][1,2,0,2][0,0,0,1][0,0,1,0][4,1,0,1][1,0,1,0][0,1,0,0][0,2,1,0][1,0,1,0][0,1,0,0][0,0,2,0][0,2,0,0][0,0,0,1][0,0,0,1][0,0,1,0][1,0,0,0][1,1,0,1][0,1,0,1][0,0,1,0][1,0,1,0][0,1,0,0][0,1,0,0][1,2,1,0][0,0,1,0][3,0,0,0][0,0,1,1][0,0,0,1][0,1,0,0][2,2,0,1][0,1,0,0][0,0,0,1][1,0,1,1][0,0,1,0][0,0,0,1][0,0,1,1][1,0,1,0][1,0,0,1][0,2,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,1,0][0,1,0,0][1,1,2,0][0,1,0,0][0,0,1,0][2,0,3,0][0,0,1,0][2,0,0,1][0,1,1,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][1,3,1,1][0,0,0,1][0,1,0,0][0,1,0,1][2,0,1,0][0,0,1,0][1,1,2,1][0,0,1,0][0,1,0,0][1,1,0,0][2,0,0,0][0,0,1,0][1,0,0,2][0,1,0,0][1,0,0,0][0,1,1,1][0,0,0,1][0,0,1,0][2,2,0,2][1,1,0,0][1,0,0,0][0,0,2,0][0,1,0,0][0,0,1,0][3,3,1,0][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][0,0,0,1][3,1,1,1][0,0,1,0][1,0,0,0][1,1,1,0][0,1,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,1,0,0][0,1,1,1][0,0,0,1][0,1,0,0][1,0,2,1][0,0,0,1][1,0,0,0][0,1,0,1][0,1,0,0][0,1,0,0][2,2,0,2][1,0,0,0][0,1,0,0][0,3,0,0][0,0,0,1][0,1,0,0][0,2,0,1][0,0,1,0][1,0,0,0][2,0,0,2][0,0,1,0][0,1,0,0][2,1,1,2][0,0,0,1][0,0,1,0][0,2,0,1][0,0,0,1][0,1,0,0][2,1,1,2][0,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][2,0,2,1][10011,0,78511,54528]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3235,955,1136,1053,841,0,2152,973,936,1105,1040,0,3564,935
1,0,0,728,0,324,0,1154,0,599,765,307,0,657,509
2,447,399,233,164,167,2,512,145,270,147,95,0,426,254
3,5437,1037,2335,2934,2284,0,3221,3355,3394,3399,1971,0,3800,1907
4,55,199,295,443,141,3,354,206,296,0,277,2,304,194
5,188,57,61,84,53,0,146,55,43,74,46,0,122,54
6,1195,1255,926,1209,1178,4,2737,1148,688,865,1719,0,0,1115
