N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,0,0,1],[0,1,0,0],[0,0,1,0],[1,1,0,2][0,0,1,0][0,0,1,0][0,1,0,1][0,1,0,0][0,1,0,0][2,1,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][1,0,0,0][0,2,1,0][1,1,0,0][0,0,1,0][0,2,0,1][1,0,0,1][0,0,0,1][1,0,0,1][3,0,0,0][0,0,0,1][1,2,1,0][2,0,0,0][1,0,0,0][0,0,0,1][1,1,0,0][0,0,1,0][0,0,0,2][1,1,0,0][0,1,0,0][0,1,1,0][0,0,0,1][0,0,0,1][0,0,2,0][1,0,0,1][1,0,0,0][3,1,0,2][0,0,0,1][1,0,0,1][2,1,2,0][0,0,1,0][1,0,0,0][3,0,1,1][0,1,0,0][1,1,0,0][1,0,0,1][1,0,1,0][0,0,1,0][1,1,1,0][2,1,0,0][0,0,1,0][0,1,1,1][1,0,0,0][0,0,0,1][0,0,0,1][3,0,0,0][0,0,1,0][1,2,0,1][0,0,1,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,1,0][1,1,1,0][0,0,1,0][0,1,0,0][1,1,2,0][0,0,1,0][1,1,0,0][1,0,2,0][1,0,0,1][0,1,0,0][1,2,1,0][0,1,0,0][0,0,0,1][0,1,1,1][1,0,0,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,1][0,0,0,1][0,0,0,1][0,1,1,1][0,0,0,1][1,0,1,0][0,3,0,0][0,1,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,0,0,1][1,0,0,2][0,1,0,0][0,0,1,0][3,1,1,0][1,1,0,1][0,1,0,0][4,1,2,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,0,1][1,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][0,1,1,0][0,0,0,2][0,0,0,1][1,0,0,2][2,0,0,1][0,0,1,0][3,0,0,2][0,1,0,0][0,1,0,0][1,1,0,2][0,0,0,1][0,0,0,1][1,0,0,2][0,0,0,1][0,0,1,0][3,2,2,0][0,1,0,0][0,0,1,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,1,1][1,0,0,0][1,0,0,0][1,1,0,2][0,1,0,0][1,0,0,1][0,0,1,1][1,1,0,0][1,0,0,0][0,1,0,0][0,0,0,1][0,0,0,1][1,1,1,1][0,0,1,0][0,0,1,0][0,0,1,0][0,1,1,0][0,0,0,1][2,0,1,1][1,0,0,1][1,0,0,0][1,1,1,1][0,0,0,1][0,0,1,0][1,2,2,0][0,1,0,0][1,0,0,0][2,1,0,2][0,1,0,0][0,0,1,0][1,2,1,0][0,1,0,0][1,0,0,0][0,1,1,0][0,0,1,0][1,1,0,0][0,0,3,1][0,0,1,0][0,1,0,0][3,1,0,2][0,0,2,0][0,1,0,0][0,1,1,1][1,0,0,1][0,0,0,1][0,1,0,1][1,0,1,0][0,1,0,0][1,0,0,2][0,0,0,1][0,0,1,0][0,2,1,0][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][2,2,2,0][0,0,1,0][0,0,1,0][0,3,1,0][0,0,1,0][1,0,0,0][0,1,0,1][1,1,0,1][1,0,0,1][0,1,1,1][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][1,0,0,1][1,1,0,1][0,0,1,0][0,0,1,0][0,2,0,1][0,1,0,0][0,1,0,0][0,0,0,2][0,0,1,0][1,0,0,0][0,3,0,1][1,0,1,0][0,0,1,0][0,2,1,1][0,0,0,1][0,1,0,0][3,1,0,2][1,0,1,0][0,0,0,1][1,2,1,1][1,0,0,0][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][2,2,0,1][0,1,0,0][0,0,1,0][1,0,0,1][0,0,0,1][0,1,0,0][1,1,1,2][2,0,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,0,1,0][0,0,2,1][1,1,0,0][1,0,0,0][1,0,3,0][0,1,1,0][0,0,0,1][2,0,1,0][1,0,1,0][0,1,0,0][0,0,2,0][1,0,1,0][1,0,1,0][0,1,0,1][1,0,1,0][0,0,0,1][0,2,1,0][0,0,0,1][3,0,0,0][0,1,1,0][1,1,0,0][0,1,0,0][2,1,2,0][0,0,0,1][1,0,0,1][1,1,1,1][2,0,0,0][0,0,0,1][2,0,3,0][0,0,1,0][1,0,1,0][1,1,0,1][1,1,0,0][0,0,0,1][1,0,2,0][1,1,0,0][1,1,0,0][3,3,0,1][1,0,0,0][0,1,0,0][2,1,1,1][1,1,0,0][0,0,1,0][2,2,1,1][0,0,1,0][0,0,1,0][1,2,0,1][0,1,1,0][0,0,0,1][2,2,1,0][0,0,0,1][0,1,0,0][1,1,1,1][0,0,0,1][1,1,0,0][3,1,1,1][0,1,0,0][0,1,0,0][1,1,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][1,2,0,0][0,0,1,0][0,1,0,0][1,0,0,1][1,0,1,0][1,0,0,0][2,0,1,0][1,0,1,1][0,1,0,0][1,1,0,1][0,1,0,0][0,1,0,0][0,1,1,0][2,1,0,0][0,0,0,1][1,1,0,0][0,1,0,0][0,0,1,0][1,1,1,0][1,2,0,0][0,0,1,0][0,0,1,1][0,1,0,0][1,0,0,0][1,2,0,0][0,0,1,0][0,0,1,0][1,0,1,2][0,0,1,0][1,0,0,0][1,0,0,2][0,1,0,0][0,1,0,0][3,0,1,2][0,0,1,0][0,0,1,0][0,1,0,1][0,1,0,1][0,1,0,0][0,1,0,2][0,0,1,0][1,0,0,0][1,0,0,2][0,1,0,1][0,0,0,1][1,2,0,1][0,0,1,0][1,0,0,0][0,1,1,1][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][1,0,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,2][0,0,1,0][0,0,1,0][0,1,1,1][0,0,0,1][2,0,0,0][0,1,2,0][0,0,1,0][2,0,0,0][0,0,1,2][0,1,1,0][0,0,0,1][2,2,0,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][1,0,1,0][2,1,0,1][1,1,0,0][0,0,1,0][2,0,1,1][1,1,0,0][0,0,0,1][2,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,1,0,0][0,1,0,1][0,0,1,0][1,0,0,0][0,0,0,1][0,0,0,1][1,1,0,0][1,2,1,1][1,0,0,1][0,0,0,1][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,1][0,0,1,0][1,0,0,0][0,1,1,1][0,0,0,1][2,0,0,0][0,2,0,1][1,0,0,1][0,1,0,0][0,0,2,0][1,0,0,1][1,1,0,0][0,0,2,1][0,0,1,0][1,0,0,0][0,1,0,1][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,2,0,1][0,0,1,0][2,0,0,1][0,1,1,1][0,0,0,1][0,0,0,1][0,1,2,0][1,0,2,0][0,0,0,1][0,0,1,2][0,0,1,0][0,1,0,0][3,1,0,2][0,0,0,1][0,1,0,0][1,1,2,1][0,0,1,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,0,1][1,0,0,2][1,0,0,1][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,0][1,1,0,1][0,0,0,1][1,0,0,2][1,0,1,0][0,0,0,1][0,1,1,0][1,0,1,0][1,1,0,0][1,2,1,1][0,0,0,1][0,1,0,0][3,2,0,0][0,0,1,0][1,0,0,1][0,2,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][1,0,2,0][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][0,0,1,0][0,1,1,0][1,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][1,0,0,1][0,0,0,1][0,1,0,0][1,2,0,1][0,0,1,0][0,0,1,0][0,1,1,1][0,1,0,0][0,0,1,0][0,2,0,2][0,0,1,0][0,0,1,0][1,0,2,1][0,0,0,1][0,0,1,0][0,0,1,2][0,0,1,0][0,1,0,0][2,0,2,0][1,1,1,0][0,0,0,1][7,1,2,0][0,0,1,0][1,0,0,0][1,0,1,1][0,2,0,0][0,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][0,1,0,0][2,1,1,1][0,1,0,0][0,0,0,1][1,0,2,1][0,0,1,0][0,1,0,0][0,1,1,1][3,0,0,0][1,0,0,0][3,2,0,0][0,1,0,0][0,1,0,0][2,0,2,0][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,1,0][1,3,0,1][0,1,0,0][1,0,0,0][1,0,2,1][0,1,0,0][1,0,1,0][1,0,1,3][0,0,0,1][1,0,0,0][0,0,0,2][0,0,0,1][0,0,0,1][0,1,3,0][1,1,0,0][0,1,0,0][1,0,1,0][0,0,1,0][1,0,0,1][1,1,0,1][1,0,0,0][0,1,0,0][0,0,0,2][0,0,0,1][0,0,1,0][3,2,0,0][0,1,0,0][0,1,0,0][0,1,0,1][1,1,0,0][0,0,1,0][0,0,1,2][1,1,0,0][0,0,1,0][0,0,2,0][0,0,1,0][0,0,1,0][2,0,0,2][0,0,0,1][0,0,0,1][1,1,1,1][1,1,0,1][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,1,0,0][0,1,1,1][0,0,1,0][0,0,1,0][0,0,1,1][1,1,0,0][1,0,1,0][2,1,0,2][0,1,0,0][1,0,1,0][2,3,0,0][4,0,0,0][0,1,0,0][1,0,1,2][0,0,1,0][1,0,0,0][0,0,0,2][1,0,1,0][2,0,1,0][0,0,0,1][0,1,0,0][0,0,0,1][1,1,0,1][0,0,2,0][0,0,1,0][0,0,0,1][1,0,0,0][0,0,0,1][1,1,1,0][0,0,1,0][0,0,1,0][2,1,1,1][1,1,0,0][0,1,0,0][0,0,1,0][3,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][0,0,1,0][0,0,1,1][0,0,0,1][1,0,0,1][0,1,0,3][0,0,0,1][0,0,0,1][0,0,0,1][0,2,0,0][0,1,0,0][0,0,1,1][2,0,0,0][0,0,0,1][0,1,1,1][0,0,1,1][1,0,0,1][0,2,0,1][0,1,0,0][0,0,1,0][1,2,1,0][0,0,1,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][1,2,0,1][2,1,0,1][0,0,1,0][2,0,2,2][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,0,1,0][2,0,1,0][0,1,0,0][1,0,0,0][0,0,2,0][0,1,0,0][0,0,0,1][1,0,1,1][0,0,0,1][2,0,0,0][2,0,2,0][0,1,0,1][0,1,0,0][3,1,2,0][0,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][1,0,0,1][0,1,1,2][0,0,0,1][1,0,0,0][1,2,1,1][1,1,0,0][0,1,0,0][2,0,1,1][0,0,1,0][0,1,0,0][0,0,1,0][1,0,1,0][0,0,0,1][2,0,0,2][1,0,1,0][0,1,0,0][0,1,0,0][1,2,0,0][0,0,0,1][2,2,1,0][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][1,1,0,0][1,1,1,1][0,0,0,1][0,0,0,1][1,1,0,1][0,0,1,1][0,0,1,0][4,1,1,0][0,0,0,1][0,0,1,0][1,2,0,2][1,1,0,0][0,0,1,0][0,2,1,0][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,1][0,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][1,2,0,2][0,0,1,0][0,1,0,0][0,0,0,2][1,1,0,0][0,0,0,1][2,1,1,2][1,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][0,1,0,0][1,2,0,1][0,0,0,1][1,0,0,0][1,1,0,1][1,0,1,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,0,2,1][3,0,0,0][0,1,0,0][1,0,1,1][1,0,0,0][1,0,0,0][3,0,2,0][0,0,0,1][0,1,0,0][0,0,2,1][0,1,0,0][1,0,0,0][1,2,1,0][1,0,0,1][0,0,0,1][2,1,2,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,0][0,0,0,1][0,2,1,0][0,0,1,0][0,1,0,0][0,3,0,0][1,0,0,1][0,0,1,0][2,0,2,1][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][0,0,1,1][1,0,1,0][1,0,0,0][3,0,0,1][0,0,0,1][0,1,0,0][2,2,0,1][0,1,0,0][0,0,1,0][1,1,0,1][0,0,0,2][0,1,0,0][4,0,0,2][0,0,1,0][1,0,0,0][1,2,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][1,1,0,0][3,1,1,0][0,1,1,0][0,0,1,0][3,0,2,1][0,1,0,0][0,0,0,1][0,1,1,0][1,0,0,1][0,0,0,1][0,1,0,2][0,0,0,1][1,0,0,0][1,1,0,0][0,1,0,0][1,0,1,0][0,0,1,1][2,0,0,0][1,0,0,0][0,0,2,0][1,2,0,0][0,0,0,1][1,1,0,1][0,0,0,1][0,1,0,0][0,1,0,2][1,0,0,1][0,0,0,1][0,1,1,0][0,0,1,0][1,0,0,0][0,0,1,1][1,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,0,1,0][1,0,2,1][0,1,0,0][0,0,1,0][1,0,2,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][2,1,0,0][2,1,1,1][1,0,1,0][0,0,0,1][1,2,0,0][1,0,0,0][0,0,0,1][1,2,1,0][1,0,0,1][0,0,1,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][0,1,0,0][0,0,0,1][0,0,2,1][1,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][2,0,1,1][0,1,0,0][0,1,0,0][3,2,1,1][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,0,0,1][0,0,2,0][0,1,0,0][1,0,0,1][0,5,0,1][0,0,1,0][0,1,0,0][0,0,0,2][0,0,1,0][0,0,0,1][1,2,2,0][0,0,1,0][1,0,0,0][1,1,1,0][0,0,1,0][0,0,0,1][3,0,3,0][0,1,0,0][1,0,0,0][0,1,0,1][1,1,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,0,1][0,0,2,0][4,0,1,0][1,0,0,1][2,1,1,0][0,1,0,0][0,0,0,1][0,0,2,0][0,0,0,1][0,0,0,1][1,1,2,0][0,1,0,0][0,0,0,1][1,2,0,1][0,1,0,0][0,1,0,0][2,0,0,1][0,0,0,1][0,0,0,1][0,1,0,1][0,1,0,0][0,1,0,0][1,2,0,1][0,0,1,0][0,1,0,0][0,2,2,0][0,0,1,0][2,0,0,0][1,1,1,1][2,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][0,1,0,0][0,1,1,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,1,0][0,0,1,0][0,0,2,1][0,0,0,1][0,1,0,0][1,1,1,0][1,1,0,0][0,1,0,0][0,0,1,1][1,0,1,0][0,0,1,0][0,2,0,1][2,0,0,0][0,1,0,0][0,0,0,2][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][0,0,0,1][2,3,0,1][0,0,0,1][0,0,0,1][0,0,1,0][1,0,1,0][0,0,1,0][2,0,0,1][0,1,0,0][1,0,0,0][3,1,0,1][0,0,0,1][2,0,1,0][0,3,1,0][0,0,0,1][0,1,0,0][2,1,1,0][0,1,0,0][0,1,0,0][1,2,1,1][0,1,0,0][0,0,0,1][1,1,0,2][0,0,0,1][0,0,1,0][0,1,1,1][0,0,1,0][0,0,0,1][1,0,1,1][1,1,0,0][0,0,1,0][5,0,0,2][0,1,0,0][0,0,1,0][2,2,0,0][0,2,0,0][1,0,0,0][0,0,0,2][10009,0,78538,54526]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,1850,1185,1097,1067,1302,11,0,1135,604,657,1135,3,3740,1120
1,785,882,1012,1255,0,0,815,1011,683,0,625,0,445,0
2,417,53,0,143,347,2,0,262,226,172,129,5,315,165
3,4298,2047,3261,2125,2125,0,3667,1465,2681,3123,3214,10756,2611,2613
4,148,99,207,17,295,0,0,0,128,169,101,0,313,285
5,189,59,33,64,72,0,163,66,50,70,46,0,216,52
6,2240,988,0,715,1436,0,3457,1060,971,996,0,4,3204,0
