N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,499,79000,55000]",14,0.01,"[True,True,False,False]","[0,1,1,1],[0,0,0,1],[0,0,0,1],[2,2,0,1][1,0,0,1][0,0,0,1][2,0,1,1][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,1,1][1,0,1,0][0,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][0,0,0,2][1,0,0,1][0,0,0,1][0,1,0,1][0,0,0,1][0,1,0,0][2,1,1,0][0,0,1,0][0,0,0,1][1,2,1,2][0,1,0,0][0,0,1,0][2,2,0,0][0,0,1,0][0,0,1,0][0,0,0,4][2,0,0,0][0,0,1,0][0,1,1,0][0,0,0,1][1,1,0,0][2,0,0,3][1,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][1,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,0,1][0,1,0,1][0,0,1,0][1,0,0,1][0,1,0,0][0,0,0,1][2,1,2,0][0,0,0,1][0,1,0,0][3,1,1,1][2,0,0,0][0,0,1,0][1,1,1,1][0,0,0,1][0,0,0,1][1,1,0,1][0,1,0,0][1,0,0,0][0,1,1,1][0,0,0,1][3,0,0,0][1,1,1,0][1,1,0,0][1,0,0,0][1,0,0,1][0,0,0,1][1,1,0,0][0,0,2,1][0,1,0,0][0,0,1,0][0,0,2,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][1,0,1,1][0,0,0,2][0,0,0,1][1,1,1,0][1,0,1,0][0,0,0,1][2,1,1,0][0,1,0,0][0,0,0,1][1,0,0,2][0,1,0,0][1,0,0,1][1,1,0,0][0,1,0,0][0,1,0,0][2,0,3,0][0,0,1,0][0,0,1,0][1,1,1,0][0,0,1,0][0,1,0,0][2,1,0,1][0,1,0,0][1,0,0,0][0,2,1,0][0,0,0,1][0,0,0,1][4,0,0,2][1,0,0,1][0,1,0,0][0,2,1,0][0,0,1,0][0,0,0,1][1,0,1,2][0,0,1,0][1,0,0,1][4,3,0,0][2,1,0,0][1,0,1,0][2,1,0,1][0,0,1,0][1,0,0,0][1,1,2,0][0,0,0,1][1,0,1,0][6,2,0,1][0,0,0,1][1,0,0,0][0,1,1,1][2,1,0,1][0,1,0,0][0,1,1,0][1,0,0,0][0,0,0,1][2,1,0,2][0,0,0,1][0,1,0,0][1,1,1,1][0,0,1,0][0,0,0,1][1,1,1,1][1,0,0,1][0,0,1,0][1,0,1,1][0,0,1,0][0,0,0,1][5,0,1,0][0,0,0,1][0,0,1,0][0,1,0,1][2,0,0,0][0,0,0,1][1,0,1,0][0,0,1,1][1,0,1,0][0,0,1,2][0,0,0,1][0,0,0,1][1,2,1,0][3,1,0,0][0,0,1,0][0,1,2,0][1,0,0,1][1,0,0,0][0,0,1,2][0,0,0,1][0,1,0,0][0,1,1,0][0,0,0,1][0,0,0,1][0,1,0,2][0,0,0,1][0,0,0,1][1,2,0,2][0,0,0,1][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,1][0,0,0,2][0,1,0,0][0,0,0,1][0,0,1,2][0,0,1,0][0,1,0,0][0,0,1,1][1,0,0,0][0,0,1,0][1,0,0,2][0,0,1,0][1,0,1,0][0,1,1,2][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,0,0,1][3,0,0,0][0,1,0,0][0,1,0,1][0,1,0,0][0,1,0,0][0,0,1,1][0,0,1,0][1,0,0,0][0,0,1,0][1,0,1,0][0,0,0,1][3,0,1,1][1,0,0,0][1,0,0,0][1,1,0,1][1,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][0,2,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][1,3,0,0][0,0,0,1][1,0,0,0][1,1,0,1][0,1,0,0][1,0,0,1][1,1,2,0][0,0,0,1][0,1,0,0][1,0,0,2][0,0,1,0][0,1,0,0][0,1,1,1][0,0,1,0][0,1,0,0][0,0,2,0][1,0,1,0][0,1,0,0][1,1,0,1][0,0,1,0][0,0,1,0][0,2,1,0][1,0,0,1][0,1,0,0][1,1,2,0][2,0,0,0][1,0,0,1][0,0,1,1][0,0,1,0][0,0,0,1][0,1,0,1][0,0,0,1][0,0,0,1][3,1,0,1][0,1,1,0][0,1,0,0][0,1,1,0][1,1,0,0][0,1,0,0][1,3,0,0][0,1,1,0][3,0,0,0][1,0,2,1][1,0,1,0][0,0,1,0][0,2,0,1][0,1,0,0][0,0,1,0][1,2,0,1][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][0,0,0,1][0,0,2,1][1,1,0,0][0,0,0,1][1,1,1,1][0,1,0,0][0,0,1,0][0,0,1,1][1,0,0,0][0,0,1,0][2,2,0,1][0,1,0,0][0,0,1,0][1,1,2,1][0,1,0,0][0,0,0,1][0,0,1,0][1,1,0,0][0,1,0,0][1,1,1,1][1,0,0,1][1,0,0,0][2,1,0,1][2,0,1,0][1,0,0,1][0,1,1,0][0,1,0,0][1,0,0,0][0,1,0,1][0,0,1,0][0,1,0,0][0,0,1,0][0,1,0,0][0,1,0,0][2,1,0,2][1,0,0,1][0,0,0,1][2,0,2,0][0,0,1,0][0,0,1,0][0,1,0,1][0,1,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][1,2,1,0][0,0,0,1][1,1,0,0][0,1,1,1][1,0,1,0][0,1,0,0][0,2,1,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][0,0,1,0][0,2,1,0][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][0,0,1,1][1,0,0,1][0,1,0,0][1,0,0,3][0,0,0,1][0,0,0,1][1,0,2,0][0,0,0,1][2,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,3,0][0,0,0,1][0,0,1,0][0,0,0,1][0,1,0,0][1,0,0,0][0,0,1,1][0,1,0,0][0,1,0,0][1,1,0,2][0,0,0,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,1][2,1,0,0][0,0,1,0][0,0,0,1][0,2,0,1][1,0,1,0][1,0,0,0][1,1,2,0][0,0,1,0][1,0,0,0][0,0,1,1][1,0,1,0][0,1,0,0][0,2,0,0][0,0,1,0][0,1,0,0][0,0,2,1][0,1,0,0][1,1,0,0][0,1,3,0][0,0,1,0][0,1,0,0][4,1,0,1][1,1,0,0][1,1,0,0][0,1,1,0][0,0,1,0][0,0,1,0][1,0,1,1][1,0,1,0][1,0,1,0][1,0,3,0][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,1][0,1,0,0][1,1,1,0][1,1,0,0][0,0,1,0][3,1,0,1][0,0,1,0][0,0,1,0][2,0,1,1][1,1,0,0][0,1,0,0][1,1,1,1][1,0,1,0][2,1,0,0][0,0,3,0][0,1,0,0][0,1,0,0][0,0,0,2][0,1,0,1][0,1,0,0][2,1,1,0][0,0,0,1][0,1,0,0][0,0,2,0][1,1,0,0][0,1,0,0][1,2,0,1][0,0,0,1][0,0,0,1][0,2,0,0][0,1,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][0,0,3,0][1,1,0,0][0,0,0,1][1,1,0,2][1,0,0,0][0,0,1,0][0,1,3,0][2,0,0,1][0,0,1,0][0,1,1,0][1,1,0,0][0,0,0,1][0,0,0,2][0,0,0,1][0,1,0,0][0,1,1,0][0,1,0,0][1,0,0,0][0,2,1,0][0,0,1,0][0,0,1,0][3,3,1,0][0,0,1,0][0,0,0,1][1,1,1,1][0,0,1,1][0,1,0,0][2,1,0,2][0,0,0,1][1,0,0,0][0,0,0,2][0,0,1,0][0,0,1,0][2,3,1,0][1,0,0,0][0,1,0,0][0,1,0,0][0,0,0,1][0,0,1,0][1,1,1,1][0,0,1,0][1,0,0,0][0,1,0,1][0,0,0,1][1,1,0,0][1,2,2,0][0,0,0,1][0,1,0,0][0,1,1,1][0,0,1,0][1,0,0,0][0,1,0,2][0,0,0,1][1,0,0,0][0,1,0,0][0,0,1,0][0,1,0,0][2,0,0,1][0,1,0,0][0,0,1,0][0,1,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,0,0,1][0,0,1,0][0,1,2,0][0,0,1,0][0,0,0,1][1,1,2,0][0,0,0,1][0,0,1,0][1,2,0,0][0,0,1,0][0,0,1,0][4,0,2,1][0,1,0,0][0,1,0,0][1,0,0,2][0,0,0,1][0,0,1,0][0,1,0,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,1,0][0,0,3,0][0,0,1,0][1,0,0,0][1,2,1,0][0,0,0,1][0,0,0,1][1,1,0,2][0,0,0,1][0,0,1,0][1,2,0,1][0,0,0,1][0,0,1,0][1,4,1,1][1,0,0,0][1,0,0,0][1,0,0,2][1,0,1,0][0,0,0,1][2,1,1,1][1,0,1,0][0,1,0,0][1,0,0,3][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][0,2,1,0][0,1,0,0][0,0,0,1][0,0,1,1][2,0,0,0][0,1,0,0][2,0,2,1][0,1,0,0][0,0,1,0][1,0,2,1][0,0,1,0][0,1,0,0][0,1,0,0][1,0,0,1][1,0,0,1][0,1,1,0][0,0,0,1][0,1,0,0][2,0,2,0][1,1,0,0][0,0,0,1][4,0,2,1][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,1][0,0,1,0][0,0,2,0][0,0,1,0][0,0,1,0][2,0,1,1][0,1,0,0][3,0,0,0][1,0,0,3][0,0,1,0][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][0,3,0,0][0,0,0,1][0,0,0,1][2,1,2,1][3,1,0,0][0,0,0,1][0,1,1,1][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][1,0,1,0][0,1,0,1][0,0,1,0][0,0,1,0][1,0,0,1][0,1,0,1][0,0,0,1][0,1,1,1][0,0,1,0][1,0,0,0][0,0,1,1][1,0,1,0][0,0,0,1][1,0,2,0][0,0,1,0][1,0,0,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,1,0,0][2,1,0,1][0,1,0,1][0,0,0,1][1,0,2,1][0,1,0,0][0,0,0,1][1,1,0,0][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][1,0,0,0][1,0,0,2][2,0,0,0][0,0,0,1][2,1,1,1][0,0,1,0][0,1,0,0][0,1,1,0][1,0,0,1][0,1,0,0][3,2,0,1][0,1,0,0][0,0,0,1][2,1,0,2][0,0,0,1][0,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,1][0,1,0,0][0,1,1,1][0,0,1,0][0,0,0,1][2,1,1,1][0,1,0,0][0,1,0,0][4,0,0,2][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,1][1,0,0,0][2,0,2,0][2,0,0,0][0,0,0,1][4,1,1,1][0,0,0,1][2,1,0,0][0,2,1,1][1,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,1,1][2,0,0,0][0,1,0,0][0,0,2,1][0,1,0,0][0,0,1,0][0,1,1,0][1,0,0,0][0,0,0,1][4,2,0,0][1,1,0,0][0,0,1,0][0,2,1,0][0,1,0,0][0,0,1,0][2,1,1,0][0,1,0,0][0,0,0,1][1,0,2,0][0,0,1,0][0,0,0,1][2,1,0,2][1,1,0,0][0,0,0,1][0,1,0,1][0,0,1,0][0,1,0,0][1,1,0,0][0,0,0,1][0,0,0,1][0,1,0,1][1,0,0,0][0,1,0,0][1,0,2,0][1,0,0,1][1,1,0,0][0,0,3,0][0,0,0,1][0,0,0,1][0,1,0,2][2,1,0,0][0,1,0,0][2,1,0,1][0,0,1,0][0,1,0,0][1,1,0,2][1,1,0,0][0,0,1,0][0,1,1,1][0,0,0,1][1,0,0,0][0,3,0,0][0,1,0,0][0,1,0,0][0,1,0,2][0,0,0,1][0,0,1,0][3,0,2,0][0,0,0,2][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,2,0][0,0,0,1][1,0,2,0][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][0,0,0,1][3,2,1,0][0,0,1,0][1,0,0,0][0,0,0,2][0,0,0,1][0,0,0,1][1,0,0,2][0,0,0,1][0,1,0,0][1,0,0,2][0,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,1,0][1,0,0,0][3,2,3,0][1,0,0,0][0,0,1,0][0,2,0,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,0,1][0,1,1,1][0,0,0,1][1,1,0,0][0,0,1,1][2,0,0,0][0,1,0,0][0,1,1,0][0,1,0,1][0,0,1,0][0,0,1,0][0,0,0,1][1,0,0,0][1,0,0,3][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,0,2][1,2,0,0][0,0,1,0][0,0,1,1][0,0,1,0][1,0,0,0][0,1,0,1][0,0,0,1][0,1,0,0][2,1,2,1][1,0,0,1][1,0,0,0][1,0,2,0][0,0,1,0][0,0,0,1][1,2,1,0][0,1,0,0][0,1,0,0][3,1,1,0][0,1,0,0][0,1,0,0][1,1,2,0][0,1,0,0][0,1,0,0][1,0,0,2][0,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][1,0,0,0][0,0,3,0][0,0,1,0][0,0,0,1][0,0,1,2][0,1,0,0][0,0,0,1][2,0,1,1][0,0,1,0][2,0,0,1][0,0,2,0][0,1,0,0][0,0,1,0][2,1,1,0][0,0,0,1][1,0,0,1][2,0,1,2][1,0,0,1][1,0,0,0][0,1,0,2][0,0,0,1][0,1,0,0][0,0,0,3][0,1,0,0][0,1,0,0][0,2,0,1][0,1,0,0][0,0,0,1][1,0,1,1][0,0,1,0][0,1,0,0][1,0,3,0][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][0,0,0,1][0,0,2,0][3,2,0,0][0,1,0,0][2,1,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,1,0,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,0,1][0,1,1,0][1,0,1,0][0,0,0,1][1,0,2,0][0,0,1,0][0,0,1,0][1,1,0,2][0,0,0,1][0,0,1,0][2,0,1,3][1,1,0,0][1,0,0,0][4,2,1,0][0,0,1,0][0,1,0,0][1,1,2,1][0,0,0,1][1,0,0,0][0,0,0,1][0,0,0,1][0,1,0,0][1,2,0,0][1,1,0,0][0,0,1,0][1,0,2,0][0,1,0,0][0,0,0,1][0,2,1,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][1,2,1,1][0,0,1,0][0,0,0,1][1,0,1,1][2,0,0,0][1,0,0,1][1,0,0,1][0,0,0,1][0,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][0,2,0,2][0,1,0,0][0,1,0,0][2,2,0,0][3,0,0,2][1,0,0,0][1,2,0,0][0,1,0,0][1,0,0,0][2,0,2,0][0,0,0,1][0,1,0,0][4,2,0,1][0,1,0,0][0,0,0,1][0,0,0,1][2,0,1,0][0,0,1,0][1,0,1,1][0,1,0,0][0,0,0,1][0,0,2,0][0,0,1,0][0,0,0,1][1,1,1,0][0,0,1,0][0,0,0,1][0,3,1,0][0,1,0,0][2,1,0,0][0,0,1,2][1,0,1,0][0,0,0,1][2,2,1,0][0,0,0,1][0,0,0,1][0,1,1,1][2,1,0,0][0,1,0,0][1,0,2,0][0,1,0,0][0,1,0,0][1,1,0,1][0,0,1,0][0,0,0,1][1,0,1,0][0,0,1,0][0,0,1,0][0,0,1,2][1,1,0,0][0,1,0,0][2,1,1,0][0,0,0,2][0,1,0,0][0,2,0,1][0,1,0,0][0,0,0,1][0,0,1,1][0,1,0,0][0,1,0,0][0,2,1,1][0,1,0,0][0,1,0,0][3,1,1,0][0,0,0,1][0,0,1,0][0,1,1,1][0,0,1,0][0,1,0,0][0,0,2,0][0,1,0,0][0,0,0,1][1,1,0,1][10039,0,78530,54523]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,4107,1159,1066,621,852,0,4917,0,1099,785,0,11,5575,0
1,1692,446,532,872,1149,0,653,0,541,1008,691,0,735,0
2,439,0,202,163,86,2,374,287,182,163,296,0,358,103
3,4948,0,2823,2888,4307,6763,4153,2113,2382,2514,1988,6483,4843,1846
4,485,145,0,333,85,6,344,0,290,0,380,0,0,341
5,170,63,59,72,53,0,195,0,59,79,43,0,168,0
6,2720,1093,1359,847,985,0,3936,1046,870,1088,1143,11,3241,1120
