N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,501,79000,55000]",14,0.01,"[True,True,False,False]","[1,2,1,0],[1,0,1,0],[1,0,0,1],[1,1,0,2][1,0,0,1][0,0,1,0][3,0,0,2][0,0,0,1][0,1,0,0][0,1,1,1][2,0,0,0][0,0,0,1][1,0,1,1][0,0,1,0][1,0,1,0][0,0,0,2][1,0,0,0][1,0,0,0][1,0,1,1][1,1,0,0][3,0,0,0][1,1,1,0][0,0,0,1][0,0,1,0][2,0,0,2][0,1,1,0][1,1,0,0][0,1,1,2][0,0,0,1][0,0,0,1][1,1,0,0][0,1,0,0][0,0,0,1][1,0,2,1][1,0,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][1,1,1,0][0,1,0,0][0,1,0,0][0,1,1,0][0,1,0,1][1,0,0,1][1,1,0,0][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][0,0,1,0][1,1,2,0][1,0,0,0][1,0,0,0][1,1,0,2][2,1,0,0][0,1,0,0][0,1,1,1][0,0,0,1][1,0,0,0][1,1,1,1][0,0,1,0][0,0,0,1][3,0,2,1][0,0,1,0][0,1,0,0][0,1,0,0][0,1,0,0][1,1,0,0][1,1,1,2][0,0,1,0][0,1,0,0][0,1,1,0][0,0,0,1][0,1,0,0][1,0,1,0][0,0,1,0][0,1,0,0][0,2,0,1][0,0,1,0][1,0,0,1][0,0,0,1][2,1,0,0][0,0,0,1][0,1,1,1][1,0,1,0][0,0,0,1][1,0,2,0][0,1,0,0][0,1,0,0][0,1,0,0][1,1,0,0][1,0,1,0][2,0,0,2][0,0,1,0][1,0,0,0][0,1,2,0][0,0,0,1][1,0,0,1][3,0,2,1][0,0,1,0][0,0,0,1][0,1,0,1][2,0,0,1][0,0,0,1][1,1,0,1][2,0,0,0][0,0,1,0][1,1,1,0][1,0,1,0][0,1,0,0][1,2,1,0][0,0,0,1][0,1,0,0][1,2,0,1][0,0,0,1][0,0,1,0][1,0,1,2][0,0,0,1][0,0,1,0][0,2,0,0][1,0,0,1][0,0,1,0][0,0,2,2][0,0,1,0][1,0,0,0][0,0,0,2][0,0,0,1][0,0,0,1][1,1,2,0][1,0,0,0][0,0,1,0][0,1,0,1][0,1,1,0][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][0,0,1,1][1,0,1,0][0,0,1,0][2,2,1,0][0,0,1,0][1,0,0,0][1,0,2,0][0,0,0,1][2,1,0,0][0,3,1,0][0,0,0,1][0,0,0,1][1,1,1,0][0,0,0,1][0,0,1,0][1,1,2,1][1,0,0,1][1,0,0,0][0,1,0,1][1,1,0,0][0,1,0,0][0,2,0,0][0,0,1,0][0,0,0,1][2,2,0,0][1,1,0,0][0,0,1,0][0,0,2,1][0,0,0,1][0,0,1,0][1,1,2,0][1,1,0,0][0,0,1,0][5,3,0,0][1,1,0,0][0,1,0,0][2,1,1,0][0,1,0,0][0,1,0,0][2,1,0,1][0,0,0,1][0,0,1,0][1,0,0,2][0,0,0,1][0,1,0,0][0,1,1,0][0,0,0,1][0,1,0,0][0,0,0,1][1,1,0,0][2,1,0,0][0,0,4,1][0,0,0,1][1,0,0,0][1,0,1,0][1,1,1,0][0,0,1,0][0,0,2,0][0,1,0,0][1,0,0,0][0,1,1,1][0,0,1,0][0,0,0,1][3,1,1,0][1,0,0,1][1,0,0,0][0,1,0,1][0,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][0,1,0,0][0,2,2,0][0,1,1,0][0,0,0,1][0,0,0,2][0,0,0,1][0,1,0,0][1,0,2,1][0,0,1,0][0,1,0,0][1,1,1,0][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][2,0,0,1][0,0,1,0][0,1,0,0][1,1,1,1][3,0,0,0][0,1,0,0][0,1,1,1][1,0,0,1][0,1,0,0][0,2,1,0][0,0,1,0][0,0,0,1][2,3,0,1][0,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,1,0,0][0,0,0,1][1,0,1,0][0,0,1,0][0,1,1,0][2,0,1,0][0,1,0,0][0,2,1,1][0,1,0,0][0,1,0,0][0,0,2,0][1,0,1,0][1,0,1,0][1,1,2,0][0,0,1,0][0,0,1,0][1,2,0,1][0,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][1,0,0,0][0,1,1,1][0,0,1,0][1,1,0,0][2,2,0,0][0,1,0,0][0,1,0,0][1,1,2,1][0,0,0,2][0,0,0,1][3,2,0,0][0,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][1,0,1,0][0,2,3,0][0,0,0,1][0,1,0,0][0,2,1,0][0,0,1,0][0,0,1,0][0,2,0,0][1,0,0,0][1,0,0,0][2,1,0,1][1,0,1,0][1,1,0,0][1,1,1,1][0,0,1,0][0,0,1,0][0,1,0,2][0,0,0,1][1,0,1,0][1,1,0,1][0,1,0,0][1,0,0,0][3,0,0,1][0,1,0,0][0,1,0,0][1,2,2,0][0,0,0,1][0,1,0,0][1,2,0,1][2,0,0,0][2,0,0,1][0,2,0,1][0,1,0,0][0,0,0,1][1,1,0,1][0,1,0,0][1,1,0,0][0,1,2,0][2,0,0,0][0,0,0,1][0,1,0,0][0,1,0,0][0,1,0,0][1,0,2,0][0,0,0,1][0,1,0,0][1,0,1,1][0,1,0,0][0,1,0,0][0,0,1,1][0,1,0,0][0,1,0,0][0,0,0,3][1,1,0,0][0,0,0,1][1,0,1,1][0,1,0,0][0,1,0,0][1,2,0,0][1,1,1,0][0,0,1,0][0,0,1,1][1,0,0,0][0,0,0,1][0,1,0,1][1,0,1,0][1,0,0,1][2,1,1,0][0,1,0,0][0,0,1,0][0,1,0,2][1,0,0,1][1,0,1,0][0,1,0,1][0,1,0,0][0,0,1,0][0,0,0,1][1,0,1,0][0,1,0,0][1,0,1,1][0,0,0,1][1,0,0,0][1,2,0,1][0,0,1,0][1,0,0,1][0,0,1,1][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][1,1,1,0][1,1,0,0][0,0,0,1][0,0,0,2][0,0,1,0][1,0,0,1][0,2,0,0][0,1,0,0][1,0,0,0][1,1,1,1][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][0,2,0,1][0,0,0,1][0,1,0,0][1,2,0,1][0,1,0,0][0,0,1,0][0,1,0,1][0,2,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,0,1][1,1,0,0][0,0,1,0][1,0,0,0][2,1,0,1][1,0,1,0][0,1,0,0][0,1,1,0][2,1,0,0][0,0,1,0][0,1,0,0][1,0,1,0][0,0,1,0][1,0,1,2][0,1,0,0][1,0,0,0][0,0,0,2][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,1,0,0][1,1,1,1][0,0,1,0][0,0,1,0][0,2,1,0][0,0,0,1][1,0,0,0][0,0,1,1][0,1,0,0][0,0,1,0][3,1,1,2][0,0,1,0][0,0,1,0][0,0,2,0][1,0,0,1][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][2,0,1,1][0,1,0,0][0,0,0,1][0,1,1,1][0,0,1,0][0,1,0,0][0,2,1,0][2,0,1,0][0,0,1,0][1,0,1,1][0,0,0,1][1,0,1,0][2,2,0,0][0,0,0,1][0,0,0,1][0,0,0,2][1,1,0,0][1,0,0,0][1,2,0,1][1,0,0,0][0,1,0,0][2,0,0,2][0,1,0,0][1,0,0,0][0,1,1,1][0,0,0,1][0,0,0,1][2,1,0,1][1,0,0,1][0,0,1,0][0,0,0,1][1,0,1,0][0,0,1,0][1,2,1,1][1,0,0,0][1,0,0,0][2,1,1,0][0,0,0,1][2,1,0,0][1,1,0,2][0,0,0,1][0,1,0,0][1,1,0,1][1,1,0,1][0,0,0,1][3,0,3,1][0,0,0,1][2,0,0,0][0,0,2,0][1,1,0,0][0,0,0,1][0,0,2,1][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][0,0,1,0][4,0,2,0][0,0,0,1][0,1,0,0][0,1,1,1][0,1,1,0][0,0,1,0][0,1,1,0][1,1,0,0][0,1,0,0][1,0,0,2][0,0,0,1][1,0,1,0][1,1,1,1][0,0,1,0][0,1,0,0][0,1,0,1][1,0,0,1][0,0,0,1][1,1,1,0][1,0,1,0][0,0,0,1][1,1,1,0][1,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,0,1,0][1,2,0,1][0,0,1,0][1,0,1,0][1,0,2,0][0,0,0,1][0,0,1,0][3,0,1,0][0,0,0,1][3,0,0,0][4,0,0,2][0,1,0,0][1,0,0,0][1,0,2,0][0,0,0,1][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][1,0,0,0][5,1,1,0][1,0,0,0][1,0,0,0][0,1,1,0][0,0,0,1][0,0,1,0][2,1,0,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][2,0,1,0][0,0,1,1][2,0,0,0][1,0,0,0][0,0,1,1][0,0,0,1][1,0,0,1][1,1,1,0][0,0,0,1][0,1,0,0][1,1,1,0][3,1,0,0][0,0,0,1][1,0,0,2][0,0,0,1][1,0,0,0][0,1,1,0][0,0,1,0][0,0,1,0][1,0,0,2][0,0,0,1][0,0,0,1][0,1,1,0][0,0,0,1][0,0,0,1][3,0,0,3][0,0,0,1][0,0,1,0][3,1,1,1][0,0,1,0][2,1,0,0][0,1,1,0][0,0,1,0][1,0,0,0][1,1,2,0][0,0,1,0][1,0,0,1][0,1,1,1][0,1,0,0][0,0,0,1][0,0,1,2][1,2,0,0][0,0,0,1][0,0,1,1][0,1,0,0][0,0,1,0][0,0,2,1][2,1,0,0][0,0,1,0][1,2,0,1][1,0,1,0][0,0,1,0][0,0,0,1][2,1,0,1][1,0,1,0][0,1,0,1][1,1,0,0][1,0,0,0][0,1,1,1][1,1,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,2,1][0,0,1,0][1,0,0,1][0,1,1,1][0,1,0,0][0,1,0,0][1,0,2,0][0,0,1,0][2,0,0,0][3,0,3,0][1,0,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][2,2,0,0][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,2,1,0][0,0,0,1][1,0,0,0][0,1,0,1][0,1,1,0][0,0,0,1][2,0,1,2][1,0,0,0][0,0,0,1][1,0,2,0][0,2,0,0][0,0,0,1][0,1,1,2][0,0,1,0][0,0,1,0][2,1,2,0][0,0,0,1][0,0,1,0][1,1,1,1][0,0,1,0][0,0,0,1][0,2,0,1][0,0,0,1][0,0,1,0][1,1,0,1][0,0,1,0][0,1,0,0][2,1,2,0][0,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][1,0,0,0][3,0,1,1][0,0,1,0][0,0,1,0][3,1,1,1][0,0,0,1][0,1,0,0][1,0,0,1][1,0,1,0][0,0,1,0][0,0,1,0][1,0,0,1][0,0,0,1][1,2,0,1][0,0,1,0][0,0,0,1][0,0,1,1][1,0,0,0][1,0,0,0][0,1,1,1][0,0,0,1][0,0,0,1][0,0,1,1][1,0,0,1][1,0,0,0][0,1,0,1][0,1,1,0][1,0,0,1][2,1,1,0][0,0,0,1][0,1,0,0][1,2,0,0][0,0,1,0][1,0,1,0][2,1,0,1][0,0,0,1][1,0,0,0][2,1,1,0][0,0,1,0][0,0,0,1][2,0,2,0][0,0,1,0][0,1,0,0][2,0,1,1][0,0,0,1][0,0,0,1][1,1,2,0][1,1,0,0][1,0,0,0][0,0,2,1][1,0,0,1][0,0,1,0][1,1,2,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,1,0][2,0,1,0][0,0,2,0][0,0,0,1][0,1,0,0][0,3,0,0][0,0,0,1][3,0,0,0][1,0,2,0][0,0,0,1][0,0,1,0][0,0,1,1][0,0,0,1][0,1,0,0][1,1,1,0][0,0,0,1][0,0,0,1][1,2,1,0][0,0,1,0][0,0,1,0][0,2,1,1][1,0,1,0][0,0,1,0][0,1,1,2][0,0,1,0][0,1,0,0][1,1,1,0][0,0,0,1][1,0,0,0][0,0,1,1][0,1,0,0][1,1,0,0][1,1,0,2][0,1,0,0][0,1,0,0][2,3,1,0][1,1,0,0][0,1,0,0][0,1,1,1][0,1,0,0][0,0,1,0][0,0,0,1][0,2,0,0][0,0,1,0][0,3,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,1][4,0,0,3][1,0,0,1][1,0,0,1][0,0,0,2][1,1,0,0][0,0,1,0][1,0,3,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][1,2,1,0][0,1,0,0][0,1,0,0][1,1,1,0][1,0,1,0][1,0,1,0][3,2,1,1][0,0,0,1][0,1,0,0][0,0,1,1][1,1,0,0][1,0,0,1][1,1,1,0][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][0,0,0,1][0,0,1,1][0,1,1,0][0,0,1,0][1,1,1,1][0,0,1,0][1,0,0,0][0,1,1,1][0,0,1,1][0,0,0,1][1,1,0,1][0,0,1,0][0,0,1,0][0,1,0,1][2,0,1,0][0,0,0,1][2,0,1,1][0,0,1,0][0,0,0,1][0,0,0,2][2,1,0,0][2,0,0,1][2,0,1,2][0,0,1,0][0,1,0,0][2,1,2,0][0,0,0,1][1,0,0,1][0,1,0,2][1,0,1,0][0,0,1,0][2,1,1,0][0,0,0,1][0,0,0,1][4,0,1,1][0,0,1,0][1,0,0,0][1,1,0,1][0,0,0,2][0,0,0,1][0,1,0,1][0,0,1,0][1,0,0,0][4,2,1,0][1,0,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,0,1][1,1,0,1][1,0,1,0][1,0,0,1][2,1,1,1][0,1,0,0][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][2,2,0,2][0,0,0,1][0,1,0,0][0,0,0,1][0,0,1,0][2,0,0,0][0,1,1,0][0,0,0,1][1,0,1,0][0,0,3,0][0,1,0,0][0,0,0,1][2,1,2,2][2,0,0,0][0,1,0,0][1,2,0,0][0,0,0,1][0,0,1,0][2,0,3,0][0,0,1,0][0,1,0,0][2,0,1,0][0,0,0,1][0,0,0,1][1,1,3,0][1,0,1,0][0,1,0,0][0,1,0,1][0,0,1,0][0,0,1,0][1,0,0,4][0,1,0,0][0,0,1,0][1,2,0,1][1,1,0,0][0,1,0,0][2,1,2,1][0,0,0,1][0,0,1,0][2,0,2,0][0,0,1,0][0,0,1,0][1,0,2,1][1,0,0,0][0,0,1,0][0,0,2,1][0,1,0,0][1,0,0,1][0,0,2,0][0,0,0,1][0,0,1,0][2,0,1,1][0,1,0,0][1,0,0,1][1,1,0,1][2,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,1,0,0][2,0,0,2][0,0,0,1][0,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][0,1,2,0][0,0,1,0][0,0,1,0][1,1,1,0][0,0,0,1][0,0,0,1][4,1,1,1][1,0,0,0][0,0,1,0][2,0,0,2][0,0,0,1][0,1,0,0][1,1,1,1][2,0,0,0][0,0,1,0][1,0,1,1][0,0,0,1][1,0,0,1][0,0,1,0][1,1,0,0][0,0,1,0][1,0,0,3][1,1,1,0][0,1,0,0][0,1,0,2][0,0,0,1][0,0,0,1][0,1,1,1][0,1,0,0][1,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][0,0,0,1][2,1,0,0][0,1,0,0][0,1,0,0][1,0,0,0][0,0,0,1][0,0,0,2][0,0,1,0][0,0,0,1][0,1,0,2][0,0,1,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][1,3,2,0][0,0,0,1][1,0,0,0][0,0,0,2][0,1,0,0][0,0,0,1][2,0,0,2][1,0,0,0][0,0,1,0][1,1,0,1][0,2,0,0][1,1,0,0][0,2,1,0][0,0,0,1][0,0,0,1][0,1,1,0][1,0,0,1][0,0,1,0][0,0,0,2][9994,7,78505,54526]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3449,1035,1385,800,1257,6,4270,968,972,643,1290,10,4221,1181
1,621,0,301,527,87,0,1818,718,590,218,393,0,1835,658
2,436,58,266,0,335,0,0,187,0,141,235,2,457,229
3,4356,2309,0,0,1413,0,5180,2763,2840,2205,2589,7743,4432,2583
4,265,318,439,0,104,4,0,0,298,260,199,3,152,311
5,135,67,43,53,59,0,0,58,64,59,70,0,161,55
6,2768,1108,1252,0,818,0,2585,0,840,1010,1185,1,3721,1075
